web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691815805-1","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arrow-regular-fit-men-black-trousers/p/itm9caafa8d09cb0?pid=TROGFQZAZDFVEHDN&lid=LSTTROGFQZAZDFVEHDNJFKSRQ&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_40&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROGFQZAZDFVEHDN.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Regular Fit Black Viscose Rayon Trousers","₹1,448","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/t/6/r/-original-imagjs2gyz3twhhg.jpeg?q=70"
"1691815808-2","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fubar-slim-fit-men-black-trousers/p/itm6a9c1ce346d1e?pid=TROGMUEAEZEC4F4Y&lid=LSTTROGMUEAEZEC4F4YQBQY0U&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_39&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROGMUEAEZEC4F4Y.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Cotton Blend Trousers","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/t/8/e/34-kctr-chk-tr5555-bk-fubar-original-imagmuea5hnedzq7.jpeg?q=70"
"1691815811-3","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/srey-regular-fit-men-black-trousers/p/itmb12f573833647?pid=TROFXQUF24PFWSDD&lid=LSTTROFXQUF24PFWSDD9AMNQS&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_38&otracker=search&otracker1=search&iid=en_khaDjEbzsA6biFrDpKxN_d8TDXQNk0QRFklnIY9qIzRcPzJol3pnbPBqEZ5mb1yjHX5-sZW1pcIf43jq9k40Nw%3D%3D&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Regular Fit Black Cotton Blend Trousers","₹419","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/l/r/o/34-fkvt-01-bl-vurso-original-imafxqtuzw2ee9n3.jpeg?q=70"
"1691815814-4","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-slim-fit-men-black-trousers/p/itm36f7e50ed75c6?pid=TROGQMS8ZU9FDADG&lid=LSTTROGQMS8ZU9FDADGLRKBVW&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_37&otracker=search&otracker1=search&iid=en_khaDjEbzsA6biFrDpKxN_d8TDXQNk0QRFklnIY9qIzRDczOgkMlpKJTKlyQELk-UUTU6WmseMlxxC_VsRavDpw%3D%3D&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Cotton Blend Trousers","₹879","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/x/l/t/-original-imagr6xrkuu4dx4c.jpeg?q=70"
"1691815817-5","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-slim-fit-men-black-trousers/p/itm0310a19c98f27?pid=TROGHU6KXW7DGR8V&lid=LSTTROGHU6KXW7DGR8VGHETCU&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_36&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROGHU6KXW7DGR8V.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Viscose Rayon Trousers","₹1,259","https://rukminim2.flixcart.com/image/832/832/l05lx8w0/trouser/7/t/i/32-vhtfwcff436086-van-heusen-original-imagcy24y9vpfmsu.jpeg?q=70"
"1691815820-6","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/flying-machine-slim-fit-men-black-trousers/p/itm6252b3965badc?pid=TROGMMHY2UFHYAGZ&lid=LSTTROGMMHY2UFHYAGZXL31PG&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_35&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROGMMHY2UFHYAGZ.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Cotton Blend Trousers","₹899","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/t/y/q/40-fmtro0382-flying-machine-original-imagmmghzzk8yfky.jpeg?q=70"
"1691815823-7","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/raymond-slim-fit-men-black-trousers/p/itm6f44e6deb4fc8?pid=TROGQ5YCA4FGZZGJ&lid=LSTTROGQ5YCA4FGZZGJNS8MYZ&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_34&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROGQ5YCA4FGZZGJ.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Polyester Trousers","₹1,127","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/f/c/o/-original-imagrfrxgfez2t2r.jpeg?q=70"
"1691815826-8","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/srey-regular-fit-men-black-trousers/p/itmb12f573833647?pid=TROFXQUGA3YNXTKZ&lid=LSTTROFXQUGA3YNXTKZY80ZTV&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_33&otracker=search&otracker1=search&iid=37534e78-2951-4414-b3c4-174977159a82.TROFXQUGA3YNXTKZ.SEARCH&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Regular Fit Black Cotton Blend Trousers","₹419","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/l/r/o/34-fkvt-01-bl-vurso-original-imafxqtuzw2ee9n3.jpeg?q=70"
"1691815829-9","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/haul-chic-slim-fit-men-black-trousers/p/itm8705216401378?pid=TROG4TK9CZHN4M3J&lid=LSTTROG4TK9CZHN4M3JUYY01P&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_32&otracker=search&otracker1=search&iid=en_khaDjEbzsA6biFrDpKxN_d8TDXQNk0QRFklnIY9qIzR3xzTWfc8Y5B0GBb3-fS9P6CBBfL_dX37Hn5y9KpLVtQ%3D%3D&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Lycra Blend Trousers","₹446","https://rukminim2.flixcart.com/image/832/832/kqwobrk0/trouser/k/0/z/30-dominoslycra-black-1-haul-chic-original-imag4tk3nrs4tazn.jpeg?q=70"
"1691815832-10","https://www.flipkart.com/search?q=Pants%20for%20men%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/trycom-slim-fit-men-black-trousers/p/itm1278cb5f5086d?pid=TROG5MZMMV6BAV8T&lid=LSTTROG5MZMMV6BAV8TBRIMBP&marketplace=FLIPKART&q=Pants+for+men+black&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_31&otracker=search&otracker1=search&iid=en_khaDjEbzsA6biFrDpKxN_d8TDXQNk0QRFklnIY9qIzSNUjoXHCosAAzr_pz_qefrkepNV-oWhkDjwMgJvtsPqA%3D%3D&ssid=gx75ovx5i80000001691815799571&qH=7a8a6c20ae6d0fd8","Men Slim Fit Black Viscose Rayon Trousers","₹488","https://rukminim2.flixcart.com/image/832/832/ku4ezrk0/trouser/k/c/f/30-ssa27-trycom-original-imag7bkaxazgzekv.jpeg?q=70"
