web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691816330-1","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/elanhood-slim-fit-men-white-trousers/p/itma767e93a656d9?pid=TROGB5BQKMPNBCH3&lid=LSTTROGB5BQKMPNBCH3HEJMFH&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_40&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGB5BQKMPNBCH3.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Viscose Rayon Trousers","₹399","https://rukminim2.flixcart.com/image/832/832/kz1lle80/trouser/r/q/m/38-new-eh-elanhood-original-imagb5bqgcpaz6ms.jpeg?q=70"
"1691816333-2","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-slim-fit-men-white-trousers/p/itm452e001f9ca0e?pid=TROGH3GAYTMKFB4T&lid=LSTTROGH3GAYTMKFB4TGQ5EI2&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_39&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGH3GAYTMKFB4T.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Viscose Rayon Trousers","₹719","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/n/u/k/-original-imaggcjfevhyyb4u.jpeg?q=70"
"1691816336-3","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vei-sastre-slim-fit-men-white-trousers/p/itm2d37865f45674?pid=TROGAW2NGJGTY6X5&lid=LSTTROGAW2NGJGTY6X5BCDGDH&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_38&otracker=search&otracker1=search&iid=en_cW2hN9K_4_KowaYntc_BpeFPHKRTe7lF275bWxGy0H678T5s5g7eAnPGG34Q7YDfInWr1C3roemCaoMB31ut_Q%3D%3D&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Cotton Blend Trousers","₹572","https://rukminim2.flixcart.com/image/832/832/kyeqjrk0/trouser/i/e/r/32-sf3-12-vei-sastre-original-imagangekygmvuwc.jpeg?q=70"
"1691816339-4","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vandnam-fabrics-slim-fit-men-white-beige-trousers/p/itm15494b332e9c9?pid=TROG75VJUYY59WG9&lid=LSTTROG75VJUYY59WG9KWOTWZ&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_37&otracker=search&otracker1=search&iid=en_cW2hN9K_4_KowaYntc_BpeFPHKRTe7lF275bWxGy0H7kqEz6_JPB_xraMLhg6HJ95MzChVQPPy4z7TPjDMj-YQ%3D%3D&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Pack of 2 Men Slim Fit White, Beige Cotton Blend Trousers","₹934","https://rukminim2.flixcart.com/image/832/832/ktx9si80/trouser/a/t/i/34-westin71-vandnam-fabrics-original-imag75vgfyz5znqh.jpeg?q=70"
"1691816342-5","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vurso-slim-fit-men-white-trousers/p/itmbed9d9487c3b0?pid=TROGA9XCCGVEANHF&lid=LSTTROGA9XCCGVEANHFKUNNZS&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_36&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGA9XCCGVEANHF.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Viscose Rayon Trousers","₹500","https://rukminim2.flixcart.com/image/832/832/kxxl9jk0/trouser/8/6/u/40-vt-12-wh-vurso-original-imaga9x55vhj3whr.jpeg?q=70"
"1691816345-6","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/elanhood-slim-fit-men-white-trousers/p/itm745055297f20c?pid=TROGB59TGCPETTFS&lid=LSTTROGB59TGCPETTFSNCVQ7P&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_35&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGB59TGCPETTFS.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Viscose Rayon Trousers","₹399","https://rukminim2.flixcart.com/image/832/832/kz1lle80/trouser/j/p/t/32-eh-x-gopi-elanhood-original-imagb59tvh3epchz.jpeg?q=70"
"1691816348-7","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/elanhood-regular-fit-men-white-trousers/p/itm4630c6a3b0879?pid=TROGFVXTTG7TZTJM&lid=LSTTROGFVXTTG7TZTJML8BH4H&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_34&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGFVXTTG7TZTJM.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Regular Fit White Cotton Blend Trousers","₹399","https://rukminim2.flixcart.com/image/832/832/kn4xhu80/trouser/4/g/q/30-n-s-f-formal-elanhood-original-imagfvt8y3mwpzmw.jpeg?q=70"
"1691816351-8","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-slim-fit-men-white-trousers/p/itm74518364d0c67?pid=TROGH3GAS3AJEDKG&lid=LSTTROGH3GAS3AJEDKGTFFJXH&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_33&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGH3GAS3AJEDKG.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Slim Fit White Viscose Rayon Trousers","₹719","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/n/u/k/-original-imaggcjfevhyyb4u.jpeg?q=70"
"1691816354-9","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kurus-regular-fit-men-white-trousers/p/itm6d6cdcb98f7d0?pid=TROG7BGJ6FF33DGG&lid=LSTTROG7BGJ6FF33DGG2OJJEX&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_32&otracker=search&otracker1=search&iid=en_cW2hN9K_4_KowaYntc_BpeFPHKRTe7lF275bWxGy0H63Bor1gusVBuQ4757Z0t-vvKkFEhzmXAhs-GorTLhdAQ%3D%3D&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Regular Fit White Cotton Blend Trousers","₹486","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/t/k/o/30-white230150-1-kurus-original-imags4yz6brmf2qz.jpeg?q=70"
"1691816357-10","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tradic-relaxed-men-white-trousers/p/itm33ff3d0f3820a?pid=TROGFKAU8KVGJTN3&lid=LSTTROGFKAU8KVGJTN3HV7AHB&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_31&otracker=search&otracker1=search&iid=en_cW2hN9K_4_KowaYntc_BpeFPHKRTe7lF275bWxGy0H57TXnjGtbi8h3I58I-JonYjTtPz2bSxt8m6tuKqDWh3w%3D%3D&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Relaxed White Cotton Blend Trousers","₹444","https://rukminim2.flixcart.com/image/832/832/l407mvk0/trouser/x/e/c/36-tra101-tradic-original-imagezr3jjp9kthp.jpeg?q=70"
"1691816360-11","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vurso-regular-fit-men-white-trousers/p/itm0737d9cba6075?pid=TROGHFNZGHM42PY9&lid=LSTTROGHFNZGHM42PY9Y8FQVL&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_30&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGHFNZGHM42PY9.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Regular Fit White Viscose Rayon Trousers","₹419","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/n/m/u/32-fkvt-12-wh-vurso-original-imafxv3uzb3mkyeq.jpeg?q=70"
"1691816363-12","https://www.flipkart.com/search?q=MEns%20Formal%20pants%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ad-av-regular-fit-men-white-trousers/p/itm0d65fc478e7ac?pid=TROGNC54UPQWEWEG&lid=LSTTROGNC54UPQWEWEG4TRHWY&marketplace=FLIPKART&q=MEns+Formal+pants+white&store=clo%2Fvua%2Fmle%2Flhk&srno=s_1_29&otracker=search&otracker1=search&iid=5c0aca92-3ccf-4d09-bee2-a3d41f5eec16.TROGNC54UPQWEWEG.SEARCH&ssid=kzrm5pqj8g0000001691816324615&qH=f0bfb5a963f88cf6","Men Regular Fit White Viscose Rayon Trousers","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/0/k/j/34-u40-baleno-white-aa-ad-av-original-imagnc4y8fdchcuj.jpeg?q=70"
