web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691813915-1","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/fabuniforms-men-solid-formal-black-shirt/p/itm3d3eee65c2792?pid=SHTESDDCMFW73HCD&lid=LSTSHTESDDCMFW73HCDM3IXDN&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_80&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTESDDCMFW73HCD.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Regular Fit Solid Formal Shirt","₹690","https://rukminim2.flixcart.com/image/832/832/kcm9t3k0/shirt/c/7/0/38-fabindi2-fabuniforms-original-imaftzzhhekf3g9t.jpeg?q=70"
"1691813918-2","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/ved-ent-men-solid-formal-black-shirt/p/itmffbc0c9af786d?pid=SHTGGF2GCY7PS3FY&lid=LSTSHTGGF2GCY7PS3FYBIZGMU&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_79&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTGGF2GCY7PS3FY.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Regular Fit Solid Formal Shirt","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/9/v/5/m-black-formal-shirt-m-atlanta-impex-original-imagghhfamme55m9.jpeg?q=70"
"1691813921-3","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/peter-england-men-printed-formal-black-shirt/p/itmf40c3b546cc05?pid=SHTGZZF8HPUEADY6&lid=LSTSHTGZZF8HPUEADY6FVYOZR&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_78&otracker=search&otracker1=search&iid=en_MKIcpqdKL4GfzeyF54T-Awjz39r2aWCl-9UMaTLhGp2s08hgStLJZGBRWgfkI0BIZyiuMtxUkxtESmuvnVq4eQ%3D%3D&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Slim Fit Printed Formal Shirt","₹741","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/s/5/r/-original-imagpaz6sztryzec.jpeg?q=70"
"1691813924-4","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/peter-england-men-solid-formal-black-shirt/p/itm29e9a0ac3ae5c?pid=SHTGQDSBHHXFJX29&lid=LSTSHTGQDSBHHXFJX29ETGILA&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_77&otracker=search&otracker1=search&iid=en_MKIcpqdKL4GfzeyF54T-Awjz39r2aWCl-9UMaTLhGp32ce1fiKkA6GaySZi1-4QphONNLIDyTq_aJQYpbP5VCA%3D%3D&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Slim Fit Solid Formal Shirt","₹847","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/p/n/9/-original-imagqtdvzygezmjb.jpeg?q=70"
"1691813927-5","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/try-men-color-block-formal-black-shirt/p/itm898a136d509a1?pid=SHTGBTP4ERU73SUT&lid=LSTSHTGBTP4ERU73SUT57KOIS&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_76&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTGBTP4ERU73SUT.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Slim Fit Color Block Formal Shirt","₹369","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/a/2/v/m-sbs-try-this-original-imaga299mymbzqvd-bb.jpeg?q=70"
"1691813930-6","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/spotshot-men-solid-formal-black-shirt/p/itm4ffc405b22335?pid=SHTGJT6CGZJ3DS9G&lid=LSTSHTGJT6CGZJ3DS9GNYWKW8&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_75&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTGJT6CGZJ3DS9G.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Regular Fit Solid Curved Collar Formal Shirt","₹450","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/o/u/5/xl-spt-stn-spotshot-original-imagjt6chwwzsg7h.jpeg?q=70"
"1691813933-7","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/vc-fashion-men-solid-formal-black-shirt/p/itm963d62287095c?pid=SHTGN7HRUK2B6HNA&lid=LSTSHTGN7HRUK2B6HNAPFGQTC&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_74&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTGN7HRUK2B6HNA.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Regular Fit Solid Spread Collar Formal Shirt","₹380","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-shirt/0/r/u/xl-spsy-49-shirt-full-shirtify-original-imagn5hpzdu9zg7u.jpeg?q=70"
"1691813936-8","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/kevaens-men-solid-formal-black-shirt/p/itmc7e366db6ac64?pid=SHTGQAQC3XFDQ9PD&lid=LSTSHTGQAQC3XFDQ9PDNQ9N5W&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_73&otracker=search&otracker1=search&iid=42905b01-3bd1-417b-8355-0b657ce82c0f.SHTGQAQC3XFDQ9PD.SEARCH&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Regular Fit Solid Formal Shirt","₹739","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/l/v/m/s-men-shirts-with-pant-top-bottom-set-for-men-cotton-lycra-shirt-original-imagqaqcdmm3uq87.jpeg?q=70"
"1691813939-9","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/peter-england-men-solid-formal-black-shirt/p/itmbb192f009a31f?pid=SHTGRZGX2KC39GGV&lid=LSTSHTGRZGX2KC39GGVBDFSZI&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_72&otracker=search&otracker1=search&iid=en_MKIcpqdKL4GfzeyF54T-Awjz39r2aWCl-9UMaTLhGp3BGW7SHLUXA2f314G_BYRtdNc4w1rGdYxAoFF1idaPOQ%3D%3D&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Slim Fit Solid Spread Collar Formal Shirt","₹741","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/h/z/j/46-pesfwslp208610-peter-england-original-imagrwb2qbrqeag2.jpeg?q=70"
"1691813942-10","https://www.flipkart.com/search?q=Mens+Formal+Shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/peter-england-men-solid-formal-black-shirt/p/itm37985fd18fd01?pid=SHTGGHQKYYYCFX2F&lid=LSTSHTGGHQKYYYCFX2FD2ULLV&marketplace=FLIPKART&q=Mens+Formal+Shirts+black&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_2_71&otracker=search&otracker1=search&iid=en_MKIcpqdKL4GfzeyF54T-Awjz39r2aWCl-9UMaTLhGp0Ov_JOl4ivBICboHbTAifc1KJfpOa_PUmGT34iTMKMEw%3D%3D&ssid=laqcntabv40000001691813908348&qH=87c7a6b4b9e3750f","Men Slim Fit Solid Spread Collar Formal Shirt","₹1,199","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/f/s/w/-original-imagg7rhxhgfthxh.jpeg?q=70"
