web-scraper-order,web-scraper-start-url,SIngle,SIngle-href,Title,Price,Image-src
"1691814584-1","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/raymond-men-checkered-formal-blue-shirt/p/itme4243b45ab025?pid=SHTGQ536XFZUKSHT&lid=LSTSHTGQ536XFZUKSHTZZRCV3&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_40&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGQ536XFZUKSHT.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Slim Fit Checkered Formal Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/h/o/l/-original-imagrfrskbayygmx.jpeg?q=70"
"1691814587-2","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-men-striped-formal-blue-shirt/p/itm914138c2039a3?pid=SHTGNCF9SQPGR2JF&lid=LSTSHTGNCF9SQPGR2JFF5IDQK&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_39&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGNCF9SQPGR2JF.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Striped Spread Collar Formal Shirt","₹1,319","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/4/i/z/42-vhsfbcupl30222-van-heusen-original-imagnbytqstsxfmn.jpeg?q=70"
"1691814590-3","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/don-vino-men-striped-formal-blue-shirt/p/itme841c85e8cc02?pid=SHTGZDWBCFUVQYW4&lid=LSTSHTGZDWBCFUVQYW49U3QXW&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_38&otracker=search&otracker1=search&iid=en_cuTnmhnYckMQ1lY1_Mo9HoCQo0VJ5nNt3XxYOgFCpViq8rNrRTvYBZQmjXuRpoZ8ROkxgEc-mtzo-r0WMMCZmA%3D%3D&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Striped Cut Away Collar Formal Shirt","₹670","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/j/9/44-8182-don-vino-original-imagzdwbyumehc2d.jpeg?q=70"
"1691814593-4","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/el-senor-men-solid-formal-blue-shirt/p/itme513e4b8b6d6d?pid=SHTFNA5ZJZSKHZKV&lid=LSTSHTFNA5ZJZSKHZKVASZ8MQ&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_37&otracker=search&otracker1=search&iid=en_cuTnmhnYckMQ1lY1_Mo9HoCQo0VJ5nNt3XxYOgFCpVgSrSpo3uPlPmhFQT7KnL_bYwzI6Beesdl-fjF8CDA7Nw%3D%3D&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Solid Spread Collar Formal Shirt","₹359","https://rukminim2.flixcart.com/image/832/832/k4d27ww0/shirt/6/2/m/m-el014-el-senor-original-imafnadnrgfbsq8h.jpeg?q=70"
"1691814596-5","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/raymond-men-solid-formal-blue-shirt/p/itmca1304a2ebbc2?pid=SHTGQ536ZEMPCM9W&lid=LSTSHTGQ536ZEMPCM9WFF9XM6&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_36&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGQ536ZEMPCM9W.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Slim Fit Solid Formal Shirt","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/m/z/r/-original-imagrfrspgbqkmmd.jpeg?q=70"
"1691814599-6","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-men-striped-formal-blue-shirt/p/itmdd97aac4bd07b?pid=SHTGZHEQ22VGDJRN&lid=LSTSHTGZHEQ22VGDJRNQEARS8&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_35&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGZHEQ22VGDJRN.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Super Slim Fit Striped Formal Shirt","₹953","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/k/4/i/40-pjshaslp712229-peter-england-original-imagpfcwmkvbzrdp.jpeg?q=70"
"1691814602-7","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-men-self-design-formal-blue-shirt/p/itm80483afc0f44f?pid=SHTGGM2HGCYSWF2W&lid=LSTSHTGGM2HGCYSWF2WRNUFYA&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_34&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGGM2HGCYSWF2W.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Self Design Spread Collar Formal Shirt","₹1,299","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/8/v/z/42-vhsfbcubs27773-van-heusen-original-imaggm2hmfmyxg3g.jpeg?q=70"
"1691814605-8","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-men-striped-formal-blue-shirt/p/itmebad55f81319e?pid=SHTGZHREGUPHKHQZ&lid=LSTSHTGZHREGUPHKHQZOP2EUS&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_33&otracker=search&otracker1=search&iid=43771bd2-3fb1-40c9-ba12-166d6184f432.SHTGZHREGUPHKHQZ.SEARCH&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Striped Formal Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/d/p/40-vhsfbcupl44102-van-heusen-original-imagpzh3cdyjcqk4.jpeg?q=70"
"1691814608-9","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/don-vino-men-checkered-formal-blue-shirt/p/itmf68e097d75f8b?pid=SHTGQ57B5JGCPVYY&lid=LSTSHTGQ57B5JGCPVYYKYU3N5&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_32&otracker=search&otracker1=search&iid=en_cuTnmhnYckMQ1lY1_Mo9HoCQo0VJ5nNt3XxYOgFCpVhj1Kd56To8gBwTJuyovsdNfpshWWVzI2jI3ss0DNdcFg%3D%3D&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Checkered Mandarin Collar Formal Shirt","₹634","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/0/n/c/40-spl-dvmfshr10-076-don-vino-original-imagq57b8dhhpzqz.jpeg?q=70"
"1691814611-10","https://www.flipkart.com/search?q=Mens%20Formla%20shirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/youth-first-men-solid-formal-blue-shirt/p/itmc85d710bca299?pid=SHTGQJD2TKU8CCTJ&lid=LSTSHTGQJD2TKU8CCTJBPXXLX&marketplace=FLIPKART&q=Mens+Formla+shirts+blue&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_31&otracker=search&otracker1=search&iid=en_cuTnmhnYckMQ1lY1_Mo9HoCQo0VJ5nNt3XxYOgFCpVj4rX3VTgqcqiXnWfXgOxlgXRymyyw1TN7tIJ9TDX3aTA%3D%3D&ssid=s34lk8i42o0000001691814578280&qH=018db36440dfd566","Men Regular Fit Solid Curved Collar Formal Shirt","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/0/o/x/xxl-sky-blue-formal-youthfirst-original-imagqjdfynp6r7bs.jpeg?q=70"
