web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691815422-1","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/arrow-men-checkered-formal-pink-shirt/p/itm881bcedc7193a?pid=SHTGBFYUMTJHMPCG&lid=LSTSHTGBFYUMTJHMPCG9GHSXG&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_40&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGBFYUMTJHMPCG.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Spread Collar Formal Shirt","₹999","https://rukminim2.flixcart.com/image/832/832/kyxb9u80/shirt/4/j/o/42-afadsh0195-arrow-original-imagbfytadrpdcjn.jpeg?q=70"
"1691815426-2","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/van-heusen-men-self-design-formal-blue-shirt/p/itm80483afc0f44f?pid=SHTGGM2HGCYSWF2W&lid=LSTSHTGGM2HGCYSWF2WRNUFYA&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_39&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGGM2HGCYSWF2W.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Self Design Spread Collar Formal Shirt","₹1,299","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/8/v/z/42-vhsfbcubs27773-van-heusen-original-imaggm2hmfmyxg3g.jpeg?q=70"
"1691815429-3","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/van-heusen-men-checkered-formal-pink-shirt/p/itm592e069cd5c30?pid=SHTGGMFRM7ZJPBH2&lid=LSTSHTGGMFRM7ZJPBH2VVD0TM&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_38&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=en__uodBJdqKcgzA4AQ4bPpULStE2FUtF6herISoh6qTiJtHDmF7wpdjHc4ItCBL-Hk5fqP3Yb5PK65hRcJmVOnmA%3D%3D&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Spread Collar Formal Shirt","₹1,034","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/b/q/-original-imagphte8ycmesr2.jpeg?q=70"
"1691815433-4","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/marc-laurent-men-checkered-formal-blue-shirt/p/itm8ecc41439233a?pid=SHTGQVPYVNKGTGTZ&lid=LSTSHTGQVPYVNKGTGTZ8H7PXV&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_37&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=en__uodBJdqKcgzA4AQ4bPpULStE2FUtF6herISoh6qTiI71v5tYIUNshCecyQl4CugZs8dINbQy8sjix3itwmE3w%3D%3D&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Spread Collar Formal Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/h/l/k/xxl-190-d1-blue-m-marc-laurent-original-imagqvzzyq692uhz.jpeg?q=70"
"1691815436-5","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/park-avenue-men-checkered-formal-grey-shirt/p/itm515da2db6cd93?pid=SHTGR4TGHGC4HNBH&lid=LSTSHTGR4TGHGC4HNBHATHM6F&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_36&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGR4TGHGC4HNBH.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Slim Fit Checkered Formal Shirt","₹759","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/g/d/d/-original-imags43ykfrvspmy.jpeg?q=70"
"1691815439-6","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/van-heusen-men-checkered-formal-purple-shirt/p/itm4743b30319bd4?pid=SHTGQBZ8CMCYCHV5&lid=LSTSHTGQBZ8CMCYCHV5KRQWX5&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_35&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGQBZ8CMCYCHV5.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Spread Collar Formal Shirt","₹1,209","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/g/m/42-vhsfbcupn09057-van-heusen-original-imagqbz8hzrfhpde.jpeg?q=70"
"1691815442-7","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/arrow-men-checkered-formal-orange-shirt/p/itmd1bc2da6cd6b4?pid=SHTGJNX3H4HFGVN3&lid=LSTSHTGJNX3H4HFGVN3B9DVFZ&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_34&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGJNX3H4HFGVN3.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Slim Fit Checkered Spread Collar Formal Shirt","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/o/b/x/42-aradosh0589-arrow-original-imagjnx3mdny6zgh.jpeg?q=70"
"1691815445-8","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/van-heusen-men-checkered-formal-blue-shirt/p/itm3ab9c967d9b75?pid=SHTGQBZKXZZUGBF4&lid=LSTSHTGQBZKXZZUGBF40TKFII&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_33&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=d622b0f0-f34f-4f55-8000-30d8c3c2aefa.SHTGQBZKXZZUGBF4.SEARCH&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Spread Collar Formal Shirt","₹1,209","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/b/p/g/39-vhsfbcup563701-van-heusen-original-imagqbzkygsbkdvy.jpeg?q=70"
"1691815448-9","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/peter-england-men-checkered-formal-white-shirt/p/itm28ea5fdadd6a7?pid=SHTGPF4GZ6M59GHS&lid=LSTSHTGPF4GZ6M59GHSVD5BBZ&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_32&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=en__uodBJdqKcgzA4AQ4bPpULStE2FUtF6herISoh6qTiJ4ysis6saSjAUXL2n4JNVqGmWVfnq3tNscxpJ5OIPxxg%3D%3D&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Regular Fit Checkered Formal Shirt","₹847","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/a/b/u/40-pesfwnupe17773-peter-england-original-imagpmdja5gwkbn5.jpeg?q=70"
"1691815451-10","https://www.flipkart.com/search?q=formal+check+shirts+for+men&sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&as-pos=1&as-type=RECENT&suggestionId=formal+check+shirts+for+men%7CFormal+Shirts&requestId=b8811fe0-4f7c-414b-9d48-dabbe4e85957&as-backfill=on","","https://www.flipkart.com/van-heusen-men-checkered-formal-pink-shirt/p/itma7552a37ecfbf?pid=SHTGGBFRVSZBTZMW&lid=LSTSHTGGBFRVSZBTZMWGRUXTJ&marketplace=FLIPKART&q=formal+check+shirts+for+men&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_31&otracker=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_18_na_na_na&iid=en__uodBJdqKcgzA4AQ4bPpULStE2FUtF6herISoh6qTiJot-9f1RimKrFbUdozWzb1PFrF7nBQewPlFcd0jeEmSQ%3D%3D&ssid=a775mxtepc0000001691815416185&qH=81a696fd1670b520","Men Slim Fit Checkered Spread Collar Formal Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/w/8/w/-original-imagn5fhmk5nptmg.jpeg?q=70"
