web-scraper-order,web-scraper-start-url,SIngle,SIngle-href,Title,Price,Image-src
"1691814176-1","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-men-solid-formal-white-shirt/p/itme0123865ff113?pid=SHTGQMQHFHC8RUPX&lid=LSTSHTGQMQHFHC8RUPXBOPHT5&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_40&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTGQMQHFHC8RUPX.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Slim Fit Solid Formal Shirt","₹953","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/4/q/l/-original-imagrm9zjd2uy7zd.jpeg?q=70"
"1691814179-2","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/peter-england-men-solid-formal-white-shirt/p/itm789e7b3cb943a?pid=SHTGHQUFUYNVEY8Y&lid=LSTSHTGHQUFUYNVEY8YKLOVKH&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_39&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTGHQUFUYNVEY8Y.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Slim Fit Solid Spread Collar Formal Shirt","₹1,279","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/g/l/46-pesfmslbb71773-peter-england-original-imaghquffcqhqjq6.jpeg?q=70"
"1691814182-3","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-men-printed-formal-blue-white-shirt/p/itme86355f4acd51?pid=SHTGZTFN82J7GTAC&lid=LSTSHTGZTFN82J7GTAC4BUJF9&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_38&otracker=search&otracker1=search&iid=en_h2dc2vDAV8J2eheq3Fo0GYczmTWd2B5sWHcIUJuiezsiUvVARwEs3bOUTTjUfJcjdlxoqrC7g86E7Wmxp-Nrag%3D%3D&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Regular Fit Printed Spread Collar Formal Shirt","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/k/7/h/40-vhsfbcup450792-van-heusen-original-imagppghsvdgvcws.jpeg?q=70"
"1691814185-4","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/van-heusen-men-checkered-formal-white-shirt/p/itmd69e2fc249ca6?pid=SHTGF5HZKCKCGVQD&lid=LSTSHTGF5HZKCKCGVQDUHUE9R&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_37&otracker=search&otracker1=search&iid=en_h2dc2vDAV8J2eheq3Fo0GYczmTWd2B5sWHcIUJuiezvx1DBCh8FALlTMNQZA3giaP5IduPF3JMeVmIeqp3z1VQ%3D%3D&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Regular Fit Checkered Spread Collar Formal Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/l/j/u/40-vhsflcufm32037-van-heusen-original-imaggb9fhs7rfggd.jpeg?q=70"
"1691814188-5","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/eviqe-men-striped-formal-white-shirt/p/itm4c2d0ffc3fa28?pid=SHTGGZGBCCW8R8UY&lid=LSTSHTGGZGBCCW8R8UYNE3ZGD&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_36&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTGGZGBCCW8R8UY.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Regular Fit Striped Mandarin Collar Formal Shirt","₹269","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/w/g/c/m-new-formal-eviqe-original-imaggzfzbgyfhe79.jpeg?q=70"
"1691814191-6","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arrow-men-solid-formal-white-shirt/p/itm923d378fc931c?pid=SHTG8Z7PXPU34YBP&lid=LSTSHTG8Z7PXPU34YBPDQZNP5&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_35&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTG8Z7PXPU34YBP.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Slim Fit Solid Spread Collar Formal Shirt","₹959","https://rukminim2.flixcart.com/image/832/832/kvvad8w0/shirt/s/a/4/38-ares1134-arrow-original-imag8z75umvtms7a.jpeg?q=70"
"1691814194-7","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arrow-men-checkered-formal-white-purple-shirt/p/itm6d9e5f07bb9c2?pid=SHTGQBVGVX9ZSEGK&lid=LSTSHTGQBVGVX9ZSEGKEAKULU&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_34&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTGQBVGVX9ZSEGK.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Slim Fit Checkered Formal Shirt","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/g/w/p/-original-imagqy2unj32wqrd.jpeg?q=70"
"1691814197-8","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/louis-philippe-men-striped-formal-white-shirt/p/itm755ee14f40d74?pid=SHTGHG6EAETHZAYE&lid=LSTSHTGHG6EAETHZAYESX5HKP&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_33&otracker=search&otracker1=search&iid=864b0351-230d-48bc-81e7-fd09198f55ad.SHTGHG6EAETHZAYE.SEARCH&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Regular Fit Striped Formal Shirt","₹1,689","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/y/4/f/-original-imagsaxeg9vzshqb.jpeg?q=70"
"1691814200-9","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/coco-maple-men-solid-formal-white-shirt/p/itm55a2b601a5173?pid=SHTGQZS2NNMHHHUT&lid=LSTSHTGQZS2NNMHHHUTAL6E1H&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_32&otracker=search&otracker1=search&iid=en_h2dc2vDAV8J2eheq3Fo0GYczmTWd2B5sWHcIUJuieztaiU21ayDP6sMbTS-QOUJWL6JgyAyy9YhLAxng4sWlwQ%3D%3D&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Slim Fit Solid Spread Collar Formal Shirt","₹344","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/g/s/i/m-cm-solid-half-coco-maple-original-imagqzs2efhff6bb.jpeg?q=70"
"1691814203-10","https://www.flipkart.com/search?q=Mens%20Formal%20Shirts%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aurum-luxe-men-checkered-formal-white-shirt/p/itmfazgxaruzeyxu?pid=SHTFAYW89TRVACYC&lid=LSTSHTFAYW89TRVACYCIOMHIF&marketplace=FLIPKART&q=Mens+Formal+Shirts+white&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_31&otracker=search&otracker1=search&iid=en_h2dc2vDAV8J2eheq3Fo0GYczmTWd2B5sWHcIUJuiezsQUNI8fm2G_IzeYhxqyNT4RYKAmugABQCuKwTquvknjA%3D%3D&ssid=hurpsfqdgw0000001691814170378&qH=55e183b44fe048b4","Men Regular Fit Checkered Spread Collar Formal Shirt","₹867","https://rukminim2.flixcart.com/image/832/832/kkbh8cw0/shirt/a/5/0/l-au-129-aurum-luxe-original-imafazssjvgzev2k.jpeg?q=70"
