web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691779346-1","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lookline-skinny-fit-women-dark-blue-trousers/p/itm3f8f8be12b2f0?pid=TROGRWUEW2AZRWVY&lid=LSTTROGRWUEW2AZRWVYCUDODQ&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_40&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGRWUEW2AZRWVY.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Skinny Fit Dark Blue Cotton Blend Trousers","₹445","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/p/w/z/free-nvy-pant-01-lookline-original-imagrwued4bufcyu.jpeg?q=70"
"1691779349-2","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/modish-vogue-regular-fit-women-dark-blue-trousers/p/itmeeff61fb7f4cd?pid=TROFXQTKSRFGW2RH&lid=LSTTROFXQTKSRFGW2RHMX7VHB&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_39&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROFXQTKSRFGW2RH.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Dark Blue Crepe Trousers","₹299","https://rukminim2.flixcart.com/image/832/832/khtghow0-0/trouser/l/i/s/xs-trouser-82-modish-vogue-original-imafxqtgf5gtzuzn.jpeg?q=70"
"1691779352-3","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/phase-trend-regular-fit-women-dark-green-trousers/p/itmb6a1887b3dda9?pid=TROGF85WTTCNEYHY&lid=LSTTROGF85WTTCNEYHYHQJBJV&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_38&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGF85WTTCNEYHY.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Dark Green Cotton Blend Trousers","₹439","https://rukminim2.flixcart.com/image/832/832/l4a7pu80/trouser/o/b/x/34-p1-toko-mhd-223-phase-of-trend-original-imagf85wagzevgku.jpeg?q=70"
"1691779355-4","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/losache-regular-fit-women-dark-green-trousers/p/itm38c7b80799078?pid=TROGKDFS5QGZEZ6T&lid=LSTTROGKDFS5QGZEZ6TALGFJ4&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_37&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGKDFS5QGZEZ6T.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Dark Green Crepe Trousers","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/d/2/q/36-button-trouser-khaki-001-losache-original-imagkdfquygsva6g.jpeg?q=70"
"1691779358-5","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kotty-regular-fit-women-dark-blue-trousers/p/itmb1da27f583072?pid=TROGPAYMJCTVUMJG&lid=LSTTROGPAYMJCTVUMJGGVKJYB&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_36&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGPAYMJCTVUMJG.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Dark Blue Cotton Blend Trousers","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/m/5/4/30-kttwomenspant366-kotty-original-imagpayh8ceyf4uy.jpeg?q=70"
"1691779361-6","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mehrang-regular-fit-women-dark-green-trousers/p/itmbfbf794de120a?pid=TROGZZTFR6RHFNHA&lid=LSTTROGZZTFR6RHFNHAHH1KLG&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_35&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGZZTFR6RHFNHA.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Dark Green Cotton Blend Trousers","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/8/n/z/30-pants-d5-mehrang-original-imagzztf3kbzq6cq.jpeg?q=70"
"1691779364-7","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/indibelle-slim-fit-women-dark-blue-trousers/p/itmeq5aqtjzypnz3?pid=TROEQ5AQHQUCHGZY&lid=LSTTROEQ5AQHQUCHGZY4WBJTC&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_34&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROEQ5AQHQUCHGZY.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Slim Fit Dark Blue Cotton Blend Trousers","₹475","https://rukminim2.flixcart.com/image/832/832/ethnic-set/e/f/c/3xl-ibc197yib-indibelle-original-imaepx7jzvwzkrst.jpeg?q=70"
"1691779367-8","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/smarty-pants-regular-fit-women-black-trousers/p/itmaba4ea16201a4?pid=TROGMZX73ZXWEGJX&lid=LSTTROGMZX73ZXWEGJX0TH48N&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_33&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGMZX73ZXWEGJX.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Regular Fit Black Pure Cotton Trousers","₹798","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/m/v/e/s-smpt-884a-smarty-pants-original-imagmzwwa5bdcgtq.jpeg?q=70"
"1691779370-9","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/soch-slim-fit-women-beige-trousers/p/itmf6f4b6c5ec1ad?pid=TROGG8FJ7GW9WJQZ&lid=LSTTROGG8FJ7GW9WJQZGQZE6N&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_32&otracker=search&otracker1=search&iid=en_ZLBQrVUvyf_U4Ld2BcH7kouQJ7nh6qC94HR38PWKxf4cEqSTct3cMoIjLuHM1TH2-RQtl6hJ2do0sO2IO4r_ZQ%3D%3D&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Slim Fit Beige Crepe Trousers","₹1,698","https://rukminim2.flixcart.com/image/832/832/l5ld8y80/trouser/k/w/u/m-cwa1bt5551e-soch-original-imagg8fjnbymfrrp.jpeg?q=70"
"1691779373-10","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/soch-slim-fit-women-white-trousers/p/itm93ecb970fda3e?pid=TROGG8FJ2WCQC2CU&lid=LSTTROGG8FJ2WCQC2CULJWBFG&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_31&otracker=search&otracker1=search&iid=en_ZLBQrVUvyf_U4Ld2BcH7kouQJ7nh6qC94HR38PWKxf7idlvLOp1Uf39PnVkK45teYaOcFHUcySJd2MCsxdYe9Q%3D%3D&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Slim Fit White Crepe Trousers","₹1,298","https://rukminim2.flixcart.com/image/832/832/l5ld8y80/trouser/i/5/y/3xl-cws1bt5518a-soch-original-imagg8fjbfzdkxzv.jpeg?q=70"
"1691779376-11","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20dark&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/juste-prix-tapered-women-dark-green-trousers/p/itmca0b2de2638ed?pid=TROGBZ6QBZYZYMGK&lid=LSTTROGBZ6QBZYZYMGKTDYUAC&marketplace=FLIPKART&q=formal+pants+for+women+dark&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_30&otracker=search&otracker1=search&iid=12e168d1-43a2-4d0b-8824-9fee505daccd.TROGBZ6QBZYZYMGK.SEARCH&ssid=b7gkg4uamo0000001691779341515&qH=1b8ba588eff4c727","Women Tapered Dark Green Lycra Blend Trousers","₹364","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/c/7/p/l-1001-bottle-green-juste-prix-original-imagbz6qx6cqzvzs-bb.jpeg?q=70"
