web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691779652-1","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/adhisa-regular-fit-women-light-blue-pink-trousers/p/itm7a1fe53c88533?pid=TROGQH95DXHWPYDG&lid=LSTTROGQH95DXHWPYDGEMDZ4N&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_40&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROGQH95DXHWPYDG.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Pack of 2 Women Regular Fit Light Blue, Pink Cotton Blend Trousers","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/r/b/c/xl-black-blue-2tr-adhisa-original-imagqh95dhh8hqgh.jpeg?q=70"
"1691779655-2","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/focus-slim-fit-women-beige-trousers/p/itmenvfr59akzes6?pid=TROEMY4ZZQJFWT6S&lid=LSTTROEMY4ZZQJFWT6SG2SCHF&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_39&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROEMY4ZZQJFWT6S.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Slim Fit Beige Cotton Blend Trousers","₹1,545","https://rukminim2.flixcart.com/image/832/832/trouser/9/j/q/7129-lfone-focus-36-original-imaehwmzfkjaysqr.jpeg?q=70"
"1691779658-3","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aurelia-regular-fit-women-blue-trousers/p/itm8dc7110157507?pid=TROFYV3ARR3XB2YW&lid=LSTTROFYV3ARR3XB2YWQURWUX&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_38&otracker=search&otracker1=search&iid=en_Smfgp7K1yL_NcDtjWxJzsT6DGy3AdR5Qxg7-bv09sbpizmF8VqBbkljTz6E0ZkeiGZJIYGOR3WoJafTx6KQtuw%3D%3D&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Regular Fit Blue Cotton Blend Trousers","₹449","https://rukminim2.flixcart.com/image/832/832/kj8wccw0-0/trouser/p/b/y/xxl-20aua60015-602107-aurelia-original-imafyv2xufwtmkwh.jpeg?q=70"
"1691779661-4","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lyra-slim-fit-women-beige-trousers/p/itmf035f23a78748?pid=TROGZFYVBQNFJXYZ&lid=LSTTROGZFYVBQNFJXYZSLLPIW&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_37&otracker=search&otracker1=search&iid=en_Smfgp7K1yL_NcDtjWxJzsT6DGy3AdR5Qxg7-bv09sbrYfL8sTXlvAa7GpYN-mwKhU9dNwQtw6oVrgeFgwPJMwg%3D%3D&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Slim Fit Beige Cotton Blend Trousers","₹468","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/w/u/6/3xl-lyra-spp-crm-lyra-original-imagzfypgbrtgyzg.jpeg?q=70"
"1691779664-5","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/myzora-regular-fit-women-pink-pink-trousers/p/itmd331067fd888d?pid=TROGPXNB94JZRE27&lid=LSTTROGPXNB94JZRE27P4EP2P&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_36&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROGPXNB94JZRE27.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Pack of 2 Women Regular Fit Pink, Pink Pure Cotton Trousers","₹784","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/y/e/3/xxl-lightpinkdarkpinkpant-mayfay-original-imagpqr25zbf7rtt.jpeg?q=70"
"1691779667-6","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/bandhan-regular-fit-women-light-blue-trousers/p/itm5ab295adadb06?pid=TROFPJ8FRZDWHZP3&lid=LSTTROFPJ8FRZDWHZP3V45AZY&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_35&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROFPJ8FRZDWHZP3.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Regular Fit Light Blue Crepe Trousers","₹380","https://rukminim2.flixcart.com/image/832/832/k79dd3k0/trouser/c/b/c/28-womens-pent-04-nevy28-bandhan-original-imafpjaj4v42nhh8.jpeg?q=70"
"1691779670-7","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/samyati-regular-fit-women-light-blue-trousers/p/itm87cfd34aad5d1?pid=TROGFC4QPBPDJN7Y&lid=LSTTROGFC4QPBPDJN7YY881QY&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_34&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROGFC4QPBPDJN7Y.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Regular Fit Light Blue Cotton Blend Trousers","₹379","https://rukminim2.flixcart.com/image/832/832/kdqa4y80-0/trouser/p/4/x/m-277bawtr-bawri-original-imafukpnxrsregpd.jpeg?q=70"
"1691779673-8","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dolane-regular-fit-women-light-blue-trousers/p/itmcdef232c39f09?pid=TROGHATYNYEYXFC2&lid=LSTTROGHATYNYEYXFC26SKZ9I&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_33&otracker=search&otracker1=search&iid=f62f5c0b-0252-4416-91ca-88ae1cd75907.TROGHATYNYEYXFC2.SEARCH&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Regular Fit Light Blue Cotton Blend Trousers","₹664","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/m/i/z/xl-dln-strech-pant-31-dolane-original-imaghazztnejzdwn.jpeg?q=70"
"1691779676-9","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lyra-slim-fit-women-beige-trousers/p/itm1ba7a85ba535e?pid=TROGZFYMYHZ4QCPW&lid=LSTTROGZFYMYHZ4QCPW5TPIYM&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_32&otracker=search&otracker1=search&iid=en_Smfgp7K1yL_NcDtjWxJzsT6DGy3AdR5Qxg7-bv09sbrJSY1VGuA9qQhUJDUUypsy6hP0Hk860hX_AI05V9j3MA%3D%3D&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Slim Fit Beige Cotton Blend Trousers","₹490","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/n/p/w/3xl-lyra-spp-mus-lyra-original-imagzfymgfg5ngzy.jpeg?q=70"
"1691779679-10","https://www.flipkart.com/search?q=formal%20pants%20for%20women%20light&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lyra-slim-fit-women-beige-trousers/p/itmcd273ac170b57?pid=TROGZFYNZQVAY4NJ&lid=LSTTROGZFYNZQVAY4NJJ928GC&marketplace=FLIPKART&q=formal+pants+for+women+light&store=clo%2Fvua%2Fmle%2F8ie&srno=s_1_31&otracker=search&otracker1=search&iid=en_Smfgp7K1yL_NcDtjWxJzsT6DGy3AdR5Qxg7-bv09sbq5O7Ut_DAgG376GlEYsw8RQ2vTOpV039xWQqvms7WMLg%3D%3D&ssid=pztcickxg00000001691779646715&qH=4fa1bbaf0b697c2f","Women Slim Fit Beige Cotton Blend Trousers","₹490","https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/z/f/f/xxl-lyra-spp-bg-lyra-original-imagzfykbfpbhfns.jpeg?q=70"
