web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691778508-1","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/kotty-flared-women-black-jeans/p/itm921e47e3c38bb?pid=JEAG39KEXEGYHQ4Z&lid=LSTJEAG39KEXEGYHQ4ZQYF31P&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_80&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAG39KEXEGYHQ4Z.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Flared High Rise Black Jeans","₹499","https://rukminim2.flixcart.com/image/832/832/kox8b680/jean/9/o/l/24-kttladiesjeans866-kotty-original-imag39ke8ngycvrg.jpeg?q=70"
"1691778511-2","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/comfits-slim-women-black-jeans/p/itm3967a86ecde32?pid=JEAGPZGAYSZDZZGJ&lid=LSTJEAGPZGAYSZDZZGJDY3QCT&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_79&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGPZGAYSZDZZGJ.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Slim Mid Rise Black Jeans","₹379","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/x/a/q/34-wj-bk-pl-5-comfits-original-imagpzgav26fyksc.jpeg?q=70"
"1691778514-3","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/tokyo-talkies-flared-women-black-jeans/p/itm2ce99563597c8?pid=JEAFWG9S7Z7ZHZWH&lid=LSTJEAFWG9S7Z7ZHZWH3XU3VT&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_78&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAFWG9S7Z7ZHZWH.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Flared Mid Rise Black Jeans","₹569","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/7/x/0/34-ttjn002617-tokyo-talkies-original-imafwg9shknjbyz7-bb.jpeg?q=70"
"1691778517-4","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/3-butterflies-skinny-women-black-jeans/p/itm84c30fd207d6b?pid=JEAGZHMHJWBDJ9PM&lid=LSTJEAGZHMHJWBDJ9PMHMIJTA&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_77&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGZHMHJWBDJ9PM.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Skinny Mid Rise Black Jeans","₹440","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/y/r/t/30-crtblk-m-30-3butterflies-original-imagzhmkj2bmghw2.jpeg?q=70"
"1691778520-5","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/tokyo-talkies-boot-leg-women-black-jeans/p/itm4e24cfe6a21c7?pid=JEAGRH8YTEUDZQ9Z&lid=LSTJEAGRH8YTEUDZQ9Z0D8YT4&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_76&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGRH8YTEUDZQ9Z.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Boot-Leg Mid Rise Black Jeans","₹659",""
"1691778523-6","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/levi-s-711-skinny-women-black-jeans/p/itm97833845c939f?pid=JEAGDWFS3PTA2CHH&lid=LSTJEAGDWFS3PTA2CHHHS3OU0&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_75&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGDWFS3PTA2CHH.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","711 Women Skinny Mid Rise Black Jeans","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/z/f/o/28-21306-0559-levi-s-original-imaghzt3ymyd7jhg.jpeg?q=70"
"1691778526-7","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/kotty-regular-women-black-jeans/p/itmdcf4ba14dfdff?pid=JEAGQFTRJEYA9GTG&lid=LSTJEAGQFTRJEYA9GTGDDKHVA&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_74&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGQFTRJEYA9GTG.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Regular High Rise Black Jeans","₹579","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/3/l/p/32-kottyladiesjeans1081-kotty-original-imagpxfygktg8mhh.jpeg?q=70"
"1691778529-8","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/kashian-boyfriend-women-black-jeans/p/itme0194553350c8?pid=JEAGPTZNECUZAZHB&lid=LSTJEAGPTZNECUZAZHBPSSZEU&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_73&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGPTZNECUZAZHB.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Boyfriend Mid Rise Black Jeans","₹499",""
"1691778532-9","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/beauty-boyfriend-women-black-jeans/p/itmf7332faebe451?pid=JEAGZ4Y5Y5D5RGAZ&lid=LSTJEAGZ4Y5Y5D5RGAZJB4T8E&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_72&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAGZ4Y5Y5D5RGAZ.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Boyfriend High Rise Black Jeans","₹794",""
"1691778535-10","https://www.flipkart.com/search?q=women+jeans+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=2","","https://www.flipkart.com/roadster-skinny-women-black-jeans/p/itm395c461bce696?pid=JEAG6N3QGYJBW3SV&lid=LSTJEAG6N3QGYJBW3SVM0YSFH&marketplace=FLIPKART&q=women+jeans+black&store=clo%2Fvua%2Fk58%2F4hp&srno=s_2_71&otracker=search&otracker1=search&iid=a49f8971-04d9-4e13-92b0-0642eab7dd67.JEAG6N3QGYJBW3SV.SEARCH&ssid=db2xahavog0000001691778503604&qH=641bd9778901ecc9","Women Skinny Mid Rise Black Jeans","₹611","https://rukminim2.flixcart.com/image/832/832/kt8zb0w0/jean/k/x/i/26-13710278-roadster-original-imag6mzvzezndrmx.jpeg?q=70"
