web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691778115-1","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-710-super-skinny-women-blue-jeans/p/itm91df5cc2e37fd?pid=JEAGDWFVUQJKHWBZ&lid=LSTJEAGDWFVUQJKHWBZ5LASWD&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_40&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGDWFVUQJKHWBZ.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","710 Women Super Skinny Mid Rise Blue Jeans","₹1,159","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/9/v/4/28-21325-0308-levi-s-original-imaghckjhvyvjsan.jpeg?q=70"
"1691778118-2","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/live-ok-boyfriend-women-blue-jeans/p/itmc66c4c56b00ec?pid=JEAGMJ5FGV8CFYV8&lid=LSTJEAGMJ5FGV8CFYV8FXW8TY&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_39&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGMJ5FGV8CFYV8.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Boyfriend High Rise Blue Jeans","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/y/f/r/30-2211-blue-live-ok-original-imagk6dqvhzhdu9z.jpeg?q=70"
"1691778121-3","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/miss-chase-regular-women-blue-jeans/p/itme7db3b9f2f03f?pid=JEAGGTHQTAVH3NGF&lid=LSTJEAGGTHQTAVH3NGFDCFGY5&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_38&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGGTHQTAVH3NGF.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Regular High Rise Blue Jeans","₹755","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/r/p/y/30-mcss22den06-30-158-miss-chase-original-imaggthjt9k4beda.jpeg?q=70"
"1691778124-4","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-710-super-skinny-women-blue-jeans/p/itm47703cdf4f2c5?pid=JEAGDWFGEEYFNG8M&lid=LSTJEAGDWFGEEYFNG8M2ZNHUD&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_37&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGDWFGEEYFNG8M.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","710 Women Super Skinny Mid Rise Blue Jeans","₹1,101","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/e/o/p/-original-imaghxncxcefapyx.jpeg?q=70"
"1691778127-5","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kotty-flared-women-blue-jeans/p/itm56306b25bd664?pid=JEAG2RQ4RQB2SPNG&lid=LSTJEAG2RQ4RQB2SPNGUIGWRW&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_36&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAG2RQ4RQB2SPNG.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Flared Mid Rise Blue Jeans","₹579","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/a/t/u/24-kottyladiesjeans772-kotty-original-imag2rq3xd4agkz5-bb.jpeg?q=70"
"1691778130-6","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/metronaut-flipkart-skinny-women-blue-jeans/p/itm3f5ac7e00abeb?pid=JEAFTHQYYZQBHFPG&lid=LSTJEAFTHQYYZQBHFPGVOKIUH&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_35&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAFTHQYYZQBHFPG.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Skinny Mid Rise Blue Jeans","₹447","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/v/m/r/28-maw20mwjn056-metronaut-original-imafxsxn3wfzzsxj-bb.jpeg?q=70"
"1691778133-7","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-regular-women-blue-jeans/p/itm6323d49761560?pid=JEAGBTHGFEWDYMPQ&lid=LSTJEAGBTHGFEWDYMPQMYIKDY&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_34&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGBTHGFEWDYMPQ.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Regular Mid Rise Blue Jeans","₹689","https://rukminim2.flixcart.com/image/832/832/kzx1a4w0/jean/k/3/o/xl-sfjean0150-sassafras-original-imagbtkvqxvkzshh.jpeg?q=70"
"1691778136-8","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-711-skinny-women-blue-jeans/p/itmd72b55ab0464a?pid=JEAGDWF4MQFHMCWS&lid=LSTJEAGDWF4MQFHMCWSF6ZIUC&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_33&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGDWF4MQFHMCWS.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","711 Women Skinny Mid Rise Blue Jeans","₹791","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/i/5/l/28-21306-0578-levi-s-original-imaghepqebmtbgq7.jpeg?q=70"
"1691778139-9","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kotty-regular-women-blue-jeans/p/itm668c4d29cb165?pid=JEAGM2AHMZGHCKKH&lid=LSTJEAGM2AHMZGHCKKH3N57LN&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_32&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGM2AHMZGHCKKH.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Regular Mid Rise Blue Jeans","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/y/9/p/30-kttladiesjeans1087-kotty-original-imagm2agzr4vgg3u.jpeg?q=70"
"1691778142-10","https://www.flipkart.com/search?q=women%20jeans%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/f2m-slim-women-blue-jeans/p/itmf5bf784b9840f?pid=JEAGFW7HVY6FNQAZ&lid=LSTJEAGFW7HVY6FNQAZ72YHH5&marketplace=FLIPKART&q=women+jeans+blue&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_31&otracker=search&otracker1=search&iid=4077eb27-28a9-453c-8040-7935880e2695.JEAGFW7HVY6FNQAZ.SEARCH&ssid=vetloaathc0000001691778109809&qH=70a4c588130b227b","Women Slim Mid Rise Blue Jeans","₹699","https://rukminim2.flixcart.com/image/832/832/kn6cxow0/jean/m/p/a/32-f2m3-3213-f2m-original-imagfw7gbzyzzmyj.jpeg?q=70"
