web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691779008-1","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ruffletech-flared-women-black-jeans/p/itm0d3664b2cedb8?pid=JEAGRUBGJAXK3YRG&lid=LSTJEAGRUBGJAXK3YRGBAUAS7&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_40&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGRUBGJAXK3YRG.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared High Rise Black Jeans","₹799","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/i/s/w/32-330-ruffletech-original-imagrubgakeaghwn.jpeg?q=70"
"1691779011-2","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/guti-flared-women-black-jeans/p/itmbbca9bbda339b?pid=JEAGK6TTN7MHDDTF&lid=LSTJEAGK6TTN7MHDDTF51A4TZ&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_39&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGK6TTN7MHDDTF.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared High Rise Black Jeans","₹749","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/e/u/8/32-gtladiesjeans120-guti-original-imagk6tt7xdhhwkp.jpeg?q=70"
"1691779014-3","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/high-star-flared-women-black-jeans/p/itma4eed1abb4474?pid=JEAGRFS4ZRJ5AHTS&lid=LSTJEAGRFS4ZRJ5AHTSRLI2N8&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_38&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGRFS4ZRJ5AHTS.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared High Rise Black Jeans","₹949",""
"1691779017-4","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/bluelock-boyfriend-women-black-jeans/p/itm50c19cfdcea9c?pid=JEAGQFB4KG7XDBH7&lid=LSTJEAGQFB4KG7XDBH7VSQSTD&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_37&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGQFB4KG7XDBH7.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Boyfriend High Rise Black Jeans","₹1,199",""
"1691779020-5","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tap-boyfriend-women-black-jeans/p/itm57e6f064aa5f3?pid=JEAGP7GVYZ76JYS9&lid=LSTJEAGP7GVYZ76JYS9AWBRBI&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_36&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGP7GVYZ76JYS9.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Boyfriend Mid Rise Black Jeans","₹598",""
"1691779023-6","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aj-collection-flared-women-black-jeans/p/itme906c9e47f7c2?pid=JEAGGZF3JPGBHYJ2&lid=LSTJEAGGZF3JPGBHYJ2BCKPEG&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_35&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGGZF3JPGBHYJ2.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared High Rise Black Jeans","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/x/2/m/30-black-straight-jeans-30-size-aj-collection-original-imaggzf2srjncspf.jpeg?q=70"
"1691779026-7","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/shree-krishna-garments-boyfriend-women-black-jeans/p/itm4307dc5519f1a?pid=JEAGPH2FSMPGAEUK&lid=LSTJEAGPH2FSMPGAEUKRQ2Q3R&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_34&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGPH2FSMPGAEUK.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Boyfriend High Rise Black Jeans","₹1,199","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/9/s/z/26-blackbasic-skg-original-imagpf3d2fyg9ggm.jpeg?q=70"
"1691779029-8","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/united-denim-flared-women-black-jeans/p/itm2f7dc5ab8624e?pid=JEAGNZ9GHQSCR8TS&lid=LSTJEAGNZ9GHQSCR8TSPHPJ4P&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_33&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGNZ9GHQSCR8TS.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared Mid Rise Black Jeans","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/v/h/l/32-udwj0046-united-denim-original-imagnz9hhzxs5hmp.jpeg?q=70"
"1691779032-9","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tap-boyfriend-women-black-jeans/p/itmcf70b0ba2d278?pid=JEAGPECWRY7PHSXG&lid=LSTJEAGPECWRY7PHSXGY5WJTT&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_32&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGPECWRY7PHSXG.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Boyfriend Mid Rise Black Jeans","₹658","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/z/f/7/30-black-jeans-the-tap-original-imagpecwqnwbqmnz.jpeg?q=70"
"1691779036-10","https://www.flipkart.com/search?q=wide%20jeans%20black%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/beauty-flared-women-black-jeans/p/itm63e022402b6ea?pid=JEAGHZJAHFHU2XAT&lid=LSTJEAGHZJAHFHU2XATLPTMX1&marketplace=FLIPKART&q=wide+jeans+black+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_31&otracker=search&otracker1=search&iid=4863efe0-d0e9-4e35-8143-5c2cebc784fe.JEAGHZJAHFHU2XAT.SEARCH&ssid=soalcyfaps0000001691779002882&qH=117757262dfb7260","Women Flared High Rise Black Jeans","₹794","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/q/l/h/30-1206-straight-beauty-original-imaghzjauqvf6gcz.jpeg?q=70"
