web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691778765-1","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dressberry-flared-women-blue-jeans/p/itmf71fe0d54dc95?pid=JEAGCNRBZZS6SZRR&lid=LSTJEAGCNRBZZS6SZRRRKHI9Q&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_40&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGCNRBZZS6SZRR.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹1,028","https://rukminim2.flixcart.com/image/832/832/l0zm64w0/jean/n/z/9/34-15056158-dressberry-original-imagcnz7uyabdaay.jpeg?q=70"
"1691778768-2","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/people-flared-women-blue-jeans/p/itmcabd86832ca3b?pid=JEAGG8DY4GDZYVJX&lid=LSTJEAGG8DY4GDZYVJXYLABCJ&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_39&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGG8DY4GDZYVJX.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared Mid Rise Blue Jeans","₹773","https://rukminim2.flixcart.com/image/832/832/l5ld8y80/jean/7/z/8/32-110120153medium-blue-people-original-imagg8czyzmp9kfy.jpeg?q=70"
"1691778771-3","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kerry-flared-women-blue-jeans/p/itmc6500ba1f7ad8?pid=JEAGQBKBQ5GCEZ6Y&lid=LSTJEAGQBKBQ5GCEZ6YWTQW2Q&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_38&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGQBKBQ5GCEZ6Y.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared Mid Rise Blue Jeans","₹664","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/i/m/s/26-basic-blue-straight-fit-jeans-kerry-original-imagqb6dbdzwvxee.jpeg?q=70"
"1691778775-4","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kotty-flared-women-blue-jeans/p/itmb06d15f292ab4?pid=JEAG2RQ3UPGJ9AFS&lid=LSTJEAG2RQ3UPGJ9AFSI7KT75&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_37&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAG2RQ3UPGJ9AFS.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹579","https://rukminim2.flixcart.com/image/832/832/koad9jk0/jean/s/t/c/32-kottyladiesjeans786-kotty-original-imag2rq339kwfrmu.jpeg?q=70"
"1691778779-5","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/roadster-flared-women-blue-jeans/p/itmf2a4a1e3503c1?pid=JEAGGBUEJB2KUW4M&lid=LSTJEAGGBUEJB2KUW4MSQQIQ2&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_36&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGGBUEJB2KUW4M.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared Mid Rise Blue Jeans","₹809","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/2/d/k/30-16835302-roadster-original-imaggbu2hcxzz486.jpeg?q=70"
"1691778782-6","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/guti-flared-women-blue-jeans/p/itm042d07b48bc41?pid=JEAGK8PA38H3TGMC&lid=LSTJEAGK8PA38H3TGMCESOFL5&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_35&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGK8PA38H3TGMC.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹749","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/w/p/i/26-gtladiesjeans152-guti-original-imagk8p8xhk2jbyf.jpeg?q=70"
"1691778785-7","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/zeeesh-flared-women-blue-jeans/p/itmd10a6669ab695?pid=JEAGG8F63HVGWACQ&lid=LSTJEAGG8F63HVGWACQCWXKN9&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_34&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGG8F63HVGWACQ.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹439","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/a/v/1/28-women-blue-denim-plazzo-zeeesh-original-imagg8f6cedwfzcq.jpeg?q=70"
"1691778788-8","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/guti-flared-women-blue-jeans/p/itm138ba4db9dc7a?pid=JEAGG34Q2HJPGHTF&lid=LSTJEAGG34Q2HJPGHTFCMYDHX&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_33&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGG34Q2HJPGHTF.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹749","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/v/k/r/30-gtladiesjeans147-guti-original-imagg34pqzhfb292.jpeg?q=70"
"1691778791-9","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/people-flared-women-blue-jeans/p/itm31252b99481eb?pid=JEAGF4CMUGNRP9HZ&lid=LSTJEAGF4CMUGNRP9HZURXU6Q&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_32&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGF4CMUGNRP9HZ.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared Mid Rise Blue Jeans","₹719","https://rukminim2.flixcart.com/image/832/832/l45xea80/jean/w/3/z/32-110120161medium-blue-people-original-imagf4cmbedph5nb.jpeg?q=70"
"1691778794-10","https://www.flipkart.com/search?q=wide%20jeans%20blue%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/desi-belle-flared-women-blue-jeans/p/itm9989a99b9f928?pid=JEAGG77S7RVZT5WG&lid=LSTJEAGG77S7RVZT5WGF2VY98&marketplace=FLIPKART&q=wide+jeans+blue+women&store=clo%2Fvua%2Fk58%2F4hp&srno=s_1_31&otracker=search&otracker1=search&iid=d007ae4a-ff16-4332-8134-f3fad1143234.JEAGG77S7RVZT5WG.SEARCH&ssid=j0fc91yils0000001691778759730&qH=6786d5d59b0fccb6","Women Flared High Rise Blue Jeans","₹779","https://rukminim2.flixcart.com/image/832/832/xif0q/jean/j/2/s/-original-imagq59meyxsgnhg.jpeg?q=70"
