web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691780823-1","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lenam-ankle-length-maternity-wear-legging/p/itm29f6ccee3359f?pid=LGGG3PKHCD6HQP2M&lid=LSTLGGG3PKHCD6HQP2ME2EIFV&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_40&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LGGG3PKHCD6HQP2M.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","Lenam Ankle Length  Maternity Wear Legging  (Black, Solid)","₹361","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/8/f/o/m-maternity-leggings-black-m-lenam-original-imag3pkhhhuczsky-bb.jpeg?q=70"
"1691780826-2","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/thread-plus-ankle-length-ethnic-wear-legging/p/itm31ee992b6b8a2?pid=LGGG5DCWH9PMTZZM&lid=LSTLGGG5DCWH9PMTZZMKV90G8&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_39&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LGGG5DCWH9PMTZZM.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","thread plus Ankle Length  Ethnic Wear Legging  (Black, Solid)","₹286","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/q/b/k/s-small-size-fit-to-waist-size-m-l-26-28-inches-threadplus-original-imag4z97sgxrzdym-bb.jpeg?q=70"
"1691780829-3","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ariel-legging-girls/p/itmde0417345bcfd?pid=KLGG9F4NYEYPS7DC&lid=LSTKLGG9F4NYEYPS7DCHXJ1NC&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_38&otracker=search&otracker1=search&iid=en_0e2jvm__rst7c1l4dKGPEmD9plYADGOd1q7NDl2l0coWZZXzK67MwHCrAN0sEn2UuYl75heILu_uMSpmWl9jzA%3D%3D&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","Legging For Girls  (Black Pack of 3)","₹799","https://rukminim2.flixcart.com/image/832/832/xif0q/kids-legging/z/n/s/3-4-years-ar-g-leg-p2-34-bprint-blflower-orange-ariel-original-imag9f4ngv54cuft-bb.jpeg?q=70"
"1691780832-4","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/max-ethnic-wear-legging/p/itm10b2f9d48ccd4?pid=LGGG69KSPZFSGVXN&lid=LSTLGGG69KSPZFSGVXNI5XEWH&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_37&otracker=search&otracker1=search&iid=en_0e2jvm__rst7c1l4dKGPEmD9plYADGOd1q7NDl2l0cqc2JolnCHbxTjfmXpHsGbXr49imXOD5G3ME-pkiSD_Dg%3D%3D&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","MAX Ethnic Wear Legging  (Black, Solid)","₹349","https://rukminim2.flixcart.com/image/832/832/ksru0sw0/legging/d/k/y/s-noosal21blblack-max-original-imag69fmmwzhhucn.jpeg?q=70"
"1691780835-5","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comforter-ankle-length-western-wear-legging/p/itm620118a5f3068?pid=LGGFXCZFXMR7DEEX&lid=LSTLGGFXCZFXMR7DEEXUKWEW6&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_36&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LGGFXCZFXMR7DEEX.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","Comforter Ankle Length Western Wear Legging  (Black, Solid)","₹165","https://rukminim2.flixcart.com/image/832/832/khavrm80-0/legging/s/k/l/l-lal001-comforter-original-imafxczfae7kzfaw.jpeg?q=70"
"1691780838-6","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jockey-ankle-length-western-wear-legging/p/itm11eb659eaad63?pid=LGGGD3ZGZSZKKJW4&lid=LSTLGGGD3ZGZSZKKJW4WIQ6Q7&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_35&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LGGGD3ZGZSZKKJW4.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","JOCKEY Ankle Length Western Wear Legging  (Black, Solid)","₹549","https://rukminim2.flixcart.com/image/832/832/kzsqykw0/legging/p/m/u/xl-aw87-leggings-jockey-original-imagbqfkgs6zzkmz.jpeg?q=70"
"1691780841-7","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nymex-ankle-length-ethnic-wear-legging/p/itm8888eef9f8325?pid=LGGG4ZZUGNVXD4AJ&lid=LSTLGGG4ZZUGNVXD4AJG7AZKM&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_34&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LGGG4ZZUGNVXD4AJ.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","NYMEX Ankle Length  Ethnic Wear Legging  (Black, Blue, White, Solid)","₹399","https://rukminim2.flixcart.com/image/832/832/kqqykcw0/legging/k/k/t/s-ankle-length-leggings-for-girls-women-combo-nymex-original-imag4zzu6u7mwzzy.jpeg?q=70"
"1691780844-8","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/slassy-ankle-length-ethnic-wear-legging/p/itmf3wcyz6bmwnpk?pid=LJGDPDMNWYAHSB7Y&lid=LSTLJGDPDMNWYAHSB7YED1JZY&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_33&otracker=search&otracker1=search&iid=4643e03b-fa22-4107-b6d5-c0b9edfb884b.LJGDPDMNWYAHSB7Y.SEARCH&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","Slassy Ankle Length  Ethnic Wear Legging  (Black, Solid)","₹310","https://rukminim2.flixcart.com/image/832/832/legging-jegging/v/q/j/1-1-legging-al-black-lux-lyra-free-original-imadpdqdzmvb8jgg.jpeg?q=70"
"1691780847-9","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/soch-ankle-length-western-wear-legging/p/itme6864d8362f4e?pid=LGGG29ZU5TXWJVSH&lid=LSTLGGG29ZU5TXWJVSHMLPURW&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_32&otracker=search&otracker1=search&iid=en_0e2jvm__rst7c1l4dKGPEmD9plYADGOd1q7NDl2l0cpsiFyyJC5gAtQCk0tbXhrs0M4llvX-hUnBrHFXnEku5Q%3D%3D&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","soch Ankle Length Western Wear Legging  (Black, Embroidered)","₹998","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/v/g/w/m-cwchpts024a-soch-original-imagkqkpgpvrjhqg.jpeg?q=70"
"1691780850-10","https://www.flipkart.com/search?q=Leggings%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lw-fashion-club-ankle-length-western-wear-legging/p/itm66a33d6f27a04?pid=LGGGEXYFZSJU4AZG&lid=LSTLGGGEXYFZSJU4AZGBF74BT&marketplace=FLIPKART&q=Leggings+black&store=clo&srno=s_1_31&otracker=search&otracker1=search&iid=en_0e2jvm__rst7c1l4dKGPEmD9plYADGOd1q7NDl2l0cqwaQ-3DXQbc_bzLCuxzh2cKtNINn0ibHqv-lZU1GG19w%3D%3D&ssid=si2ddy6l1c0000001691780818409&qH=be849b6116921fa1","Lw Fashion Club Ankle Length  Western Wear Legging  (Black, White, Solid)","₹439","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/z/7/h/m-lwfc-al-004-005-lw-fashion-club-original-imaggkkpdwc6cxjg.jpeg?q=70"
