web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691781310-1","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm49479adf6b050?pid=LGGGQ8GKEMVDCXA4&lid=LSTLGGGQ8GKEMVDCXA4NVDNTS&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_27&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKEMVDCXA4.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Grey, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/u/t/l/3xl-pocket-20-jade-ankle-bf-original-imagp6pyjj7s7gcz.jpeg?q=70"
"1691781313-2","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itmea99fca66f0c3?pid=LGGGQ8GK4UYMYGNF&lid=LSTLGGGQ8GK4UYMYGNFSVXLIA&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_26&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GK4UYMYGNF.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Brown, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/a/m/t/free-pocket-31dirty-pink-ankle-bf-original-imagp6rzk9mxhmpp.jpeg?q=70"
"1691781316-3","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itmd2c50b68f6fbb?pid=LGGGQ8GKWUMUYDHJ&lid=LSTLGGGQ8GKWUMUYDHJTS8BD3&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_25&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKWUMUYDHJ.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Pink, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/r/s/j/free-pocket-31dirty-pink-ankle-bf-original-imagp6rzmpacatje.jpeg?q=70"
"1691781319-4","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm0c5cb551e150e?pid=LGGGQ8GKJNJGXCRY&lid=LSTLGGGQ8GKJNJGXCRYBTTHWN&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_24&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKJNJGXCRY.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Purple, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/y/9/p/free-pocket-31dirty-pink-ankle-bf-original-imagp6smzttgtn4g.jpeg?q=70"
"1691781322-5","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itme699e4b1afbcd?pid=LGGGQ8GKZM3DBMSZ&lid=LSTLGGGQ8GKZM3DBMSZY6IS6N&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_23&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKZM3DBMSZ.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length Western Wear Legging  (Green, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/i/q/i/free-pocket-20-jade-ankle-bf-original-imagp6pyfymtv2em.jpeg?q=70"
"1691781325-6","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm3a7cdf1ddf63c?pid=LGGGQ8GKP4BZZF63&lid=LSTLGGGQ8GKP4BZZF63YSG00Q&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_22&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKP4BZZF63.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Pink, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/y/e/o/free-pocket-31dirty-pink-ankle-bf-original-imagp6rzx62gyhmv.jpeg?q=70"
"1691781328-7","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm2fa257c4db9a8?pid=LGGGQ8GKNGXJNRKG&lid=LSTLGGGQ8GKNGXJNRKGGBVFEE&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_21&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKNGXJNRKG.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Brown, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/l/y/r/3xl-pocket-31dirty-pink-ankle-bf-original-imagp6rpncdu4sua.jpeg?q=70"
"1691781331-8","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm6771b7147cd87?pid=LGGGQ8GKVXD79CRS&lid=LSTLGGGQ8GKVXD79CRSRGUYZK&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_20&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKVXD79CRS.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Beige, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/g/6/l/3xl-pocket-31dirty-pink-ankle-bf-original-imagp6rzrctzgcfs.jpeg?q=70"
"1691781334-9","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm5391b214b4f83?pid=LGGGQ8GKGPZD6WFP&lid=LSTLGGGQ8GKGPZD6WFPXJHFHJ&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_19&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKGPZD6WFP.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Pink, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/t/x/l/3xl-pocket-31dirty-pink-ankle-bf-original-imagp6smrzfkqhf6.jpeg?q=70"
"1691781337-10","https://www.flipkart.com/search?q=leggings%20ankle%20cut%20colored&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/comfort-pf-ankle-length-western-wear-legging/p/itm084c789917d40?pid=LGGGQ8GKZZNZNAJW&lid=LSTLGGGQ8GKZZNZNAJWEKCFUK&marketplace=FLIPKART&q=leggings+ankle+cut+colored&store=clo%2Fcfv%2Fht7%2Fcjo&srno=s_1_18&otracker=search&otracker1=search&iid=16084def-5c5a-4559-8969-a08f5ef97c58.LGGGQ8GKZZNZNAJW.SEARCH&ssid=a4nvygzke80000001691781304584&qH=c4a8259358615dc4","Comfort PF Ankle Length  Western Wear Legging  (Grey, Solid)","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-legging/p/i/k/3xl-pocket-20-jade-ankle-bf-original-imagp6pyyaxbtak2.jpeg?q=70"
