web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691781080-1","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/belonas-churidar-western-wear-legging/p/itm08027a42aef12?pid=LGGFTQWJJJNUD5HV&lid=LSTLGGFTQWJJJNUD5HVZPKXT4&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_40&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGFTQWJJJNUD5HV.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Belonas Churidar  Western Wear Legging  (White, Solid)","₹166","https://rukminim2.flixcart.com/image/832/832/kcp4osw0/legging/z/y/z/xl-papaya-4wl-cf-wht-xl-belonas-original-imaftqztmtb28gpc.jpeg?q=70"
"1691781083-2","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/indian-flower-ankle-length-western-wear-legging/p/itm2602acdf69f9b?pid=LGGG679FZNPE6DNK&lid=LSTLGGG679FZNPE6DNK6HMRQW&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_39&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGG679FZNPE6DNK.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","INDIAN FLOWER Ankle Length  Western Wear Legging  (White, Solid)","₹300","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/c/r/x/xxl-missi-if125-indian-flower-original-imag679ez7a5rgzg-bb.jpeg?q=70"
"1691781087-3","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lw-fashion-club-ankle-length-western-wear-legging/p/itm8f24837456714?pid=LGGGFGZDZHF93W9X&lid=LSTLGGGFGZDZHF93W9XJQF2JZ&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_38&otracker=search&otracker1=search&iid=en_Xydwm34uVe3a-02XVzt4Ze5VAC2e7vnXevZTQ_mCWqHfg8My4gVeKHnHwFUSmMHtnd28eZnfp8cB08JUfDTpcA%3D%3D&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Lw Fashion Club Ankle Length  Western Wear Legging  (White, Gold, Solid)","₹439","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/z/g/r/m-lwfc-al-005-010-lw-fashion-club-original-imaggkkpq5cnzvqw.jpeg?q=70"
"1691781090-4","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lw-fashion-club-ankle-length-western-wear-legging/p/itm6e960b313d659?pid=LGGGKPF2PTESJ4ZB&lid=LSTLGGGKPF2PTESJ4ZBBNZRRB&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_37&otracker=search&otracker1=search&iid=en_Xydwm34uVe3a-02XVzt4Ze5VAC2e7vnXevZTQ_mCWqEdSNOkoUtUIlUt2ezGkBXy2d5vQKCNs74fS5syrkmVsA%3D%3D&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Lw Fashion Club Ankle Length  Western Wear Legging  (Brown, Black, White, Solid)","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/0/k/d/xl-lwfc-al-brown-black-white-013-004-005-lw-fashion-club-original-imagf929tvab7bhd.jpeg?q=70"
"1691781093-5","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/anjanai-fashions-ethnic-wear-legging/p/itm9740842c3caa8?pid=LGGFMHYVAYHCD7GG&lid=LSTLGGFMHYVAYHCD7GGUYKKYR&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_36&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGFMHYVAYHCD7GG.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","ANJANAI FASHIONS Ethnic Wear Legging  (White, Solid)","₹179","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/v/h/t/xxl-anl-2-anjanai-fashions-original-imafmm69asak83cz-bb.jpeg?q=70"
"1691781096-6","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hamza-fashion-footed-ethnic-wear-legging/p/itm95dcdfc8c559e?pid=LGGFWR9XC3DNTUZE&lid=LSTLGGFWR9XC3DNTUZEOHXG2O&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_35&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGFWR9XC3DNTUZE.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","HAMZA FASHION Footed  Ethnic Wear Legging  (White, Black, Solid)","₹280","https://rukminim2.flixcart.com/image/832/832/k5h2jrk0/legging/t/f/h/xxl-rc-legi-2combo-ramya-collection-original-imafkgyfbzxuwuhk.jpeg?q=70"
"1691781100-7","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lyra-ankle-length-ethnic-wear-legging/p/itmf593fcabed5fd?pid=LGGFTJQZMU5V4ZVM&lid=LSTLGGFTJQZMU5V4ZVMPVSJOQ&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_34&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGFTJQZMU5V4ZVM.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Lyra Ankle Length Ethnic Wear Legging  (White, Solid)","₹419","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/z/v/m/free-lyra-ankle-010-lyra-original-imaftjy8wvhgv7ya-bb.jpeg?q=70"
"1691781103-8","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/boldpick-ankle-length-western-wear-legging/p/itm91372ae1993f1?pid=LGGGESJ2XES4567C&lid=LSTLGGGESJ2XES4567CPMUXFJ&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_33&otracker=search&otracker1=search&iid=dbd6d48e-6ff7-4e46-82bb-71fa315139bf.LGGGESJ2XES4567C.SEARCH&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Boldpick Ankle Length  Western Wear Legging  (White, Solid)","₹229","https://rukminim2.flixcart.com/image/832/832/l3dcl8w0/legging/l/a/o/free-women-s-stretch-fit-viscose-lycra-designer-bottom-lace-original-imageg7tkz6vtgtk.jpeg?q=70"
"1691781106-9","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lw-fashion-club-ankle-length-western-wear-legging/p/itm92f626aec2d05?pid=LGGGKPFF7BDPFKZP&lid=LSTLGGGKPFF7BDPFKZPBCLIQA&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_32&otracker=search&otracker1=search&iid=en_Xydwm34uVe3a-02XVzt4Ze5VAC2e7vnXevZTQ_mCWqFnSmuJ1mLvIH0eDFHq_kKc9FtRlBQr6_DIoYJU05PszQ%3D%3D&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Lw Fashion Club Ankle Length  Western Wear Legging  (Beige, Black, White, Solid)","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/0/4/k/free-lwfc-al-beige-black-white-014-004-005-lw-fashion-club-original-imaghh2zfsgeseyp.jpeg?q=70"
"1691781109-10","https://www.flipkart.com/search?q=Leggings%20white%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lw-fashion-club-ankle-length-western-wear-legging/p/itm49e1d581bd19e?pid=LGGGEXXWYCFSRAGP&lid=LSTLGGGEXXWYCFSRAGPULMW8C&marketplace=FLIPKART&q=Leggings+white+for+women&store=clo&srno=s_1_31&otracker=search&otracker1=search&iid=en_Xydwm34uVe3a-02XVzt4Ze5VAC2e7vnXevZTQ_mCWqEQj5_aB88LzZViWmZvX9QQyHroEKpO5b6jHaoT8MZPAQ%3D%3D&ssid=0v84voge800000001691781074684&qH=63a9b986903e5b45","Lw Fashion Club Ankle Length  Western Wear Legging  (White, Dark Blue, Solid)","₹439","https://rukminim2.flixcart.com/image/832/832/xif0q/legging/u/4/c/xl-lwfc-al-005-011-lw-fashion-club-original-imaggkkpphhryycq.jpeg?q=70"
