web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691767615-1","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sheetal-associates-women-bodycon-black-dress/p/itm7f5d83a55169d?pid=DREGMZMHRS7RY9FX&lid=LSTDREGMZMHRS7RY9FXEC83RF&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREGMZMHRS7RY9FX.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Bodycon Black Dress","₹380","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/e/a/d/xs-6111-sheetal-associates-original-imagmzm9kya695ha.jpeg?q=70"
"1691767618-2","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/qena-women-maxi-black-dress/p/itm69b79981c04d4?pid=DREGD5C7TEAAWQBG&lid=LSTDREGD5C7TEAAWQBG0TXFWY&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREGD5C7TEAAWQBG.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Maxi Black Dress","₹425","https://rukminim2.flixcart.com/image/832/832/l1mh7rk0/dress/j/n/v/m-7509-lezly-original-imagd5h7hrhftz3r.jpeg?q=70"
"1691767621-3","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aayu-women-fit-flare-black-dress/p/itm96321c7e92316?pid=DREG8K64PAQZ2CGS&lid=LSTDREG8K64PAQZ2CGSMV62MT&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREG8K64PAQZ2CGS.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Fit and Flare Black Dress","₹419","https://rukminim2.flixcart.com/image/832/832/kvpklu80/dress/r/3/4/s-aa-0119-mauve-boho-long-dress-aayu-original-imag8k648mcxpeud.jpeg?q=70"
"1691767624-4","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/harpa-women-fit-flare-black-dress/p/itmf3vcp5t8hguz9?pid=DREESXZBHZV4RSJ6&lid=LSTDREESXZBHZV4RSJ6ZG7GDO&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREESXZBHZV4RSJ6.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Fit and Flare Black Dress","₹628","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/g/d/n/s-gr3544-black-harpa-original-imaer6gzzvxg7fup-bb.jpeg?q=70"
"1691767627-5","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/daevish-women-skater-black-dress/p/itme6983dab1e838?pid=DREFXCHTHDP7FG3C&lid=LSTDREFXCHTHDP7FG3CYGLEXF&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREFXCHTHDP7FG3C.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Skater Black Dress","₹340","https://rukminim2.flixcart.com/image/832/832/khavrm80-0/dress/f/l/n/xxl-dress-226-daevish-original-imafxchtedxbzszb.jpeg?q=70"
"1691767630-6","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sheetal-associates-women-bodycon-black-dress/p/itmc94f37cb7c4a9?pid=DREGG2RDTHDTPFHG&lid=LSTDREGG2RDTHDTPFHGSOHME8&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREGG2RDTHDTPFHG.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Bodycon Black Dress","₹350","https://rukminim2.flixcart.com/image/832/832/l5e81ow0/dress/y/0/n/xs-1681-sheetal-associates-original-imagg2rckgsgtgyr.jpeg?q=70"
"1691767633-7","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-a-line-black-dress/p/itmceab5d308305c?pid=DREFTGGCTQRFXXCK&lid=LSTDREFTGGCTQRFXXCK3GH2U3&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREFTGGCTQRFXXCK.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women A-line Black Dress","₹494","https://rukminim2.flixcart.com/image/832/832/kflftzk0/dress/b/u/s/s-ttj6005145-tokyo-talkies-original-imafwyy7jszqqtzw.jpeg?q=70"
"1691767636-8","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/deklook-women-bodycon-black-dress/p/itmd7c93fbe198ec?pid=DREGJXZ4YZY3UV9H&lid=LSTDREGJXZ4YZY3UV9HVFAULO&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREGJXZ4YZY3UV9H.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Bodycon Black Dress","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/k/a/i/s-dd525-dresss-deklook-original-imagjxz4kmv5snaz.jpeg?q=70"
"1691767639-9","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/iuga-women-bodycon-black-dress/p/itm86f0f9bf48bdb?pid=DREGHYP5ZJFGJFSN&lid=LSTDREGHYP5ZJFGJFSN1XYLZV&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=31ab70a7-3fc1-42a2-9f32-8bc4cc847bd2.DREGHYP5ZJFGJFSN.SEARCH&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Bodycon Black Dress","₹338","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/n/r/1/l-dress-05-feminnine-original-imaghyp53nbyners.jpeg?q=70"
"1691767642-10","https://www.flipkart.com/search?q=dresses%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sais-women-gown-black-dress/p/itmfaee534ff6f6b?pid=DREGEDSMEV4TMRJT&lid=LSTDREGEDSMEV4TMRJTTFVCLR&marketplace=FLIPKART&q=dresses+for+women+black&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=en_DFhFqCYrEJd2ONi309DhJKVSaDuIliOZbzmSUyHlhLaI9pYZ2zOvsdVGfteqkawzOps95iTJNmK-5mZx7wmqdw%3D%3D&ssid=6g6cp22gsw0000001691767610259&qH=22572284522159d7","Women Gown Black Dress","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/z/o/k/m-frockh0046-sai-s-original-imagkb7deezzebxk.jpeg?q=70"
