web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691771020-1","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-maxi-blue-dress/p/itm4378efe83c24c?pid=DREGENVBSYEDYZ3V&lid=LSTDREGENVBSYEDYZ3VECOWRB&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGENVBSYEDYZ3V.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Maxi Blue Dress","₹752","https://rukminim2.flixcart.com/image/832/832/l3khsi80/dress/z/2/l/xl-ttj6007155-tokyo-talkies-original-imagenvaztad48xw.jpeg?q=70"
"1691771023-2","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/micozy-women-skater-blue-dress/p/itm436c25a3a94e8?pid=DREFKG5DMZBC7F8C&lid=LSTDREFKG5DMZBC7F8CFUSILO&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREFKG5DMZBC7F8C.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Skater Blue Dress","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/g/m/t/xl-f23-37-new-ethical-fashion-original-imafkgu7hgeffcfa-bb.jpeg?q=70"
"1691771026-3","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/henal-women-fit-flare-blue-dress/p/itme72ee5ad45070?pid=DREGH647DZTVHNPB&lid=LSTDREGH647DZTVHNPBIYA2DX&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGH647DZTVHNPB.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Fit and Flare Blue Dress","₹759","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/b/i/d/xxl-h370-blue-flower-maternity-dress-henal-original-imagkrq6tf4zxt9z.jpeg?q=70"
"1691771029-4","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hi-fashion-women-fit-flare-blue-white-dress/p/itm1a8faebedb35f?pid=DREGRWEYHYKQFJCC&lid=LSTDREGRWEYHYKQFJCCZOZ16R&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=en_RA19CMCuy4WVYE7f3LUixkptsd1dJfKG2xx3mxYcdHYVxvfihhgspwAkqdvsb0r8Q2REo5Ed_cusyCFWGHzJIA%3D%3D&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Fit and Flare Blue, White Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/w/t/i/3xl-d79-hi-fashion-original-imagrvj6dfdzkpxr.jpeg?q=70"
"1691771032-5","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/daevish-women-gown-blue-white-gold-dress/p/itmcb2f8a13bdfe2?pid=DREGMPP8KFYNVFC5&lid=LSTDREGMPP8KFYNVFC5BYB9FN&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGMPP8KFYNVFC5.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Gown Blue, White, Gold Dress","₹629","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/v/g/n/m-dv417-daevish-original-imagmpm9hzangwfy.jpeg?q=70"
"1691771035-6","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabflee-women-a-line-blue-dress/p/itm88dbb7dd74142?pid=DREGDC447UXFZEZK&lid=LSTDREGDC447UXFZEZKIDYJA2&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGDC447UXFZEZK.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women A-line Blue Dress","₹494","https://rukminim2.flixcart.com/image/832/832/l1v1uvk0/dress/u/r/a/s-maxi-10-fabflee-original-imagdc44ytgkpzwn.jpeg?q=70"
"1691771038-7","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fashfun-women-co-ords-blue-dress/p/itm441949daf9a75?pid=DREGHMUHZFQSZCZG&lid=LSTDREGHMUHZFQSZCZG7SRW48&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGHMUHZFQSZCZG.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Co-ords Blue Dress","₹769","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/f/x/l/xs-fsh-coord-an-1-q1-fashfun-original-imaghmuhbtvarkvy.jpeg?q=70"
"1691771041-8","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sheetal-associates-women-bodycon-blue-dress/p/itmf3253edf05c89?pid=DREGG2RMCTYE6PES&lid=LSTDREGG2RMCTYE6PESEJJQT3&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=5a06afe0-4dae-4acb-af87-468268958e42.DREGG2RMCTYE6PES.SEARCH&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women Bodycon Blue Dress","₹379","https://rukminim2.flixcart.com/image/832/832/l5e81ow0/dress/h/e/n/l-1683-sheetal-associates-original-imagg2rhczeuquta.jpeg?q=70"
"1691771044-9","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/w-women-a-line-blue-dress/p/itm1c0a34e2bbe34?pid=DREGAJYNKGXZDDWH&lid=LSTDREGAJYNKGXZDDWHPAXHUV&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=en_RA19CMCuy4WVYE7f3LUixkptsd1dJfKG2xx3mxYcdHYPUnmUFypVK3Udr3QOUerZKqOfDHMF84aKKh0BYe8iMQ%3D%3D&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women A-line Blue Dress","₹999","https://rukminim2.flixcart.com/image/832/832/kyag87k0/dress/a/1/m/xl-22few15952-216682-w-original-imagajyhgeahgtfk.jpeg?q=70"
"1691771047-10","https://www.flipkart.com/search?q=dresses%20for%20women%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hi-fashion-women-a-line-blue-dress/p/itmd216683786550?pid=DREGRVG4H5UXPHHP&lid=LSTDREGRVG4H5UXPHHPQDIFDF&marketplace=FLIPKART&q=dresses+for+women+blue&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=en_RA19CMCuy4WVYE7f3LUixkptsd1dJfKG2xx3mxYcdHanD8qFFvsMWW5nos7TgkFnqwb7ywSEugSSc128uhAUAQ%3D%3D&ssid=x4kphi3dqo0000001691771015177&qH=bce0d75b4c12632d","Women A-line Blue Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/u/u/w/3xl-d81-hi-fashion-original-imagrvg4dnkafdyy.jpeg?q=70"
