web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691772896-1","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/harpa-women-maxi-beige-dress/p/itma2e633193e941?pid=DREGCGYGDQYZYFET&lid=LSTDREGCGYGDQYZYFETWGNCSZ&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREGCGYGDQYZYFET.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Maxi Beige Dress","₹730","https://rukminim2.flixcart.com/image/832/832/l0tweq80/dress/h/f/s/m-gr6261-beige-harpa-original-imagcgyh4qxsfqwn.jpeg?q=70"
"1691772899-2","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/daevish-women-fit-flare-black-dress/p/itm0fa7e708f9e0c?pid=DREGHFAK8FNSPDXX&lid=LSTDREGHFAK8FNSPDXXSBRGKN&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREGHFAK8FNSPDXX.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Fit and Flare Black Dress","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/n/n/n/m-dv412-daevish-original-imaghfajkae4cndx.jpeg?q=70"
"1691772902-3","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabflee-women-fit-flare-pink-dress/p/itm6a2d23808d916?pid=DREGHJHENPMFPBXG&lid=LSTDREGHJHENPMFPBXGNR8UHR&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREGHJHENPMFPBXG.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Fit and Flare Pink Dress","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/y/v/g/xxl-maxi-n-31-fabflee-original-imagn68ywtzcsjdz.jpeg?q=70"
"1691772905-4","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/seryeon-women-a-line-multicolor-dress/p/itm7d41e93e7f9a2?pid=DREGRHZZRGJWGGTK&lid=LSTDREGRHZZRGJWGGTK3ISJB0&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=en_lgSX9nNcQVU3qoYHiRuOyBkWYbzsQU6wS6AdIPMnGMFpSayE3ntlOcBNjO5_dsuoOqvoR_0B13KAV62nMSdheQ%3D%3D&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women A-line Multicolor Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/d/r/r/xxl-ssd405m15-seryeon-original-imagrhzzdtcfzqm2.jpeg?q=70"
"1691772908-5","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-fit-flare-red-dress/p/itm23452fc70c4e4?pid=DREGDZCWZSD3GAEE&lid=LSTDREGDZCWZSD3GAEE5JBEFT&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREGDZCWZSD3GAEE.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Fit and Flare Red Dress","₹949","https://rukminim2.flixcart.com/image/832/832/l2arp8w0/dress/j/x/q/xl-sfdrss10603-sassafras-original-imagdzcwkgsbdksy.jpeg?q=70"
"1691772911-6","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/harpa-women-fit-flare-black-dress/p/itmf3vcp5t8hguz9?pid=DREESXZBHZV4RSJ6&lid=LSTDREESXZBHZV4RSJ6ZG7GDO&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREESXZBHZV4RSJ6.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Fit and Flare Black Dress","₹628","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/g/d/n/s-gr3544-black-harpa-original-imaer6gzzvxg7fup-bb.jpeg?q=70"
"1691772914-7","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/daevish-women-skater-black-dress/p/itme6983dab1e838?pid=DREFXCHTHDP7FG3C&lid=LSTDREFXCHTHDP7FG3CYGLEXF&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREFXCHTHDP7FG3C.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Skater Black Dress","₹340","https://rukminim2.flixcart.com/image/832/832/khavrm80-0/dress/f/l/n/xxl-dress-226-daevish-original-imafxchtedxbzszb.jpeg?q=70"
"1691772917-8","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/daevish-women-fit-flare-maroon-dress/p/itm91f894380b8d8?pid=DREGHFAK8FGGHGSD&lid=LSTDREGHFAK8FGGHGSD6Y7CPE&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=1f745404-b84a-43d1-8546-c107b4feaa8f.DREGHFAK8FGGHGSD.SEARCH&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women Fit and Flare Maroon Dress","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/x/u/i/l-dv412-daevish-original-imaghfak5zfgyqfn.jpeg?q=70"
"1691772920-9","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/seryeon-women-a-line-white-yellow-light-blue-dress/p/itm41d7ebf3297e5?pid=DREGRHZZCX7SXBKU&lid=LSTDREGRHZZCX7SXBKUGQ4Z3P&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=en_lgSX9nNcQVU3qoYHiRuOyBkWYbzsQU6wS6AdIPMnGMFsn23r3SXD4HtC8xU-yIsO6MsGfIeKCGM-1W-leVHI8A%3D%3D&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women A-line White, Yellow, Light Blue Dress","₹1,399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/9/n/j/xl-ssd404fw5-seryeon-original-imagrhzzwm39gvpa.jpeg?q=70"
"1691772923-10","https://www.flipkart.com/search?q=dresses%20for%20women%20floral&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/seryeon-women-a-line-multicolor-dress/p/itm854d43c7ad346?pid=DREGRHZZUZGGYEZZ&lid=LSTDREGRHZZUZGGYEZZM0EFJW&marketplace=FLIPKART&q=dresses+for+women+floral&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=en_lgSX9nNcQVU3qoYHiRuOyBkWYbzsQU6wS6AdIPMnGMETbxSl7f3sSp6HCLrHQmDKDmWBWLGP8lxOg2h5_fIXYg%3D%3D&ssid=09g11kgmb40000001691772890471&qH=a60480c81a6b7b0b","Women A-line Multicolor Dress","₹1,749","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/y/h/x/s-ssd405r18-seryeon-original-imagrhzzvczryv9k.jpeg?q=70"
