web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691771671-1","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kotty-women-co-ords-red-dress/p/itmf0c46e0dcc13a?pid=DREGRGTNHU9MMWXQ&lid=LSTDREGRGTNHU9MMWXQUBR4VS&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREGRGTNHU9MMWXQ.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Co-ords Red Dress","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/apparel-set/7/q/2/xl-kttdressset15-co-ords-kotty-original-imagrae8uga4agjq.jpeg?q=70"
"1691771674-2","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-a-line-red-dress/p/itm7450d4bdfad6f?pid=DREGKGFQYHEC25RX&lid=LSTDREGKGFQYHEC25RXNOV8FV&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREGKGFQYHEC25RX.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women A-line Red Dress","₹615",""
"1691771677-3","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mokshi-women-ethnic-dress-orange-white/p/itm01b67e95b8501?pid=DREGRUEVRKHWGZE7&lid=LSTDREGRUEVRKHWGZE7AXKVDP&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=en_zV5VKgIcQFvhubgI9vCvGi-xPpq0uxJ4tkbX-91jwSyhtkr2kmlK_nfTCvjTsbB44VfeyF3XOhU2pKxDNDTOIA%3D%3D&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Ethnic Dress Orange, White Dress","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/q/o/l/4xl-ku804org-mokshi-original-imagrueu5rggynvg.jpeg?q=70"
"1691771680-4","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/inweave-women-a-line-red-dress/p/itm6cfb0ac7be068?pid=DREGN7S5KJG8XGP5&lid=LSTDREGN7S5KJG8XGP5TGNSRW&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=en_zV5VKgIcQFvhubgI9vCvGi-xPpq0uxJ4tkbX-91jwSyV9C1VxaITTLq4azfj12XCL3sIj-iimw7-GT0HvTpNSA%3D%3D&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women A-line Red Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/b/i/g/xl-545617013971-inweave-original-imagn7s5zxhbqbzv.jpeg?q=70"
"1691771683-5","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/oomph-women-ruffled-red-dress/p/itm2b6267e653144?pid=DREG7CPFPBAD3YDR&lid=LSTDREG7CPFPBAD3YDRDOXLNN&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREG7CPFPBAD3YDR.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Ruffled Red Dress","₹449","https://rukminim2.flixcart.com/image/832/832/ku5ufm80/dress/2/j/d/l-md368-oomph-original-imag7cpffftg872u.jpeg?q=70"
"1691771686-6","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/urbanic-women-a-line-red-dress/p/itm1a7afbafcb1bc?pid=DREGDZMWDJXQAWVC&lid=LSTDREGDZMWDJXQAWVCX3GWKB&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREGDZMWDJXQAWVC.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women A-line Red Dress","₹388","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/l/2/i/-original-imagq59my97zcruy.jpeg?q=70"
"1691771689-7","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-ruffled-red-white-blue-dress/p/itmf0241aef12feb?pid=DREGHDYAJGUYHYWZ&lid=LSTDREGHDYAJGUYHYWZWVXX8R&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREGHDYAJGUYHYWZ.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Ruffled Red, White, Blue Dress","₹674",""
"1691771692-8","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-maxi-red-green-dress/p/itmac0df57d3a47f?pid=DREFPYMVFDNREUUB&lid=LSTDREFPYMVFDNREUUB68O6LP&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=1df14891-8721-45b7-a8e6-5da55f80fb7c.DREFPYMVFDNREUUB.SEARCH&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Maxi Red, Green Dress","₹949","https://rukminim2.flixcart.com/image/832/832/k6mibgw0/dress/r/t/y/xl-sfdrss1810-sassafras-original-imafpyzfhvzajmu5.jpeg?q=70"
"1691771695-9","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hi-fashion-women-fit-flare-blue-dress/p/itm3ecc8bd14ccbf?pid=DREGS43Y6WZBKRGG&lid=LSTDREGS43Y6WZBKRGGTTL1PB&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=en_zV5VKgIcQFvhubgI9vCvGi-xPpq0uxJ4tkbX-91jwSxbGjUTKob2zO91s7elOXoHCrCIUI-k1X-c4UnwO0cfxg%3D%3D&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Fit and Flare Blue Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/6/m/z/m-d85-hi-fashion-original-imags433qwhqyg22.jpeg?q=70"
"1691771698-10","https://www.flipkart.com/search?q=dresses%20for%20women%20red&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/beatnik-women-wrap-blue-dress/p/itmffe2db6c2a477?pid=DREGNXZW8VNUCCHU&lid=LSTDREGNXZW8VNUCCHUW6CC6C&marketplace=FLIPKART&q=dresses+for+women+red&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=en_zV5VKgIcQFvhubgI9vCvGi-xPpq0uxJ4tkbX-91jwSwGKhzZCAmoIfX14UK9oTscmpMI0da4SVYlOOV1xyjUBw%3D%3D&ssid=gxz4v8kg9c0000001691771666478&qH=10f7839f9426bd55","Women Wrap Blue Dress","₹1,649","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/l/h/f/xl-wdr2022216-beatnik-original-imagnxzw8hauagvd.jpeg?q=70"
