web-scraper-order,web-scraper-start-url,SIngle,SIngle-href,Title,Price,Image-src
"1691770734-1","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-a-line-white-dress/p/itm6179ff3f89779?pid=DREFPJHRZZYDPE6T&lid=LSTDREFPJHRZZYDPE6TNVHOBH&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREFPJHRZZYDPE6T.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women A-line White Dress","₹759","https://rukminim2.flixcart.com/image/832/832/k79dd3k0/dress/t/f/7/xs-sfdrss1836-sassafras-original-imafpjqfptvsjmv8.jpeg?q=70"
"1691770737-2","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-maxi-white-dress/p/itmf3vczgvurfnpd?pid=DREF2UHNZV8MCTWQ&lid=LSTDREF2UHNZV8MCTWQUGDAQE&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREF2UHNZV8MCTWQ.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Maxi White Dress","₹725","https://rukminim2.flixcart.com/image/832/832/kkvhea80/dress/1/t/u/xxl-sfdrss1237-sassafras-original-imagy4j5r8myjzhp.jpeg?q=70"
"1691770740-3","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/inweave-women-kaftan-white-dress/p/itmdb4a462ca8a3c?pid=DREGN7S5HHXKPGYN&lid=LSTDREGN7S5HHXKPGYNHME58C&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=en_jeXHO-egAZ0qXJZWeiCq1RSqlTTRb7qdYx5kjyOLAb4ioAgAf_btgvtMf3il2BOJq3jMAkwN95XD7_Hn0H04qw%3D%3D&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Kaftan White Dress","₹899","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/j/z/r/l-545616073276-inweave-original-imagn7s5h5ubhjze.jpeg?q=70"
"1691770743-4","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/inweave-women-kaftan-white-dress/p/itm1fef4d49ea631?pid=DREGN7S5FX5NBYQR&lid=LSTDREGN7S5FX5NBYQRR8BB6R&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=en_jeXHO-egAZ0qXJZWeiCq1RSqlTTRb7qdYx5kjyOLAb7N-LL087ooL4KR556YbrGKZ6FaoBLDrp-EkLZRt3M1Ag%3D%3D&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Kaftan White Dress","₹899","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/j/z/r/l-545616073276-inweave-original-imagn7s5h5ubhjze.jpeg?q=70"
"1691770746-5","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-gown-white-dress/p/itm2fde359a4b831?pid=DREG9EWEMPHFXBZZ&lid=LSTDREG9EWEMPHFXBZZWH5G26&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREG9EWEMPHFXBZZ.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Gown White Dress","₹559","https://rukminim2.flixcart.com/image/832/832/kwtkxow0/dress/m/n/v/l-ttj6005889-tokyo-talkies-original-imag9ewcgdfmgyxf.jpeg?q=70"
"1691770749-6","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-bodycon-white-dress/p/itmfe41d0bebd166?pid=DREG9CSY7RQ3Z8WS&lid=LSTDREG9CSY7RQ3Z8WSL6TAJM&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREG9CSY7RQ3Z8WS.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Bodycon White Dress","₹683","https://rukminim2.flixcart.com/image/832/832/kwqq1zk0/dress/z/9/c/xxl-sfdrss10372-sassafras-original-imag9crymkygafrb.jpeg?q=70"
"1691770752-7","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pretty-loving-thing-women-a-line-white-dress/p/itm3c377badb6fb7?pid=DREG73GFQPHMHP66&lid=LSTDREG73GFQPHMHP66UKKTON&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREG73GFQPHMHP66.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women A-line White Dress","₹629","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/5/2/h/l-pltdr034white-pretty-loving-thing-original-imagzt5kgjzg5mpd.jpeg?q=70"
"1691770755-8","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-a-line-white-dress/p/itmf02ec5b7b7bb6?pid=DREGBTE4Z3FC4ANB&lid=LSTDREGBTE4Z3FC4ANB66STRM&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=68c2cb00-02d9-4e1e-9ae7-299b62546306.DREGBTE4Z3FC4ANB.SEARCH&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women A-line White Dress","₹524","https://rukminim2.flixcart.com/image/832/832/kzx1a4w0/dress/2/v/c/xl-ttj6006673-tokyo-talkies-original-imagbte46tze8ahb.jpeg?q=70"
"1691770758-9","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hi-fashion-women-fit-flare-blue-white-dress/p/itm1a8faebedb35f?pid=DREGRWEYHYKQFJCC&lid=LSTDREGRWEYHYKQFJCCZOZ16R&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=en_jeXHO-egAZ0qXJZWeiCq1RSqlTTRb7qdYx5kjyOLAb5dgkBUwA2VjuSbPeFdCmXhQ2REo5Ed_cusyCFWGHzJIA%3D%3D&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women Fit and Flare Blue, White Dress","₹1,499","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/w/t/i/3xl-d79-hi-fashion-original-imagrvj6dfdzkpxr.jpeg?q=70"
"1691770762-10","https://www.flipkart.com/search?q=dresses%20for%20women%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/seryeon-women-a-line-white-yellow-light-blue-dress/p/itm41d7ebf3297e5?pid=DREGRHZZCX7SXBKU&lid=LSTDREGRHZZCX7SXBKUGQ4Z3P&marketplace=FLIPKART&q=dresses+for+women+white&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=en_jeXHO-egAZ0qXJZWeiCq1RSqlTTRb7qdYx5kjyOLAb5NCAcrD88MzqapWiSCmpHF6MsGfIeKCGM-1W-leVHI8A%3D%3D&ssid=qas1okui1s0000001691770729239&qH=5272ed0483099e51","Women A-line White, Yellow, Light Blue Dress","₹1,399","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/9/n/j/xl-ssd404fw5-seryeon-original-imagrhzzwm39gvpa.jpeg?q=70"
