web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691771417-1","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-ribbed-yellow-dress/p/itm43133056de8e7?pid=DREG9EWAMKZHXFSP&lid=LSTDREG9EWAMKZHXFSPPMJQCM&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_40&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREG9EWAMKZHXFSP.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Ribbed Yellow Dress","₹239","https://rukminim2.flixcart.com/image/832/832/kwtkxow0/dress/b/a/m/m-ttj6006150-tokyo-talkies-original-imag9ewakwpuwggt.jpeg?q=70"
"1691771420-2","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-bodycon-yellow-dress/p/itm0f5e19f9ca54b?pid=DREG96YZQ5HJRKFS&lid=LSTDREG96YZQ5HJRKFSNNJDL8&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_39&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREG96YZQ5HJRKFS.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Bodycon Yellow Dress","₹279","https://rukminim2.flixcart.com/image/832/832/kwjkuq80/dress/u/y/n/m-ttj6006109-tokyo-talkies-original-imag96yvwrjussbv.jpeg?q=70"
"1691771423-3","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vaani-creation-women-gathered-yellow-dress/p/itm60e457ab43697?pid=DREGGHRG9X6PXQVE&lid=LSTDREGGHRG9X6PXQVEAGPNKV&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_38&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGGHRG9X6PXQVE.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Gathered Yellow Dress","₹469","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/f/i/3/m-bluecurrent-vaani-creation-original-imagghqydbkepmev.jpeg?q=70"
"1691771426-4","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fashion2wear-women-maxi-yellow-dress/p/itm6c52a1de44af4?pid=DREFPNY3VSW3TJRQ&lid=LSTDREFPNY3VSW3TJRQWOJKHB&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_37&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREFPNY3VSW3TJRQ.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Maxi Yellow Dress","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/r/w/n/3xl-ww119-zoya-clothing-original-imafzqbxzxfdsk5z-bb.jpeg?q=70"
"1691771429-5","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ng-store-women-t-shirt-yellow-dress/p/itmcc093a6041105?pid=DREG9K6PBPCMTKJF&lid=LSTDREG9K6PBPCMTKJFLUYZVO&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_36&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREG9K6PBPCMTKJF.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women T Shirt Yellow Dress","₹244","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/n/s/s/l-ng-polo-pocket-ng-store-original-imagpa48kwdygam9.jpeg?q=70"
"1691771432-6","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/harpa-women-pleated-yellow-dress/p/itm2bdc00c5b6e4a?pid=DREGM5RNSU9CQFZM&lid=LSTDREGM5RNSU9CQFZM9THSMD&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_35&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGM5RNSU9CQFZM.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Pleated Yellow Dress","₹760",""
"1691771435-7","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/selvia-women-a-line-yellow-dress/p/itmedf345d6c3da4?pid=DREGBKU72JYYCU3Y&lid=LSTDREGBKU72JYYCU3YKPCJBP&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_34&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGBKU72JYYCU3Y.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women A-line Yellow Dress","₹399","https://rukminim2.flixcart.com/image/832/832/kzllrbk0/dress/g/r/e/s-260tk5033-selvia-original-imagbku6uecu2kja.jpeg?q=70"
"1691771441-8","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/urbanic-women-a-line-yellow-dress/p/itmcd0689983cd92?pid=DREGDZMVYQZKUYPW&lid=LSTDREGDZMVYQZKUYPW23MVCF&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_33&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGDZMVYQZKUYPW.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women A-line Yellow Dress","₹417","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/f/w/8/-original-imagq59makfeu7vh.jpeg?q=70"
"1691771444-9","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/surhi-women-maxi-yellow-dress/p/itmb696d92c47a77?pid=DREFZG5RJNXABGYP&lid=LSTDREFZG5RJNXABGYPCF80WU&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_32&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREFZG5RJNXABGYP.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Maxi Yellow Dress","₹367","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/w/u/a/s-sa19dr519y-surhi-original-imag7zzaybuzwjhf-bb.jpeg?q=70"
"1691771447-10","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-ribbed-yellow-dress/p/itmb890d921a4a8e?pid=DREG9EWANWAAZEGZ&lid=LSTDREG9EWANWAAZEGZWJIRKQ&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_31&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREG9EWANWAAZEGZ.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Ribbed Yellow Dress","₹329","https://rukminim2.flixcart.com/image/832/832/kwtkxow0/dress/5/o/q/xl-ttj6006065-tokyo-talkies-original-imag9ewa6fedyzsk.jpeg?q=70"
"1691771450-11","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-women-wrap-yellow-dress/p/itmec84c278c8143?pid=DREGF3XCSHESQF6X&lid=LSTDREGF3XCSHESQF6XZKFREM&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_30&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGF3XCSHESQF6X.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Wrap Yellow Dress","₹664","https://rukminim2.flixcart.com/image/832/832/km57hjk0/dress/i/b/k/xxl-sfdrss10027-sassafras-original-imagf3xby3e4czrr.jpeg?q=70"
"1691771453-12","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pretty-loving-thing-women-two-piece-dress-yellow/p/itm2431e5b202fa4?pid=DREG4KEX9QNSZYHY&lid=LSTDREG4KEX9QNSZYHYTMKLBW&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_29&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREG4KEX9QNSZYHY.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Two Piece Dress Yellow Dress","₹495","https://rukminim2.flixcart.com/image/832/832/ksyz8280/dress/q/w/e/s-pltsk002mustard-pretty-loving-thing-original-imag6fyhghchymyd.jpeg?q=70"
"1691771459-13","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-co-ords-yellow-dress/p/itm2148397ef5849?pid=DREGNW2HKEZJA5EF&lid=LSTDREGNW2HKEZJA5EFYHYIYN&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_28&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGNW2HKEZJA5EF.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Co-ords Yellow Dress","₹855",""
"1691771462-14","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tokyo-talkies-women-maxi-yellow-dress/p/itm21b42a39acf8e?pid=DREGENVBZHQYK6SZ&lid=LSTDREGENVBZHQYK6SZ2YXSVA&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_27&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREGENVBZHQYK6SZ.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Maxi Yellow Dress","₹752","https://rukminim2.flixcart.com/image/832/832/l3khsi80/dress/w/t/z/xl-ttj6007157-tokyo-talkies-original-imagenvazfrdygvu.jpeg?q=70"
"1691771465-15","https://www.flipkart.com/search?q=dresses%20for%20women%20yellow&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rudraaksha-women-fit-flare-yellow-dress/p/itmf0782d7f4a25f?pid=DREFVAGEZA5DNWXU&lid=LSTDREFVAGEZA5DNWXU7Q0GDP&marketplace=FLIPKART&q=dresses+for+women+yellow&store=clo%2Fodx%2Fmaj%2Fjhy&srno=s_1_26&otracker=search&otracker1=search&iid=fc74e4ec-03d8-4687-a934-9a798dc41139.DREFVAGEZA5DNWXU.SEARCH&ssid=t2be19esao0000001691771412963&qH=fa07a4b3319ad4aa","Women Fit and Flare Yellow Dress With Mask","₹308","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/v/a/v/xxl-drdrmsk-07-rudraaksha-original-imaftfczy2we9gq3-bb.jpeg?q=70"
