web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691784413-1","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lamba-creations-women-printed-straight-kurta/p/itm7ef7df8af6215?pid=KTAGAM87BDHUQTVD&lid=LSTKTAGAM87BDHUQTVDGJTVFV&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_40&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAGAM87BDHUQTVD.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Printed Viscose Rayon Straight Kurta  (Black)","₹269","https://rukminim2.flixcart.com/image/832/832/kydb3ww0/kurta/r/o/y/xs-beel-01-lamba-creations-original-imagam87z5rzz7qz.jpeg?q=70"
"1691784416-2","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vastani-enterprise-women-embroidered-anarkali-kurta/p/itm3997df35414a9?pid=KTAGRT2EPHFKBZXJ&lid=LSTKTAGRT2EPHFKBZXJXDRWAQ&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_39&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAGRT2EPHFKBZXJ.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Embroidered Cotton Rayon Anarkali Kurta  (Black)","₹419","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/i/2/f/l-ss-41-femvy-original-imagmt3sdavbcphx.jpeg?q=70"
"1691784419-3","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pristyle-women-floral-print-flared-kurta/p/itm6a0d9df8fad46?pid=KTAGKWBFK4CXWBXS&lid=LSTKTAGKWBFK4CXWBXSNVM6W5&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_38&otracker=search&otracker1=search&iid=en_fBu5uNfYrAtCij0vGDo4Kk2OSUpcPnd-7PGn9GiDi_5_ag6liKmpdEkdrg_dSfOzs_W_4qElWFgyt-zwMcao5w%3D%3D&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Floral Print Cotton Blend Flared Kurta  (Black)","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/3/u/v/l-ssc-012-pristyle-original-imagkwbftzcx65vv.jpeg?q=70"
"1691784422-4","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/shree-ganesh-fashion-women-embellished-flared-kurta/p/itmdc77293a4f16c?pid=KTAGGCZ7GZZTKY6N&lid=LSTKTAGGCZ7GZZTKY6NMSPOF0&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_37&otracker=search&otracker1=search&iid=en_fBu5uNfYrAtCij0vGDo4Kk2OSUpcPnd-7PGn9GiDi_6ATZcjeLS0t1ce_4Bm74bV1vYTrY0KQ19GNKPFvvXdVg%3D%3D&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Embellished Cotton Rayon Flared Kurta  (Black)","₹499","https://rukminim2.flixcart.com/image/832/832/l572ufk0/shopsy-kurta/o/v/t/s-sgf1016-anarkali-shree-ganesh-fashion-original-imagfx9uzjzyggwm.jpeg?q=70"
"1691784425-5","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sak-jaipur-women-printed-straight-kurta/p/itmd39ce554780a9?pid=KTAGNFZ8SJCEAXYV&lid=LSTKTAGNFZ8SJCEAXYVIVB9NK&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_36&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAGNFZ8SJCEAXYV.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Printed Viscose Rayon Straight Kurta  (Black)","₹270","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/n/u/0/xl-k-31-sak-jaipur-original-imagnd65xqh66su5.jpeg?q=70"
"1691784428-6","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/gora-women-checkered-kaftan-kurta/p/itma5f7de1646171?pid=KTAG4XPHDYMHMPAF&lid=LSTKTAG4XPHDYMHMPAFZFNEGP&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_35&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAG4XPHDYMHMPAF.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Checkered Cotton Blend Kaftan Kurta  (Black)","₹311","https://rukminim2.flixcart.com/image/832/832/kr2e3680/kurta/f/v/z/3xl-gora-001-black-gora-original-imag4xphhhcrxqkg.jpeg?q=70"
"1691784431-7","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/chechi-women-self-design-gown-kurta/p/itmbb3d90eacd078?pid=KTAGNE3A4NVHAYTR&lid=LSTKTAGNE3A4NVHAYTRYKXMNU&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_34&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAGNE3A4NVHAYTR.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Self Design Viscose Rayon Gown Kurta With Attached Dupatta  (Black)","₹566","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/l/t/1/m-dg-137-chechi-original-imagne3a7ytxd4py.jpeg?q=70"
"1691784434-8","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/new4u-women-embroidered-straight-kurta/p/itm8808b2cf0aa7f?pid=KTAFKZYFRYJPZ8DH&lid=LSTKTAFKZYFRYJPZ8DH9DZB7S&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_33&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAFKZYFRYJPZ8DH.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Embroidered Viscose Rayon Straight Kurta  (Black)","₹363","https://rukminim2.flixcart.com/image/832/832/kst9gnk0/kurta/m/n/g/l-rf-177-black-new4u-original-imag6asuazasadf6.jpeg?q=70"
"1691784437-9","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/maapaa-women-embroidered-straight-kurta/p/itm908d5b2ab9e1e?pid=KTAGFJ592QZBPZ6F&lid=LSTKTAGFJ592QZBPZ6FMGC3ST&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_32&otracker=search&otracker1=search&iid=en_fBu5uNfYrAtCij0vGDo4Kk2OSUpcPnd-7PGn9GiDi_4w--SRmisyOqUAOis7UFpYZVO_K9LspQMGMnDWGlBD4w%3D%3D&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Embroidered Viscose Rayon Straight Kurta  (Black)","₹299","https://rukminim2.flixcart.com/image/832/832/l4oi4cw0/kurta/r/e/f/xl-js2078-maapaa-original-imagfj56xcyz3vtf.jpeg?q=70"
"1691784440-10","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/j-s-creation-women-solid-anarkali-kurta/p/itma1d2588a31ad2?pid=KTAGK8QSWGFKCK3Y&lid=LSTKTAGK8QSWGFKCK3YOL6KHJ&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_31&otracker=search&otracker1=search&iid=en_fBu5uNfYrAtCij0vGDo4Kk2OSUpcPnd-7PGn9GiDi_4vy7XX_ihH-Uhk3eVkoPUwlHxFbasqdoDaxlG7gp1ktQ%3D%3D&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Solid Georgette Anarkali Kurta  (Black)","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/gown/z/l/y/20-xxl-sleeveless-stitched-npf1blue-j-s-creation-50-original-imagk5gdbu7vzbuv.jpeg?q=70"
"1691784443-11","https://www.flipkart.com/search?q=Kurta%20for%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/adorro-women-embroidered-straight-kurta/p/itm651701eea2f44?pid=KTAG9AN2RENWFY4Q&lid=LSTKTAG9AN2RENWFY4Q1VIWQF&marketplace=FLIPKART&q=Kurta+for+women+black&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_30&otracker=search&otracker1=search&iid=1217f8c1-1cb6-476d-8629-e76fd38881ca.KTAG9AN2RENWFY4Q.SEARCH&ssid=gbaebv79zk0000001691784407899&qH=5fc23c9df4f614b9","Women Embroidered Viscose Rayon Straight Kurta  (Black)","₹483","https://rukminim2.flixcart.com/image/832/832/kwnv6a80/kurta/j/a/d/4xl-v-neck-emb-adorro-original-imag9agpmseqnxny.jpeg?q=70"
