web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691785539-1","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/amudee-fashion-women-floral-print-straight-kurta/p/itm36c8cb7ff98c9?pid=KTAGHWNHNWFPA4ZG&lid=LSTKTAGHWNHNWFPA4ZG7B6ZZD&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_40&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAGHWNHNWFPA4ZG.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Floral Print Cotton Blend Straight Kurta  (Blue, White)","₹421","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/w/h/x/m-black-head-kurta-amudee-fashion-original-imaghwnhzw7mbf3d.jpeg?q=70"
"1691785542-2","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rimeline-women-striped-straight-kurta/p/itm312f99b4dab0a?pid=KTAGKDJSJ7YPPF8W&lid=LSTKTAGKDJSJ7YPPF8WW28EWG&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_39&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAGKDJSJ7YPPF8W.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Striped Pure Cotton Straight Kurta  (Blue, White)","₹369","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/u/i/e/l-rf-tiger-green-kurti-rimeline-fashion-original-imagjq3n3rncqdef.jpeg?q=70"
"1691785545-3","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/gleux-fashion-women-embroidered-anarkali-kurta/p/itme555d1c471cd8?pid=KTAGPXBH9BSDDGRM&lid=LSTKTAGPXBH9BSDDGRMHWVYNG&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_38&otracker=search&otracker1=search&iid=en_nVWuho9NTw1jaW4dq21omRwTHDXYNEAisFozAI0M9R1h0BZJVvWwC2GLk8u-rYCJfoFgezUhcJG6THa6Lq_QIA%3D%3D&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Embroidered Viscose Rayon Anarkali Kurta  (White, Dark Blue)","₹474","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/e/a/d/m-zallar-kurta-udazy-creation-original-imagbsesz5skfgys.jpeg?q=70"
"1691785548-4","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sheffali-creation-women-printed-straight-kurta/p/itm9ff3ca8e2bd50?pid=KTAGP8SFUJMT4RAU&lid=LSTKTAGP8SFUJMT4RAUJSGLFH&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_37&otracker=search&otracker1=search&iid=en_nVWuho9NTw1jaW4dq21omRwTHDXYNEAisFozAI0M9R0nAi9dlAbxiQ10JYucKm6hK3pMU1fpuRQU0XBp09480w%3D%3D&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Straight Kurta  (Dark Blue, White)","₹675","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/f/3/z/m-kurta-sheffali-creation-original-imagp8sf8kgmqcaf.jpeg?q=70"
"1691785551-5","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mon-women-printed-cape-top-kurta/p/itm7e78984d9c6b6?pid=KTAGQP4NMBCNAFZZ&lid=LSTKTAGQP4NMBCNAFZZBN97HN&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_36&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAGQP4NMBCNAFZZ.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Cape Top Kurta  (Blue, White)","₹239","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/n/4/p/m-mf19kr09b-mon-original-imagqp4n2kbxxpwc.jpeg?q=70"
"1691785554-6","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dsroopa-women-printed-gown-kurta/p/itm35d35920337e1?pid=KTAGGMY5KZZHEJTN&lid=LSTKTAGGMY5KZZHEJTNR0OB9E&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_35&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAGGMY5KZZHEJTN.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Gown Kurta  (Blue, White)","₹469","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/j/b/h/xl-blues04-ranila-original-imaghxsnzvnkbccc.jpeg?q=70"
"1691785557-7","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/libas-women-printed-straight-kurta/p/itmaebbb1f02fd90?pid=KTAGMU36Y9AQATPY&lid=LSTKTAGMU36Y9AQATPYIOYS0G&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_34&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAGMU36Y9AQATPY.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Cotton Blend Straight Kurta  (Blue, White)","₹569","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/a/7/h/xxl-26295-libas-original-imagmu35fjkzjrvp.jpeg?q=70"
"1691785560-8","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aks-women-self-design-printed-straight-kurta/p/itmf4ygg7uhdzwmg?pid=KTAF4Y6G7YFA2DRM&lid=LSTKTAF4Y6G7YFA2DRMINGVNF&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_33&otracker=search&otracker1=search&iid=dcaa13e1-9f70-41a7-9efa-3d66bcb7bfe2.KTAF4Y6G7YFA2DRM.SEARCH&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Self Design, Printed Cotton Blend Straight Kurta  (White, Blue)","₹382","https://rukminim2.flixcart.com/image/832/832/k4rcmfk0pkrrdj/kurta/q/e/6/m-ya7012-aks-original-imafmusyncewyejj.jpeg?q=70"
"1691785563-9","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/bachuu-women-printed-frontslit-kurta/p/itm00e49a75d5d0a?pid=KTAFNBFSU53VJVCQ&lid=LSTKTAFNBFSU53VJVCQUSYVMG&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_32&otracker=search&otracker1=search&iid=en_nVWuho9NTw1jaW4dq21omRwTHDXYNEAisFozAI0M9R1BEkjokvDQBdwI5T6rGkJjGweom3w95tpqn8k64w6rfA%3D%3D&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Cotton Blend Frontslit Kurta  (White, Blue)","₹305","https://rukminim2.flixcart.com/image/832/832/khz693k0-0/kurta/k/j/u/m-bo-51-whiteblueleaves-bachuu-original-imafxvffg3f7khhz.jpeg?q=70"
"1691785566-10","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kipek-women-printed-straight-kurta/p/itm8546e8cf0ace2?pid=KTAGP8WH23GEVZWQ&lid=LSTKTAGP8WH23GEVZWQK9UUMC&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_31&otracker=search&otracker1=search&iid=en_nVWuho9NTw1jaW4dq21omRwTHDXYNEAisFozAI0M9R05RV8kkF_t8mowmTeIkm5O93faXnrQp0YiSWyQGwxzWw%3D%3D&ssid=38bvggmh680000001691785534024&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Straight Kurta  (Black, White)","₹649","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/n/i/9/m-kk419gr-kipek-original-imagp8w7jhqy4dng.jpeg?q=70"
