web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691785295-1","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/amudee-fashion-women-floral-print-straight-kurta/p/itm36c8cb7ff98c9?pid=KTAGHWNHNWFPA4ZG&lid=LSTKTAGHWNHNWFPA4ZG7B6ZZD&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_40&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAGHWNHNWFPA4ZG.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Floral Print Cotton Blend Straight Kurta  (Blue, White)","₹421","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/w/h/x/m-black-head-kurta-amudee-fashion-original-imaghwnhzw7mbf3d.jpeg?q=70"
"1691785298-2","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rimeline-women-striped-straight-kurta/p/itm312f99b4dab0a?pid=KTAGKDJSJ7YPPF8W&lid=LSTKTAGKDJSJ7YPPF8WW28EWG&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_39&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAGKDJSJ7YPPF8W.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Striped Pure Cotton Straight Kurta  (Blue, White)","₹369","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/u/i/e/l-rf-tiger-green-kurti-rimeline-fashion-original-imagjq3n3rncqdef.jpeg?q=70"
"1691785301-3","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/gleux-fashion-women-embroidered-anarkali-kurta/p/itme555d1c471cd8?pid=KTAGPXBH9BSDDGRM&lid=LSTKTAGPXBH9BSDDGRMHWVYNG&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_38&otracker=search&otracker1=search&iid=en_lgYND0bBLtNnP2CY55rJJtWjBDNdC0BsWncD1-RIRLkcNDycJf8Me_0y-GnCN-8XfoFgezUhcJG6THa6Lq_QIA%3D%3D&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Embroidered Viscose Rayon Anarkali Kurta  (White, Dark Blue)","₹474","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/e/a/d/m-zallar-kurta-udazy-creation-original-imagbsesz5skfgys.jpeg?q=70"
"1691785304-4","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kipek-women-printed-straight-kurta/p/itm8546e8cf0ace2?pid=KTAGP8WH23GEVZWQ&lid=LSTKTAGP8WH23GEVZWQK9UUMC&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_37&otracker=search&otracker1=search&iid=en_lgYND0bBLtNnP2CY55rJJtWjBDNdC0BsWncD1-RIRLkECaVw7Re_vNNfpzli9FAw93faXnrQp0YiSWyQGwxzWw%3D%3D&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Straight Kurta  (Black, White)","₹649","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/n/i/9/m-kk419gr-kipek-original-imagp8w7jhqy4dng.jpeg?q=70"
"1691785307-5","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mon-women-printed-cape-top-kurta/p/itm7e78984d9c6b6?pid=KTAGQP4NMBCNAFZZ&lid=LSTKTAGQP4NMBCNAFZZBN97HN&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_36&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAGQP4NMBCNAFZZ.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Cape Top Kurta  (Blue, White)","₹239","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/n/4/p/m-mf19kr09b-mon-original-imagqp4n2kbxxpwc.jpeg?q=70"
"1691785310-6","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dsroopa-women-printed-gown-kurta/p/itm35d35920337e1?pid=KTAGGMY5KZZHEJTN&lid=LSTKTAGGMY5KZZHEJTNR0OB9E&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_35&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAGGMY5KZZHEJTN.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Gown Kurta  (Blue, White)","₹469","https://rukminim2.flixcart.com/image/832/832/xif0q/dress/j/b/h/xl-blues04-ranila-original-imaghxsnzvnkbccc.jpeg?q=70"
"1691785313-7","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/libas-women-printed-straight-kurta/p/itmaebbb1f02fd90?pid=KTAGMU36Y9AQATPY&lid=LSTKTAGMU36Y9AQATPYIOYS0G&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_34&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAGMU36Y9AQATPY.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Cotton Blend Straight Kurta  (Blue, White)","₹569","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/a/7/h/xxl-26295-libas-original-imagmu35fjkzjrvp.jpeg?q=70"
"1691785316-8","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/aks-women-self-design-printed-straight-kurta/p/itmf4ygg7uhdzwmg?pid=KTAF4Y6G7YFA2DRM&lid=LSTKTAF4Y6G7YFA2DRMINGVNF&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_33&otracker=search&otracker1=search&iid=0ee0a4fc-2b10-4e21-afdd-3b2c8e294e2f.KTAF4Y6G7YFA2DRM.SEARCH&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Self Design, Printed Cotton Blend Straight Kurta  (White, Blue)","₹382","https://rukminim2.flixcart.com/image/832/832/k4rcmfk0pkrrdj/kurta/q/e/6/m-ya7012-aks-original-imafmusyncewyejj.jpeg?q=70"
"1691785319-9","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sheffali-creation-women-printed-straight-kurta/p/itm9ff3ca8e2bd50?pid=KTAGP8SFUJMT4RAU&lid=LSTKTAGP8SFUJMT4RAUJSGLFH&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_32&otracker=search&otracker1=search&iid=en_lgYND0bBLtNnP2CY55rJJtWjBDNdC0BsWncD1-RIRLmxNiJit1IdfmmsgnfLGd7aK3pMU1fpuRQU0XBp09480w%3D%3D&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Viscose Rayon Straight Kurta  (Dark Blue, White)","₹675","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/f/3/z/m-kurta-sheffali-creation-original-imagp8sf8kgmqcaf.jpeg?q=70"
"1691785322-10","https://www.flipkart.com/search?q=kurta%20blue%20white&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kasaska-women-printed-straight-kurta/p/itm1feb326950bfc?pid=KTAGQMMMBF572YQG&lid=LSTKTAGQMMMBF572YQGRLLEA4&marketplace=FLIPKART&q=kurta+blue+white&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_31&otracker=search&otracker1=search&iid=en_lgYND0bBLtNnP2CY55rJJtWjBDNdC0BsWncD1-RIRLmu6nCqlh23TtVoAM6sgZ0B4mvXEHjfPX5KttcNR6TSrA%3D%3D&ssid=wi7uapr06o0000001691785290668&qH=52c9d6f1b7333ff2","Women Printed Crepe Straight Kurta  (Dark Blue, White)","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/x/y/s-crepe-printed-kurti-tashvi-creation-original-imagqhppkzzgukhm.jpeg?q=70"
