web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691784663-1","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/eyella-women-chikan-embroidery-straight-kurta/p/itma892a3d9e78e2?pid=KTAGHPSUP7DNHX8Y&lid=LSTKTAGHPSUP7DNHX8YX7P9VG&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_40&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAGHPSUP7DNHX8Y.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Chikan Embroidery Georgette Straight Kurta  (Red)","₹906","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/i/g/j/xl-chikankari-kurti-kurta-eyella-original-imaghpsurpqaaw5j.jpeg?q=70"
"1691784666-2","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/yash-gallery-women-printed-a-line-kurta/p/itm131ee2a3386c3?pid=KTAG3SSJWCRWW7ZM&lid=LSTKTAG3SSJWCRWW7ZMFCBQ3X&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_39&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG3SSJWCRWW7ZM.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Printed Cotton Blend A-line Kurta  (Red)","₹949","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/g/y/t/4xl-149plyk148red-yash-gallery-original-imagjzwsuhxhyppd.jpeg?q=70"
"1691784669-3","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/house-rp-women-solid-frontslit-kurta/p/itm46a0eaa3e7192?pid=KTAGNJW9U3WHJJXM&lid=LSTKTAGNJW9U3WHJJXMHJ6KUA&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_38&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAGNJW9U3WHJJXM.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Pack of 2 Women Solid Viscose Rayon Frontslit Kurta  (Red, Pink)","₹899","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/h/p/w/xxl-house-50026-house-of-rp-original-imagqy3cjqfuvpmq.jpeg?q=70"
"1691784672-4","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/yash-gallery-women-bandhani-anarkali-kurta/p/itm5953a395bdae4?pid=KTAG8Z34H8FVYKZV&lid=LSTKTAG8Z34H8FVYKZVKT49GZ&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_37&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG8Z34H8FVYKZV.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Bandhani Viscose Rayon Anarkali Kurta  (Red)","₹892","https://rukminim2.flixcart.com/image/832/832/l5iid8w0/kurta/s/q/a/5xl-1337plykred-yash-gallery-original-imagg62y2zcpgaet.jpeg?q=70"
"1691784675-5","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/yash-gallery-women-printed-anarkali-kurta/p/itm25f1b46475b23?pid=KTAG3SSJQZAH27DW&lid=LSTKTAG3SSJQZAH27DW7XSCTS&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_36&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG3SSJQZAH27DW.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Printed Cotton Blend Anarkali Kurta  (Red)","₹960","https://rukminim2.flixcart.com/image/832/832/kplisnk0/kurta/u/k/l/xxl-146plyk148azkblu-yash-gallery-original-imag3ssjymya3zz5.jpeg?q=70"
"1691784678-6","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/akiko-women-printed-anarkali-kurta/p/itm34611d6ab2f5f?pid=KTAG3TTNSYNXGTWW&lid=LSTKTAG3TTNSYNXGTWWYLGQ3Z&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_35&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG3TTNSYNXGTWW.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Printed Cotton Blend Anarkali Kurta  (Red)","₹931","https://rukminim2.flixcart.com/image/832/832/kplisnk0/kurta/u/k/l/xxl-146plyk148azkblu-yash-gallery-original-imag3ssjymya3zz5.jpeg?q=70"
"1691784681-7","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/zazadiya-impex-women-chikan-embroidery-straight-kurta/p/itmfede618875b71?pid=KTAGQ4WGSPHTKGQS&lid=LSTKTAGQ4WGSPHTKGQSBKNHHA&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_34&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAGQ4WGSPHTKGQS.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Pack of 2 Women Chikan Embroidery Georgette Straight Kurta  (Pink, Red)","₹759","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-kurta/j/f/x/3xl-combo-1-zazadiya-impex-original-imagq468ffc6p89z.jpeg?q=70"
"1691784684-8","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/akiko-women-printed-anarkali-kurta/p/itmbbf9e24bc94b7?pid=KTAG3TUEBFZ6UJWN&lid=LSTKTAG3TUEBFZ6UJWN40WHFO&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_33&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG3TUEBFZ6UJWN.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Printed Cotton Blend Anarkali Kurta  (Red)","₹866","https://rukminim2.flixcart.com/image/832/832/kplisnk0/kurta/q/k/g/xxl-224plyk148bndj-yash-gallery-original-imag3sudrkzsvetg.jpeg?q=70"
"1691784687-9","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lerkiza-women-solid-straight-kurta/p/itmaa01e13fe04a6?pid=KTAGBDXXEUKXZGS2&lid=LSTKTAGBDXXEUKXZGS2GBYOTF&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_32&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAGBDXXEUKXZGS2.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Pack of 2 Women Solid Cotton Blend Straight Kurta  (Red, Pink)","₹441","https://rukminim2.flixcart.com/image/832/832/kzd147k0/kurta/r/7/q/xxl-1262-1266-lerkiza-original-imagbdxuxvbvgevy.jpeg?q=70"
"1691784690-10","https://www.flipkart.com/search?q=Kurta%20pink%20red%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/yash-gallery-women-printed-anarkali-kurta/p/itmd97bd0c6839bc?pid=KTAG6HK8BFZJHPY4&lid=LSTKTAG6HK8BFZJHPY4SGJQ9U&marketplace=FLIPKART&q=Kurta+pink+red+for+women&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_31&otracker=search&otracker1=search&iid=3ea1a745-b22b-49bb-a66c-8e611cf1528e.KTAG6HK8BFZJHPY4.SEARCH&ssid=pc25jaygz40000001691784657758&qH=652ee920c96f49d8","Women Printed Cotton Blend Anarkali Kurta  (Red)","₹959","https://rukminim2.flixcart.com/image/832/832/kt7jv680/kurta/w/s/u/xl-1337ykred-yash-gallery-original-imag6hk8vacq8snm.jpeg?q=70"
