web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691783202-1","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabmora-printed-blocked-printed-daily-wear-chiffon-saree/p/itmdc3b9c510c227?pid=SARGZR8CZ29ZYZQ3&lid=LSTSARGZR8CZ29ZYZQ3MC4QG4&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_40&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGZR8CZ29ZYZQ3.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Printed, Blocked Printed Daily Wear Chiffon Saree  (Light Green)","₹619","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/u/2/o/free-sarees-new2023-chiffon-saree-party-wear-design-2023-original-imagzr8ckd3447d2.jpeg?q=70"
"1691783205-2","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/zilvira-printed-woven-embellished-applique-dyed-kanjivaram-jacquard-art-silk-saree/p/itmf8883526efc9a?pid=SARGGEK8TARRQDYF&lid=LSTSARGGEK8TARRQDYF9I9YUW&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_39&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGGEK8TARRQDYF.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Printed, Woven, Embellished, Applique, Dyed Kanjivaram Jacquard, Art Silk Saree  (Light Blue)","₹481","https://rukminim2.flixcart.com/image/832/832/ky0g58w0/sari/b/w/n/free-vakp-3063-anjaneya-sarees-unstitched-original-imagac7evtebzcfm.jpeg?q=70"
"1691783208-3","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/wholsale-bazar-floral-print-daily-wear-georgette-chiffon-saree/p/itmd5c3cce349bec?pid=SARG8D6YTX6MGNBS&lid=LSTSARG8D6YTX6MGNBSCGPIEB&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_38&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARG8D6YTX6MGNBS.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Floral Print Daily Wear Georgette, Chiffon Saree  (Light Green)","₹499","https://rukminim2.flixcart.com/image/832/832/kvgzyq80/sari/y/f/n/free-a49-star-walk-wholsale-bazar-unstitched-original-imag8d6yfmkcahrh.jpeg?q=70"
"1691783211-4","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ellazy-fashion-printed-bollywood-net-saree/p/itm19a9cccf759ff?pid=SARG9WNFDWXGAAB3&lid=LSTSARG9WNFDWXGAAB3SWKQQE&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_37&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARG9WNFDWXGAAB3.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Printed Bollywood Net Saree  (Light Blue)","₹190","https://rukminim2.flixcart.com/image/832/832/kkvhea80/sari/t/m/j/free-net-saree-2021-designer-crally-unstitched-original-imagy4gkf9yjhhyj.jpeg?q=70"
"1691783214-5","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/anand-sarees-ombre-floral-print-daily-wear-georgette-saree/p/itm86d40a1907acc?pid=SARGRPNREYF9B9WH&lid=LSTSARGRPNREYF9B9WH2JNR0A&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_36&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGRPNREYF9B9WH.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Ombre, Floral Print Daily Wear Georgette Saree  (Blue, Light Blue)","₹269","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/p/g/8/free-md-wb99-1-anand-sarees-no-blouse-original-imagrpnrrf3ggytj.jpeg?q=70"
"1691783217-6","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mirchi-fashion-printed-color-block-bollywood-chiffon-saree/p/itmb250e327f4866?pid=SARGKJX4BDHC4GZZ&lid=LSTSARGKJX4BDHC4GZZZGG5QK&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_35&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGKJX4BDHC4GZZ.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Printed, Color Block Bollywood Chiffon Saree  (Light Green)","₹712","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/y/r/p/free-saree-party-wear-heavy-dress-bollywood-saree-stylish-saree-original-imagrwgeqkh3gt9z.jpeg?q=70"
"1691783220-7","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ellesti-fab-embellished-daily-wear-net-saree/p/itmc74a38a6b17f8?pid=SARGRPMZY3GFMUYQ&lid=LSTSARGRPMZY3GFMUYQGIZ4UB&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_34&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGRPMZY3GFMUYQ.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Embellished Daily Wear Net Saree  (Light Green)","₹249","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/5/p/w/free-net-1-ellesti-fab-unstitched-original-imagrpmzhrfp4z7z.jpeg?q=70"
"1691783223-8","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ellesti-fab-embellished-daily-wear-net-saree/p/itmb8d55261f400c?pid=SARGRPMZ5KCWWHMF&lid=LSTSARGRPMZ5KCWWHMFE0QIRE&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_33&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGRPMZ5KCWWHMF.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Embellished Daily Wear Net Saree  (Light Green)","₹249","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/d/q/t/free-net-1-ellesti-fab-unstitched-original-imagrpmz2acyfhzh.jpeg?q=70"
"1691783226-9","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabmora-printed-embellished-daily-wear-chiffon-saree/p/itmc7fa5b839cd68?pid=SARGMA3WVHVUYH5F&lid=LSTSARGMA3WVHVUYH5F2BDT4T&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_32&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGMA3WVHVUYH5F.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Printed, Embellished Daily Wear Chiffon Saree  (Light Blue)","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/y/y/u/free-chiffon-dot-fabmora-unstitched-original-imagma3wdygqwezz.jpeg?q=70"
"1691783229-10","https://www.flipkart.com/search?q=Saree%20party%20wear%20light%20colors&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/samah-dyed-solid-plain-embroidered-daily-wear-georgette-saree/p/itm9c80adbadd7f9?pid=SARGGHNH6JU8DFGF&lid=LSTSARGGHNH6JU8DFGFQAJSMO&marketplace=FLIPKART&q=Saree+party+wear+light+colors&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_31&otracker=search&otracker1=search&iid=ec19ecd6-82b7-4bff-b1ca-889076469c41.SARGGHNH6JU8DFGF.SEARCH&ssid=s064sp8qn40000001691783196970&qH=21fa57338155b1ba","Dyed, Solid/Plain, Embroidered Daily Wear Georgette Saree  (Light Blue)","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/q/l/g/free-2629s104-samah-unstitched-original-imagghng4d8nmg4y.jpeg?q=70"
