web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691782954-1","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/linzel-tex-embellished-bollywood-georgette-saree/p/itm0c3626b626c80?pid=SARGHRFCW68HCDP4&lid=LSTSARGHRFCW68HCDP4RFTDHG&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_40&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARGHRFCW68HCDP4.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Embellished Bollywood Georgette Saree  (Red)","₹579","https://rukminim2.flixcart.com/image/832/832/l4yi7bk0/sari/t/u/m/free-grey-15659-laheja-unstitched-original-imagfqjqfhtkptmd.jpeg?q=70"
"1691782957-2","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vj-fashion-striped-bollywood-cotton-silk-saree/p/itmd1902f166b8f0?pid=SARFCF4RZAKFM4JE&lid=LSTSARFCF4RZAKFM4JECL787Y&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_39&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARFCF4RZAKFM4JE.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Striped Bollywood Cotton Silk Saree  (Red)","₹269","https://rukminim2.flixcart.com/image/832/832/k4ss2a80/sari/j/e/v/free-nbs1192-1-nightblue-original-imafdzvqddpfwqbt.jpeg?q=70"
"1691782960-3","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pisara-printed-daily-wear-georgette-saree/p/itm9a02aa096b9ba?pid=SARGHMHGTGZXPWPQ&lid=LSTSARGHMHGTGZXPWPQYSP8FI&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_38&otracker=search&otracker1=search&iid=en_zWZn2_89S3bHAmu7I001AdSZsy2jGpzZhHWcT-SamXL25iXk_zC8zdKyt_k4vXhJVq2c_CEdofx_H3P_mZ-Eig%3D%3D&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Printed Daily Wear Georgette Saree  (Red)","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/3/o/y/free-vnd-2001-ab-pisara-unstitched-original-imaghmkfwxkhxmxq.jpeg?q=70"
"1691782963-4","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/trending-store-m-self-design-daily-wear-net-saree/p/itm638a8318a125c?pid=SARGZ45KMYUUSVZ5&lid=LSTSARGZ45KMYUUSVZ5VFVWJG&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_37&otracker=search&otracker1=search&iid=en_zWZn2_89S3bHAmu7I001AdSZsy2jGpzZhHWcT-SamXJhYRHt2e_A_9vf9jJEGZvMIRnPzm7WUfaYNdRdBRHJrQ%3D%3D&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Self Design Daily Wear Net Saree  (Red, Pink)","₹450","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-sari/9/r/o/free-new-net-gajari-poshvariety-unstitched-original-imaggjm6fcyjbeed.jpeg?q=70"
"1691782966-5","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/samah-dyed-embellished-self-design-lucknow-chikankari-net-saree/p/itmb5d38d43ee5f8?pid=SARGMXR37MJA8K7G&lid=LSTSARGMXR37MJA8K7GLCI7QI&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_36&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARGMXR37MJA8K7G.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Dyed, Embellished, Self Design Lucknow Chikankari Net Saree  (Red)","₹289","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/r/m/k/free-2774s191-samah-unstitched-original-imagzbggmcxzyerm.jpeg?q=70"
"1691782969-6","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pheasant-woven-kanjivaram-jacquard-art-silk-saree/p/itme8f75f6397ec9?pid=SARGDSJEZFQFUGNM&lid=LSTSARGDSJEZFQFUGNM7LASTJ&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_35&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARGDSJEZFQFUGNM.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Woven Kanjivaram Jacquard, Art Silk Saree  (Red)","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/c/k/l/free-gp-flowervelly-red-lichi-soft-silk-jacquard-woven-saree-original-imagh3rwye32gzqd.jpeg?q=70"
"1691782972-7","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pervas-woven-kanjivaram-cotton-silk-pure-silk-saree/p/itmaee4c85f54868?pid=SARGRPWZSGF6EBAY&lid=LSTSARGRPWZSGF6EBAYOLSY5S&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_34&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARGRPWZSGF6EBAY.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Woven Kanjivaram Cotton Silk, Pure Silk Saree  (Red)","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/u/e/4/free-tapasya-red-banarasi-handloom-golden-work-light-weight-original-imagzkc7f3jwdnz7.jpeg?q=70"
"1691782975-8","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/quetzal-printed-self-design-sambalpuri-pure-cotton-saree/p/itm7ff494c46ca2b?pid=SARGQF2PYXGCBWJ5&lid=LSTSARGQF2PYXGCBWJ5SSMXRG&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_33&otracker=search&otracker1=search&iid=e452f680-eba1-40b6-8ec8-03532fb98a47.SARGQF2PYXGCBWJ5.SEARCH&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Printed, Self Design Sambalpuri Pure Cotton Saree  (Red)","₹798","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/u/r/k/free-batick-katki-saree-quetzal-stitched-original-imagqf2pzcpkdzcg.jpeg?q=70"
"1691782978-9","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/divastri-paisley-woven-banarasi-silk-blend-jacquard-saree/p/itmd1aee90f499eb?pid=SARGFZZHHHS5JRAN&lid=LSTSARGFZZHHHS5JRANHVXYQG&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_32&otracker=search&otracker1=search&iid=en_zWZn2_89S3bHAmu7I001AdSZsy2jGpzZhHWcT-SamXKvJ8LD7zpq6rRfJMoDCXiGPg8hldRHZ8oKeD9Fx2Fa_w%3D%3D&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Paisley, Woven Banarasi Silk Blend, Jacquard Saree  (Red)","₹1,169","https://rukminim2.flixcart.com/image/832/832/l59xq4w0/sari/y/w/o/free-nt108-d-divastri-unstitched-original-imagfzzhs4q9dhdq.jpeg?q=70"
"1691782981-10","https://www.flipkart.com/search?q=saree%20red%20color&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/castillofab-solid-plain-bollywood-georgette-saree/p/itm6ec18c4e56059?pid=SARGS33PYRW7YH3H&lid=LSTSARGS33PYRW7YH3HNTHTKD&marketplace=FLIPKART&q=saree+red+color&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_31&otracker=search&otracker1=search&iid=en_zWZn2_89S3bHAmu7I001AdSZsy2jGpzZhHWcT-SamXKMr4OBKCQhcdWKliEzTlXuIHxTgZUGTskIf6-eyLt1EA%3D%3D&ssid=w7npvw2f680000001691782949288&qH=ca786168684ac859","Solid/Plain Bollywood Georgette Saree  (Red)","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/9/k/f/free-hathi-red-cf-castillofab-unstitched-original-imags33pjvmn6rzb.jpeg?q=70"
