web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691783485-1","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arlima-embroidered-banarasi-pure-silk-cotton-silk-saree/p/itmab180dbc3450d?pid=SARG37P3PQHRMFZB&lid=LSTSARG37P3PQHRMFZBWFJIMQ&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_40&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARG37P3PQHRMFZB.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Embroidered Banarasi Pure Silk, Cotton Silk Saree  (Dark Blue)","₹487","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/c/w/q/free-dynamik-premium-quality-royal-blue-red-yellow-fabric-ideal-original-imag37p3wzjvmxwg-bb.jpeg?q=70"
"1691783488-2","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/thesiya-fab-printed-banarasi-cotton-linen-art-silk-saree/p/itmcba234c05a791?pid=SARG3HFGDUFHCJZK&lid=LSTSARG3HFGDUFHCJZK3THDUO&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_39&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARG3HFGDUFHCJZK.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Printed Banarasi Cotton Linen, Art Silk Saree  (Dark Green)","₹390","https://rukminim2.flixcart.com/image/832/832/kpbipow0/sari/l/y/b/free-1478-sky-vision-creation-unstitched-original-imag3kxwxmhzubxj.jpeg?q=70"
"1691783491-3","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/izibra-woven-kanjivaram-art-silk-pure-cotton-saree/p/itm7911c00159f2b?pid=SARG7M85ZRZJKGUU&lid=LSTSARG7M85ZRZJKGUUZHK8YO&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_38&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARG7M85ZRZJKGUU.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Woven Kanjivaram Art Silk, Pure Cotton Saree  (Dark Blue, Green)","₹982","https://rukminim2.flixcart.com/image/832/832/kuipea80/sari/h/k/a/free-kerimeena-kanchipuram-silk-sarees-2021-c-j-enterprise-original-imag7m7csh7vzyqg.jpeg?q=70"
"1691783494-4","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rashiklal-co-self-design-bollywood-georgette-saree/p/itm7968ab7f5c566?pid=SARG4CMWTYCZJFDJ&lid=LSTSARG4CMWTYCZJFDJVG9SCI&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_37&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARG4CMWTYCZJFDJ.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Self Design Bollywood Georgette Saree  (Dark Green, Green)","₹485","https://rukminim2.flixcart.com/image/832/832/kqb8pzk0/sari/i/v/c/free-kara-saree-best-seller-sexy-bollywood-stylish-budget-original-imag4cmwhp2phd5r.jpeg?q=70"
"1691783497-5","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/priniti-digital-print-color-block-ombre-animal-floral-solid-plain-checkered-bollywood-lycra-blend-saree/p/itmd03144473fca0?pid=SARGGKRMHS5DGYUG&lid=LSTSARGGKRMHS5DGYUGIWC2NE&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_36&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARGGKRMHS5DGYUG.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Digital Print, Color Block, Ombre, Animal Print, Floral Print, Solid/Plain, Checkered Bollywood Lycra Blend Saree  (Dark Blue)","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/k/p/w/free-delta-opara-silk-saree-pure-cotton-sarees-for-summer-daily-original-imaggkrm3bduhzge.jpeg?q=70"
"1691783500-6","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fancy-fab-printed-bandhani-georgette-chiffon-saree/p/itm73ee1cbf34519?pid=SARGHQ2YTT9WPEEU&lid=LSTSARGHQ2YTT9WPEEUAQNGB0&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_35&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARGHQ2YTT9WPEEU.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Printed Bandhani Georgette, Chiffon Saree  (Dark Green, Pink)","₹639","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/x/5/j/free-10-royal-opara-silk-saree-pure-cotton-sarees-for-summer-original-imaghr58qmzgbvxd.jpeg?q=70"
"1691783503-7","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/bombey-velvat-fab-printed-self-design-ombre-geometric-print-striped-applique-animal-floral-solid-plain-daily-wear-georgette-chiffon-saree/p/itm2f46a290c3fb6?pid=SARFZRFEZRGGYYNF&lid=LSTSARFZRFEZRGGYYNFLX2IKN&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_34&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARFZRFEZRGGYYNF.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Printed, Self Design, Ombre, Geometric Print, Striped, Applique, Animal Print, Floral Print, Solid/Plain Daily Wear Georgette, Chiffon Saree  (Dark Blue, Dark Green, Green, Blue)","₹649","https://rukminim2.flixcart.com/image/832/832/k69ncsw0/sari/y/n/f/free-0115-blue-aqua-marin-gold-best-seller-sexy-bollywood-original-imafzrkrht7sy5qu.jpeg?q=70"
"1691783506-8","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hensi-sarees-shop-printed-polka-print-applique-ombre-paisley-solid-plain-striped-temple-border-woven-dyed-bandhani-chiffon-lycra-blend-saree/p/itm0766ec5e0b60f?pid=SARGCKFE5DGF9FJZ&lid=LSTSARGCKFE5DGF9FJZYLZ1OM&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_33&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARGCKFE5DGF9FJZ.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Printed, Polka Print, Applique, Ombre, Paisley, Solid/Plain, Striped, Temple Border, Woven, Dyed Bandhani Chiffon, Lycra Blend Saree  (Dark Green, Beige)","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/m/n/d/free-10-royal-opara-silk-saree-pure-cotton-sarees-for-summer-original-imagcmeazrdrmdju-bb.jpeg?q=70"
"1691783509-9","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/georgette-saree-polka-print-bollywood/p/itmc4bb0ef69c55d?pid=SARGGBVTYFKJ8QAF&lid=LSTSARGGBVTYFKJ8QAF6TQ8ZD&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_32&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARGGBVTYFKJ8QAF.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Polka Print Bollywood Georgette Saree  (Dark Green, White)","₹485","https://rukminim2.flixcart.com/image/832/832/l0o6nbk0/sari/4/o/o/free-b38-polkadot-premium-quality-orange-red-yellow-fabric-ideal-original-imagces4ynsdyywk.jpeg?q=70"
"1691783512-10","https://www.flipkart.com/search?q=saree%20for%20women%20dark%20readymade&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mitiv-printed-digital-print-hand-painted-ombre-temple-border-striped-embroidered-embellished-bollywood-georgette-chiffon-saree/p/itm7248465f1f270?pid=SARGKN8WHDPZNED7&lid=LSTSARGKN8WHDPZNED7PMGLLU&marketplace=FLIPKART&q=saree+for+women+dark+readymade&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_31&otracker=search&otracker1=search&iid=f1b11c0b-03c1-4bc9-82d3-83d22cfba5d7.SARGKN8WHDPZNED7.SEARCH&ssid=3xx9t9oia80000001691783479477&qH=2c692aa6c98732ea","Printed, Digital Print, Hand Painted, Ombre, Temple Border, Striped, Embroidered, Embellished Bollywood Georgette, Chiffon Saree  (Dark Blue)","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/v/x/a/free-shani-new-opara-silk-saree-pure-cotton-sarees-for-summer-original-imagkn8wedzrjpva.jpeg?q=70"
