web-scraper-order,web-scraper-start-url,SIngle,SIngle-href,Title,Price,Image-src
"1691783729-1","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itm2995a36a485a5?pid=SARGMU8HHPYWMZPH&lid=LSTSARGMU8HHPYWMZPHPVNZ99&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_40&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HHPYWMZPH.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Blue)","₹639","https://rukminim2.flixcart.com/image/832/832/kq9ta4w0/sari/0/f/s/free-rnd01ddh167-randal-fashion-unstitched-original-imag4bmjnejqqrb5.jpeg?q=70"
"1691783732-2","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itmc40f0b1500a9a?pid=SARGMU8HWGG2GHET&lid=LSTSARGMU8HWGG2GHETDNI0TN&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_39&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HWGG2GHET.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Blue)","₹859","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/e/p/c/free-banarasi-soft-lichi-silk-woven-sarees-rep-chiku-rani-original-imagh44w4xnkvkyd.jpeg?q=70"
"1691783735-3","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-printed-chanderi-silk-blend-saree/p/itm1957bc34ca18f?pid=SARGZHBUADGGY8H4&lid=LSTSARGZHBUADGGY8H4ATTZAL&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_38&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGZHBUADGGY8H4.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Printed Chanderi Silk Blend Saree  (Light Green)","₹619","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/9/h/5/free-nc206-jp-jalar-petrol-gulmohar-enterprise-unstitched-original-imagzg5ytxngqzyy.jpeg?q=70"
"1691783738-4","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itm123672df67276?pid=SARGMU8HXUQFNHTX&lid=LSTSARGMU8HXUQFNHTXCDW4WP&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_37&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HXUQFNHTX.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Green)","₹759","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/t/j/p/free-nc41-kalash-rama-js-enterprise-unstitched-original-imagfxjzm47ugujf.jpeg?q=70"
"1691783741-5","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itmcafb1ffb92e1b?pid=SARGMU8HQCXHBHTR&lid=LSTSARGMU8HQCXHBHTRZMLL50&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_36&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HQCXHBHTR.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Blue)","₹809","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/p/f/x/free-nc157-sky-ankudi-fashion-studio-unstitched-original-imagkw6h777hqrny.jpeg?q=70"
"1691783744-6","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itm49c47dbc85a5d?pid=SARGMU8GEMGMFMGN&lid=LSTSARGMU8GEMGMFMGNBM5ISS&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_35&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8GEMGMFMGN.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Green)","₹689","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/o/z/i/free-4574-rama-palkaano-unstitched-original-imagh325av2wfyah.jpeg?q=70"
"1691783747-7","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itm806ce7a2b421c?pid=SARGMU8G6WT7BHXK&lid=LSTSARGMU8G6WT7BHXKXQJWCX&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_34&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8G6WT7BHXK.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Green)","₹899","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/p/z/j/free-nc159-parrot-purple-khodiyar-fashion-unstitched-original-imagh3v556gt3m8x.jpeg?q=70"
"1691783750-8","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itmd5b017fa3ac7e?pid=SARGMU8HCH7HGPYG&lid=LSTSARGMU8HCH7HGPYGT5WEBJ&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_33&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HCH7HGPYG.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Blue)","₹809","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/5/m/f/free-nc-124-kavish-enetrprise-unstitched-original-imagjzzydmvuguj5.jpeg?q=70"
"1691783753-9","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itmf56652da126fd?pid=SARGMU8HXHWZHFFS&lid=LSTSARGMU8HXHWZHFFS3ZDPAD&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_32&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HXHWZHFFS.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Green)","₹809","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/p/9/3/free-nc165-rama-krimisha-fashion-unstitched-original-imaghwqgcvew3dzf.jpeg?q=70"
"1691783756-10","https://www.flipkart.com/search?q=saree%20light%20young&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ab-young-woven-kanjivaram-jacquard-pure-silk-saree/p/itm934cb5f2e7906?pid=SARGMU8HYEZ3ZZB6&lid=LSTSARGMU8HYEZ3ZZB6QMLWQB&marketplace=FLIPKART&q=saree+light+young&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_31&otracker=search&otracker1=search&iid=0ad0b4eb-c824-4c21-83c6-a262ba67a3a0.SARGMU8HYEZ3ZZB6.SEARCH&ssid=eqbzzvc8ao0000001691783723404&qH=07b6887b41d0ede2","Woven Kanjivaram Jacquard, Pure Silk Saree  (Light Green)","₹759","https://rukminim2.flixcart.com/image/832/832/xif0q/sari/a/q/g/free-banarasi-soft-lichi-silk-woven-sarees-rep-chiku-rani-original-imaga5mpvpbsqjkn.jpeg?q=70"
