web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691764478-1","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/juneberry-printed-typography-women-round-neck-black-t-shirt/p/itm5cf0570e18ba4?pid=TSHGPK47TYBGTXCV&lid=LSTTSHGPK47TYBGTXCV4KVMI9&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_40&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGPK47TYBGTXCV.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Oversize Women Printed, Typography Round Neck Pure Cotton Black T-Shirt","₹599",""
"1691764481-2","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/maniac-printed-women-hooded-neck-black-t-shirt/p/itmc2057d7ddd961?pid=TSHGPN76GGRWEZXH&lid=LSTTSHGPN76GGRWEZXHWZLQW0&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_39&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGPN76GGRWEZXH.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Printed Hooded Neck Pure Cotton Black T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/v/0/b/xxl-wn22-hd-fs-crop-black-sld-space-maniac-original-imagpn76ceedg7fq.jpeg?q=70"
"1691764484-3","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/cultsport-printed-women-round-neck-black-t-shirt/p/itm8932b7ad3d38c?pid=TSHGZR8BPFBXBAYA&lid=LSTTSHGZR8BPFBXBAYAQJN9WJ&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_38&otracker=search&otracker1=search&iid=en_6TooT6oNp873QtzhSkbi40fE_tSysForalGoXFi2DxCX_61LDDtFGJfE1HhAeLO0LVs9H748cJdxT1jdeI1kXg%3D%3D&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Printed Round Neck Polyester Black T-Shirt","₹649","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/w/q/y/xxl-702095-cultsport-original-imagzr8bqut3sqxr.jpeg?q=70"
"1691764487-4","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/club-a9-solid-women-round-neck-black-white-t-shirt/p/itm246a5faf304fb?pid=TSHGRRSWRDZJHSZF&lid=LSTTSHGRRSWRDZJHSZFJNTN5O&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_37&otracker=search&otracker1=search&iid=en_6TooT6oNp873QtzhSkbi40fE_tSysForalGoXFi2DxBql7yrIgXSDvBu5qjrz4HgqqGOxjFztMkhQVibWqUtzw%3D%3D&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Pack of 2 Women Solid Round Neck Organic Cotton Black, White T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/j/0/m/xxl-wrnt2-20002-club-a9-original-imagrrsv9xa46xtz.jpeg?q=70"
"1691764490-5","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/funday-fashion-solid-women-round-neck-black-grey-t-shirt/p/itmad786f02018a5?pid=TSHGEF6ZTMVCVCQM&lid=LSTTSHGEF6ZTMVCVCQMVTN17E&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_36&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGEF6ZTMVCVCQM.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Pack of 2 Women Solid Round Neck Cotton Blend Black, Grey T-Shirt","₹469","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/d/c/s-combotshirt-funday-fashion-original-imagef6zypagzdgx-bb.jpeg?q=70"
"1691764493-6","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/diversify-printed-women-round-neck-black-t-shirt/p/itm86cdcba782390?pid=TSHGMXNFSZWBE54Z&lid=LSTTSHGMXNFSZWBE54ZWLZUUE&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_35&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGMXNFSZWBE54Z.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Printed Round Neck Pure Cotton Black T-Shirt","₹410","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/v/w/g/s-rzw01blackleaf-rodzen-original-imagmptnhyrfsxbz.jpeg?q=70"
"1691764496-7","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/iuga-solid-women-v-neck-black-t-shirt/p/itm078fa44278d97?pid=TSHGZ4YBG4KRDMWH&lid=LSTTSHGZ4YBG4KRDMWH5IR4DQ&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_34&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGZ4YBG4KRDMWH.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Solid V Neck Cotton Blend Black T-Shirt","₹336","https://rukminim2.flixcart.com/image/832/832/xif0q/top/k/p/8/s-top-126-iuga-original-imagnpkdrscevfhg.jpeg?q=70"
"1691764499-8","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/funday-fashion-solid-women-round-neck-black-pink-t-shirt/p/itm3a6f0c24dc96d?pid=TSHGEF6ZHHWWJBZF&lid=LSTTSHGEF6ZHHWWJBZFDVFG8C&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_33&otracker=search&otracker1=search&iid=419f86d6-5ff6-44ea-b782-d29db073fa14.TSHGEF6ZHHWWJBZF.SEARCH&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Pack of 2 Women Solid Round Neck Cotton Blend Black, Pink T-Shirt","₹469","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/o/e/1/s-combotshirt-funday-fashion-original-imagef6zzsavzxyz-bb.jpeg?q=70"
"1691764502-9","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/happy-brothers-solid-women-high-neck-black-t-shirt/p/itmb1c3ffa87a9eb?pid=TSHGH4YHDRZZHZBC&lid=LSTTSHGH4YHDRZZHZBC2RDD7R&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_32&otracker=search&otracker1=search&iid=en_6TooT6oNp873QtzhSkbi40fE_tSysForalGoXFi2DxBKpeeENfbMYbqfsP4EyNLbQDgEZ31atW1y73uCUGhowQ%3D%3D&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Solid High Neck Wool Blend Black T-Shirt","₹323","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/4/z/h/xl-t-shirt-happy-brothers-original-imagh4xxhcqbuv7h.jpeg?q=70"
"1691764505-10","https://www.flipkart.com/search?q=Casual%20tshirts%20women%20black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dyca-printed-women-round-neck-black-t-shirt/p/itmfbd626166e664?pid=TSHGBP3JM46YBUTK&lid=LSTTSHGBP3JM46YBUTKTF7IBR&marketplace=FLIPKART&q=Casual+tshirts+women+black&store=clo%2Fash%2Fank%2Floi&srno=s_1_31&otracker=search&otracker1=search&iid=en_6TooT6oNp873QtzhSkbi40fE_tSysForalGoXFi2DxAQX0jLU_DOBiC5ooyBbvmKvPbfUo3vlnwo2rtwasF4zw%3D%3D&ssid=hw6xamj2740000001691764472546&qH=aa0b9f5a318a8a77","Women Printed Round Neck Pure Cotton Black T-Shirt","₹407","https://rukminim2.flixcart.com/image/832/832/kzrbiq80/t-shirt/r/a/q/xxl-daa2053-dyca-original-imagbp3gxe4ytmt2.jpeg?q=70"
