web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691765069-1","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/flying-machine-printed-women-round-neck-blue-t-shirt/p/itm209db74a807d8?pid=TSHGF5QHTRRCHJWP&lid=LSTTSHGF5QHTRRCHJWPPISCIU&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_40&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGF5QHTRRCHJWP.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Printed Round Neck Cotton Blend Blue T-Shirt","₹569","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/y/j/w/-original-imaggd9rcsmj6wqg.jpeg?q=70"
"1691765072-2","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/roadster-printed-women-round-neck-blue-t-shirt/p/itm9062306165bb8?pid=TSHG6MTPPZECJGAY&lid=LSTTSHG6MTPPZECJGAY17ZN1Z&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_39&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHG6MTPPZECJGAY.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Printed Round Neck Pure Cotton Blue T-Shirt","₹319","https://rukminim2.flixcart.com/image/832/832/kt8zb0w0/t-shirt/e/c/e/m-13270278-roadster-original-imag6mtn7z2fbmfz.jpeg?q=70"
"1691765075-3","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/angar-solid-women-polo-neck-reversible-navy-blue-t-shirt/p/itm3b7a0e715f03f?pid=TSHGQP85M7GHH9NX&lid=LSTTSHGQP85M7GHH9NXMHRMCK&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_38&otracker=search&otracker1=search&iid=en__wVBvj-uGlWTO_WR9nz2zskgKghTepzYD-MuQH1XdTrpMx6fnHB1x2Nj5aXJzlrQIIVXOWCV1moGMIvTcp_mrA%3D%3D&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Solid Polo Neck Reversible Cotton Blend Navy Blue T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/k/t/p/s-women-plain-collar-top-angar-original-imagqp5rrfyp38mw.jpeg?q=70"
"1691765078-4","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fleximaa-printed-women-round-neck-blue-black-t-shirt/p/itmf5g2fhgsraf8x?pid=TSHF5BHSEHE8FAGS&lid=LSTTSHF5BHSEHE8FAGSRCM2CI&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_37&otracker=search&otracker1=search&iid=en__wVBvj-uGlWTO_WR9nz2zskgKghTepzYD-MuQH1XdTr_T3yb9tKEerm2pFvMmmznuU3Al-PfvhbmaDSljgONDg%3D%3D&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Pack of 2 Round Neck Printed T-Shirt Women Printed Round Neck Cotton Blend Blue, Black T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/jhavdzk0/t-shirt/h/m/c/l-prwfogoldblack-navy-l-fleximaa-original-imaf59g7m4yefcke.jpeg?q=70"
"1691765081-5","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-printed-women-round-neck-blue-t-shirt/p/itm993cec9a9cda9?pid=TSHGZCM7TEE9ZM4Q&lid=LSTTSHGZCM7TEE9ZM4QTINOEO&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_36&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGZCM7TEE9ZM4Q.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Printed Round Neck Pure Cotton Blue T-Shirt","₹949","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/b/d/s-23771-0406-levi-s-original-imagqp8mpzjazufa.jpeg?q=70"
"1691765084-6","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/prette-printed-women-hooded-neck-blue-t-shirt/p/itm8ef8643f9adcd?pid=TSHGYTYWKZZYZZND&lid=LSTTSHGYTYWKZZYZZNDNVMYCP&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_35&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGYTYWKZZYZZND.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","ESTELLE Women Printed Hooded Neck Pure Cotton Blue T-Shirt","₹379","https://rukminim2.flixcart.com/image/832/832/klqx30w0/t-shirt/8/e/m/xl-szf-hooded-panda-print-prette-original-imagytyt6bs5c76e.jpeg?q=70"
"1691765087-7","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dillinger-printed-women-round-neck-blue-t-shirt/p/itm163bf3c5a2a0a?pid=TSHFUMQFRCZ5HZT8&lid=LSTTSHFUMQFRCZ5HZT8ISQWZY&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_34&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHFUMQFRCZ5HZT8.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Printed Round Neck Pure Cotton Blue T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/kdt50nk0-0/t-shirt/k/w/a/xs-lndmk052tble-dillinger-original-imafumn7ymkqkj9y.jpeg?q=70"
"1691765090-8","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/farbot-colorblock-women-round-neck-blue-t-shirt/p/itm8d3c250511d46?pid=TSHGHNYFAKGCFZ4X&lid=LSTTSHGHNYFAKGCFZ4XF3GTTG&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_33&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGHNYFAKGCFZ4X.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Colorblock Round Neck Cotton Blend Blue T-Shirt","₹279","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-t-shirt/a/h/i/xxl-seven-rock-women-tealxxl-farbot-original-imagk3b2hm3ztppb.jpeg?q=70"
"1691765093-9","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/domin8-typography-women-round-neck-dark-blue-t-shirt/p/itmb6f10a56e04bf?pid=TSHGZR8JES6XNKM8&lid=LSTTSHGZR8JES6XNKM8I3TEIL&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_32&otracker=search&otracker1=search&iid=en__wVBvj-uGlWTO_WR9nz2zskgKghTepzYD-MuQH1XdTpJnBNL8JUMHFpY4JfHh_YbRQGq14xpaJcOk3JbjAr00w%3D%3D&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Typography Round Neck Cotton Blend Dark Blue T-Shirt","₹799","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/n/q/4/xs-dom8-aw-w-ts-05-domin8-original-imagzr8gtjzbzzee.jpeg?q=70"
"1691765096-10","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/angar-solid-women-polo-neck-light-blue-t-shirt/p/itm6069930aac16c?pid=TSHGQQ2DMP26NCQ8&lid=LSTTSHGQQ2DMP26NCQ8GHXSGH&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_31&otracker=search&otracker1=search&iid=en__wVBvj-uGlWTO_WR9nz2zskgKghTepzYD-MuQH1XdTpvVtmR-SicpW9BBdmADhzdg6fYyPIaEgs9GRLe57HBhQ%3D%3D&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Solid Polo Neck Cotton Blend Light Blue T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/o/n/s/s-women-plain-collar-top-angar-original-imagqp7yfknbjvyx.jpeg?q=70"
"1691765099-11","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dry-state-printed-typography-women-round-neck-blue-t-shirt/p/itme2f7160bee922?pid=TSHGZYDY76RCFWFU&lid=LSTTSHGZYDY76RCFWFUBV5DU1&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_30&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGZYDY76RCFWFU.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Women Printed, Typography Round Neck Pure Cotton Blue T-Shirt","₹349",""
"1691765102-12","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/puma-printed-women-round-neck-blue-t-shirt/p/itm0b1cd6cf435ee?pid=TSHGYGJCUBZYCMFG&lid=LSTTSHGYGJCUBZYCMFGGS10CL&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_29&otracker=search&otracker1=search&iid=695240ca-9a24-44b5-971a-51083b6f9844.TSHGYGJCUBZYCMFG.SEARCH&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Womens graphic Tee 17 Women Printed Round Neck Cotton Blend Blue T-Shirt","₹493","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/u/4/v/-original-imags3aeezqxhk6u.jpeg?q=70"
"1691765105-13","https://www.flipkart.com/search?q=Blue%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fleximaa-printed-women-round-neck-red-blue-t-shirt/p/itmf5g2jphwxtnez?pid=TSHF5BHSSATEQH8Q&lid=LSTTSHF5BHSSATEQH8QNYRVMN&marketplace=FLIPKART&q=Blue+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_28&otracker=search&otracker1=search&iid=en__wVBvj-uGlWTO_WR9nz2zskgKghTepzYD-MuQH1XdToYumBgbsImKdjun1JZ-WWM3B3-Xg6jama_d22lziFzCQ%3D%3D&ssid=1dbqxz9nzk0000001691765063715&qH=9ba0d4d5f0c1417e","Pack of 2 Round Neck Printed T-Shirt Women Printed Round Neck Cotton Blend Red, Blue T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/knyxqq80/t-shirt/f/o/a/m-prwfogoldred-navy-fleximaa-original-imag2j6qpmfvbcjp.jpeg?q=70"
