web-scraper-order,web-scraper-start-url,Single,Single-href,Titl,Price,Image-src
"1691767244-1","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fleximaa-printed-women-v-neck-blue-t-shirt/p/itmffg38gshxfatv?pid=TSHFFFXHYZHZ9GFP&lid=LSTTSHFFFXHYZHZ9GFPEA30SU&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_40&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHFFFXHYZHZ9GFP.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Womens Graphic Chest Printed Top Women Printed V Neck Pure Cotton Blue T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/jua4djk0/t-shirt/g/f/p/xl-pvwbluesmile-fleximaa-original-imaffg3cct6d6pyq.jpeg?q=70"
"1691767247-2","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nush-printed-women-round-neck-dark-blue-t-shirt/p/itmf43e9b03b250a?pid=TSHG6ZFSPWSWQGGZ&lid=LSTTSHG6ZFSPWSWQGGZS4F0NC&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_39&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG6ZFSPWSWQGGZ.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Polyester Dark Blue T-Shirt","₹571","https://rukminim2.flixcart.com/image/832/832/ktaeqvk0/t-shirt/v/g/h/m-nsh219flotee392-nush-original-imag6z22dfeghnax.jpeg?q=70"
"1691767250-3","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabflee-printed-women-round-neck-multicolor-t-shirt/p/itm58de359e5931b?pid=TSHGHJ5UFHRHRYYY&lid=LSTTSHGHJ5UFHRHRYYYT8DYFZ&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_38&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8dHu94jkuUtRN_No2eLh12PL5A2-UlDIYZA3Bx9FBV7_A%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Pack of 3 Women Printed Round Neck Pure Cotton Multicolor T-Shirt","₹459","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/8/u/p/xxl-su-39-29-30-fabflee-original-imaghj5rsqxy8rga.jpeg?q=70"
"1691767253-4","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/modeve-printed-women-round-neck-pink-t-shirt/p/itmfegbhr7q72gpe?pid=TSHFEGBHHR3GYGWG&lid=LSTTSHFEGBHHR3GYGWGISLMHG&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_36&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHFEGBHHR3GYGWG.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Cotton Blend Pink T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/k5wse4w0/t-shirt/w/s/u/l-ct-comb14-cotton-street-original-imaf59k6qrteb6sk.jpeg?q=70"
"1691767256-5","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/craftly-floral-print-women-round-neck-red-green-blue-t-shirt/p/itmc8caf09daa155?pid=TSHG73FGTHKRCWGW&lid=LSTTSHG73FGTHKRCWGWBDOTOD&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_35&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG73FGTHKRCWGW.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Pack of 3 Women Floral Print Round Neck Cotton Blend Red, Green, Blue T-Shirt","₹799","https://rukminim2.flixcart.com/image/832/832/ktuewsw0/t-shirt/v/f/u/xxl-women-and-ladies-long-full-sleeve-polo-tshirt-combo-craftly-original-imag73fhhmwynhaa.jpeg?q=70"
"1691767259-6","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sassafras-printed-women-round-neck-white-t-shirt/p/itme5756d0d19f63?pid=TSHG5C73BENT4RFF&lid=LSTTSHG5C73BENT4RFFNO3QKK&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_34&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG5C73BENT4RFF.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Pure Cotton White T-Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/krkyt8w0/t-shirt/o/v/k/s-sftops40155-sassafras-original-imag5c43vbmwmuy3.jpeg?q=70"
"1691767262-7","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/here-now-printed-women-round-neck-purple-t-shirt/p/itmec886f324ec30?pid=TSHG72KGYZXQXKDW&lid=LSTTSHG72KGYZXQXKDWDBR8KT&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_32&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8cdtpXDBJTQMpkyPC3FRzP1kMzWXB-DlduT2ofOqkwzww%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Pure Cotton Purple T-Shirt","₹409","https://rukminim2.flixcart.com/image/832/832/ktszgy80/t-shirt/x/1/k/xxl-13948716-here-now-original-imag72k8hzrfeftu.jpeg?q=70"
"1691767265-8","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/puma-printed-women-crew-neck-yellow-t-shirt/p/itmed55fc784054f?pid=TSHGGR98AFMHM2F6&lid=LSTTSHGGR98AFMHM2F6QHJPE6&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_31&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8cjnVbLHHbWalYtsMCzU9HTZxg2mllLtEVXippwkN41eQ%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Abstract Graphic Tee Women Printed Crew Neck Cotton Blend Yellow T-Shirt","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/c/h/r/-original-imaggby72wfswscp.jpeg?q=70"
"1691767268-9","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/modeve-printed-geometric-print-graphic-floral-polka-typography-checkered-women-round-neck-black-t-shirt/p/itm13b9f0ded8002?pid=TSHG4YZHWB8DEZZE&lid=LSTTSHG4YZHWB8DEZZEMHR4Y5&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_30&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG4YZHWB8DEZZE.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed, Geometric Print, Graphic Print, Floral Print, Polka Print, Typography, Checkered Round Neck Cotton Blend Black T-Shirt","₹290","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/9/3/u/xl-mod-7405-modeve-original-imag4yzhwcfxmayf-bb.jpeg?q=70"
"1691767272-10","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fabflee-printed-women-round-neck-multicolor-t-shirt/p/itm572ae3cbe0f00?pid=TSHGEUKB9TNQSGZC&lid=LSTTSHGEUKB9TNQSGZCZULII4&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_28&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8dGwbPOV48S5GMgj2Uoj4RqdxRSLPD0zG1tSS_ujZfL5w%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Pack of 4 Women Printed Round Neck Pure Cotton Multicolor T-Shirt","₹693","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/p/a/r/xxl-scm-26-03-08-12-fabflee-original-imagh89tzrkpezu7.jpeg?q=70"
"1691767275-11","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ramya-collection-printed-women-round-neck-grey-t-shirt/p/itm20bfa3891edcc?pid=TSHG25PYGYZJGJ5H&lid=LSTTSHG25PYGYZJGJ5HF5MYBM&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_27&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8dsXuDVx29gE4x8RRnIdJf1h4F9niF6catvV2dvcgOi6w%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Cotton Blend Grey T-Shirt","₹414","https://rukminim2.flixcart.com/image/832/832/knhsgi80/t-shirt/t/2/b/xxl-rc-popy-polo-ramya-collection-original-imag25pwnndynvge.jpeg?q=70"
"1691767278-12","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/provogue-floral-print-women-round-neck-maroon-t-shirt/p/itmf4c7ae1ba1d07?pid=TSHGEUMYKJGQVQEZ&lid=LSTTSHGEUMYKJGQVQEZ03RDCK&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_26&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHGEUMYKJGQVQEZ.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Floral Print Round Neck Cotton Blend Maroon T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/6/5/h/-original-imags3aectvp3aer.jpeg?q=70"
"1691767281-13","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mast-harbour-printed-women-round-neck-white-t-shirt/p/itmc74f9e5da5f05?pid=TSHG9GVUTC6KTJTG&lid=LSTTSHG9GVUTC6KTJTGLGM70E&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_24&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG9GVUTC6KTJTG.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Pure Cotton White T-Shirt","₹339","https://rukminim2.flixcart.com/image/832/832/kwwfte80/t-shirt/r/w/m/m-15273034-mast-harbour-original-imag9gvsxfzddrax.jpeg?q=70"
"1691767284-14","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/tommy-hilfiger-floral-print-women-polo-neck-blue-t-shirt/p/itm039bda4a34b2e?pid=TSHFZWYGAAMRHYDN&lid=LSTTSHFZWYGAAMRHYDN8ENWG3&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_23&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHFZWYGAAMRHYDN.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Floral Print Polo Neck Cotton Blend Blue T-Shirt","₹1,735","https://rukminim2.flixcart.com/image/832/832/kdakakw0/t-shirt/p/d/w/l-p0awk166-tommy-hilfiger-original-imafu87j98qgmrea.jpeg?q=70"
"1691767287-15","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/cultsport-printed-women-round-neck-white-t-shirt/p/itm25500adc6d1e7?pid=TSHGPU4FH9RBGXHQ&lid=LSTTSHGPU4FH9RBGXHQMCHUV0&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_22&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8ekrAntSw64yGeTyTxeOKpq5RQ3ZsBNprNbT4tARuA8Xg%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Cotton Blend White T-Shirt","₹715","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/c/l/p/s-702296-cultsport-original-imagpu4fpgkgmgxe.jpeg?q=70"
"1691767290-16","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/base-41-floral-print-women-round-neck-white-t-shirt/p/itm9d7ebabe47119?pid=TSHGBRDVG4GX5EVP&lid=LSTTSHGBRDVG4GX5EVPVNMCRZ&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_20&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHGBRDVG4GX5EVP.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Floral Print Round Neck Cotton Blend White T-Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/kzu6efk0/t-shirt/e/y/8/s-tee-flower-white-base-41-original-imagbrdu7aygzhzn.jpeg?q=70"
"1691767293-17","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lyra-floral-print-women-round-neck-maroon-t-shirt/p/itm8a30d5aad47cd?pid=TSHG2WJQZWPGYRYE&lid=LSTTSHG2WJQZWPGYRYEXUKYXV&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_19&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHG2WJQZWPGYRYE.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","LYRA PRINTED TSHIRT - 403 Women Floral Print Round Neck Cotton Blend Maroon T-Shirt","₹351","https://rukminim2.flixcart.com/image/832/832/kpu3frk0/t-shirt/n/w/z/s-lyra-prts-403-b17a-1pc-lyra-original-imag3z96rhxt4gxz.jpeg?q=70"
"1691767296-18","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/amoldo-printed-typography-women-round-neck-maroon-t-shirt/p/itm3c478a403e293?pid=TSHGPFGJCZJ8XHFM&lid=LSTTSHGPFGJCZJ8XHFMZDIYLI&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_18&otracker=search&otracker1=search&iid=en_uciFqJp4_kbGZ8yGhmvXS9A4RCAsXGm0_A38dkKtn8eYMoulBUhQNhsu2RfBB9Rhydl-hjOxqh0uInx2tsNV_w%3D%3D&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed, Typography Round Neck Cotton Blend Maroon T-Shirt","₹349","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/1/b/z/l-t-shirts-amoldo-original-imagpfgjnvp8shvn.jpeg?q=70"
"1691767299-19","https://www.flipkart.com/search?q=Floral%20printed%20casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mast-harbour-printed-women-round-neck-gold-t-shirt/p/itm4272fd9c8a505?pid=TSHGB4ZYBXHZKBBN&lid=LSTTSHGB4ZYBXHZKBBNVLQHQA&marketplace=FLIPKART&q=Floral+printed+casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_16&otracker=search&otracker1=search&iid=11e39f76-54bb-4721-99fc-7caeecd3913e.TSHGB4ZYBXHZKBBN.SEARCH&ssid=uookai0ycg0000001691767239119&qH=dc1382d83d53f95e","Women Printed Round Neck Pure Cotton Gold T-Shirt","₹359","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/l/m/l/-original-imags38w5dx3a6gy.jpeg?q=70"
