web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691765313-1","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/puma-solid-women-polo-neck-red-t-shirt/p/itm96a6fddb6f4e1?pid=TSHGBDTZY8SAHG64&lid=LSTTSHGBDTZY8SAHG64ZTRATK&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_40&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHGBDTZY8SAHG64.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Graphic Cat Polo Women Solid Polo Neck Cotton Blend Red T-Shirt","₹639","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/3/k/9/s-67375003-puma-original-imagdd6deg4bwfch-bb.jpeg?q=70"
"1691765317-2","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/veirdo-printed-women-round-neck-red-t-shirt/p/itma4ac95c414ef4?pid=TSHGGAUK3DWVWWT6&lid=LSTTSHGGAUK3DWVWWT6V8LKVM&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_39&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHGGAUK3DWVWWT6.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Printed Round Neck Pure Cotton Red T-Shirt","₹429",""
"1691765320-3","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rishab-oswal-printed-women-round-neck-green-t-shirt/p/itma435e66c73449?pid=TSHGNRMZZB7E8CX5&lid=LSTTSHGNRMZZB7E8CX5NHLTBS&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_38&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpIOJt0vAkc4VXrbOJgMLegesIBoCMnLl42WzERtat5xSYg%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Printed Round Neck Cotton Blend Green T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-top/3/i/a/xl-ldt-039-swaggerjns-original-imagmt9hdgtmg4nd.jpeg?q=70"
"1691765323-4","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/true-basket-striped-women-round-neck-white-t-shirt/p/itma6a47f226f395?pid=TSHGNE9STXZNGE64&lid=LSTTSHGNE9STXZNGE64LMQXYK&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_37&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpIMjgupNsZIDF0wvlJOJ1aF9zamgm11SQX1bncMIOBytuA%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Striped Round Neck Cotton Blend White T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/y/q/e/s-white-girl-patta-wrodss-original-imagnd9u4fgg4jvk.jpeg?q=70"
"1691765326-5","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/metronaut-typography-graphic-print-women-round-neck-red-t-shirt/p/itmde44a95891fcd?pid=TSHGNB43GASCBRPF&lid=LSTTSHGNB43GASCBRPFFRY5EZ&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_36&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHGNB43GASCBRPF.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Typography, Graphic Print Women Round Neck Pure Cotton Red T-Shirt","₹247","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/h/0/m-metro-su-01-metronaut-original-imagnb296mjxmgwh.jpeg?q=70"
"1691765329-6","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sharktribe-solid-women-turtle-neck-red-t-shirt/p/itmc5a92ce5e16ad?pid=TSHFNZP4RPEZJFH9&lid=LSTTSHFNZP4RPEZJFH9NEIZLC&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_35&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHFNZP4RPEZJFH9.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Solid Turtle Neck Cotton Blend Red T-Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/kfoapow0-0/t-shirt/m/t/v/s-stwtn-turneck-thumbsl-burgandy-sharktribe-original-imafw2gwuygjtq5j.jpeg?q=70"
"1691765332-7","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/base-41-solid-women-round-neck-red-black-yellow-t-shirt/p/itm47b281b5e706d?pid=TSHFUUPKJMFFVTJ5&lid=LSTTSHFUUPKJMFFVTJ57CBSHZ&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_34&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHFUUPKJMFFVTJ5.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Pack of 3 Women Solid Round Neck Cotton Blend Red, Black, Yellow T-Shirt","₹777","https://rukminim2.flixcart.com/image/832/832/ke353m80-0/t-shirt/f/0/p/l-bkneck-yelneck-redneck-base-41-original-imafuungkjjyxz2h.jpeg?q=70"
"1691765335-8","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/puma-printed-women-round-neck-red-t-shirt/p/itmc2201f7aeb37d?pid=TSHG4PV5VFTJZMMR&lid=LSTTSHG4PV5VFTJZMMRJ2WEYW&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_33&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHG4PV5VFTJZMMR.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","WMN Graphic Tee I Women Printed Round Neck Cotton Blend Red T-Shirt","₹569","https://rukminim2.flixcart.com/image/832/832/ksoz53k0/t-shirt/f/y/3/s-67039403-puma-original-imag6796hhvcffg9.jpeg?q=70"
"1691765338-9","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ramya-collection-typography-printed-women-round-neck-pink-t-shirt/p/itm2c6e421b3e75c?pid=TSHGQ8DRP4U8APGW&lid=LSTTSHGQ8DRP4U8APGWDK8O8K&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_32&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpIPJrsFWyKGeaY21GqJk7JL7COl66Q18MwOPhVVDhjLwxg%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Pack of 2 Women Typography, Printed Round Neck Cotton Blend Pink T-Shirt","₹455","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/b/v/z/xxl-ramya-girls-long-t-shirt-ramya-collection-original-imagq8drhqbzptz6.jpeg?q=70"
"1691765341-10","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rishab-oswal-graphic-print-women-round-neck-black-t-shirt/p/itmb3ee5c4e41257?pid=TSHGNRMZHZKX4NFV&lid=LSTTSHGNRMZHZKX4NFVFB3SDK&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_31&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpIMLZreporvmcQb4BB3zKMjJvqsJmSqW5G6qdVawohoAJA%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Graphic Print Round Neck Cotton Blend Black T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-top/r/9/6/s-ldt-037-denim-art-fashions-original-imagmzpgbyahg6zk.jpeg?q=70"
"1691765344-11","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-solid-women-round-neck-red-t-shirt/p/itmc1a6da44be5c7?pid=TSHFUQYPQHYZCXZ7&lid=LSTTSHFUQYPQHYZCXZ77ZD8D1&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_30&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHFUQYPQHYZCXZ7.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Styled Tee Women Solid Round Neck Cotton Blend Red T-Shirt","₹911","https://rukminim2.flixcart.com/image/832/832/knqd3m80/t-shirt/b/n/v/s-74744-0003-levi-s-original-imag2cgrd3bkp7hz.jpeg?q=70"
"1691765347-12","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nike-printed-women-round-neck-red-t-shirt/p/itma210b81bcd11c?pid=TKTGBTMGNKCGHGFV&lid=LSTTKTGBTMGNKCGHGFVHH0SOX&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_29&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TKTGBTMGNKCGHGFV.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Printed Round Neck Cotton Blend Red T-Shirt","₹897","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/j/a/c/s-dr1195-646-nike-original-imaghbejcfb6wqtf.jpeg?q=70"
"1691765350-13","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/swaggerjns-solid-women-round-neck-pink-t-shirt/p/itm6270307e6c927?pid=TSHGNRMZ2XHYYZQV&lid=LSTTSHGNRMZ2XHYYZQV13W3C2&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_28&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpINCFCvBTd6aywPEfeMJSVga_JAAdsoOtCBxxGSekuz-6Q%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Solid Round Neck Cotton Blend Pink T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/w/d/x/m-ldt-039-swaggerjns-original-imagpmfdpgzbvrb7.jpeg?q=70"
"1691765353-14","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/here-now-solid-women-round-neck-blue-t-shirt/p/itm8a43f96c10196?pid=TSHG8RHJKKGDCPYE&lid=LSTTSHG8RHJKKGDCPYESLRSEG&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_27&otracker=search&otracker1=search&iid=en_z26JcYtHwMCJeEKeVs1_X-b2RDuZJ4oJLCafZAGWpINDzXrkIydKJ6zSpWXJXLzmcAIv0C99w4KEmp0Q1-5Jeg%3D%3D&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Solid Round Neck Pure Cotton Blue T-Shirt","₹239","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/g/q/3/l-15211118-here-now-original-imag8rheqtccwt5f-bb.jpeg?q=70"
"1691765356-15","https://www.flipkart.com/search?q=red%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/plush-graphic-print-women-round-neck-red-t-shirt/p/itme7643c9a5b70b?pid=TSHG4ZZSW8Y4KB7Z&lid=LSTTSHG4ZZSW8Y4KB7ZCBXORW&marketplace=FLIPKART&q=red+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_26&otracker=search&otracker1=search&iid=f0541140-a0ed-42e4-a0dc-864b40790057.TSHG4ZZSW8Y4KB7Z.SEARCH&ssid=440h7rahrk0000001691765307532&qH=d39f949266f9897c","Women Graphic Print Round Neck Cotton Blend Red T-Shirt","₹284","https://rukminim2.flixcart.com/image/832/832/kqpj4i80/top/z/w/i/3xl-dpl-pt-001-plush-original-imag4nryuzp6asqf.jpeg?q=70"
