web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691764821-1","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/prettify-printed-women-round-neck-white-t-shirt/p/itmf56b918bf2df9?pid=TSHGMGRKEPTF8CEW&lid=LSTTSHGMGRKEPTF8CEWVAZYXX&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_40&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHGMGRKEPTF8CEW.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Printed Round Neck Cotton Blend White T-Shirt","₹309","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/f/r/b/xxl-prt-07-a-prettify-original-imagmgrjkqqywyar.jpeg?q=70"
"1691764824-2","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pepe-jeans-printed-women-round-neck-white-t-shirt/p/itm8018216eeccfe?pid=TSHFSPXFNNM6H7AH&lid=LSTTSHFSPXFNNM6H7AHD8XIUR&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_39&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHFSPXFNNM6H7AH.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Printed Round Neck Cotton Blend White T-Shirt","₹584","https://rukminim2.flixcart.com/image/832/832/kbcjpu80/t-shirt/p/m/e/s-pl504561-optic-white-pepe-jeans-original-imafsq5vxsrhpzgh.jpeg?q=70"
"1691764827-3","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/club-a9-solid-women-round-neck-red-white-t-shirt/p/itm592add985f97a?pid=TSHGRRTGABA2VH92&lid=LSTTSHGRRTGABA2VH92JSCXVT&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_38&otracker=search&otracker1=search&iid=en_876MZuFQjL_y05Fn3JlxPzWBdZVZCgrrm8rSoj7hGFsiNgFS-X-21z6UNw6FJAdBsOoXzjh6fJ-WVnEJw0emNg%3D%3D&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Pack of 2 Women Solid Round Neck Organic Cotton Red, White T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/5/u/g/xxl-wrnt2-20010-club-a9-original-imagrrtg22pmpypu.jpeg?q=70"
"1691764830-4","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nitron-solid-women-round-neck-white-t-shirt/p/itmad06d4723a34c?pid=TSHGER8KMTDANMHV&lid=LSTTSHGER8KMTDANMHVZKP8QK&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_37&otracker=search&otracker1=search&iid=en_876MZuFQjL_y05Fn3JlxPzWBdZVZCgrrm8rSoj7hGFtvFAsCn-L6966OStkR8L2zEk7ErjYYMBEr_Bk1JGSTWg%3D%3D&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Solid Round Neck Pure Cotton White T-Shirt","₹349","https://rukminim2.flixcart.com/image/832/832/l4ssfww0/t-shirt/i/l/a/xs-rnt-wht-sl-f-nitron-original-imagfm3gkpwvumty.jpeg?q=70"
"1691764833-5","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nautica-printed-women-crew-neck-white-t-shirt/p/itm10037077cbb4c?pid=TSHGEHJQQA9ZSZHM&lid=LSTTSHGEHJQQA9ZSZHMK1DTMN&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_36&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHGEHJQQA9ZSZHM.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Printed Crew Neck Cotton Blend White T-Shirt","₹543","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/u/u/m-ntcns15v0161bww-nautica-original-imaggd63fch38jhp.jpeg?q=70"
"1691764836-6","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/base-41-solid-women-round-neck-white-t-shirt/p/itm5909d53a6ec5f?pid=TSHGBWXDPTUAAXSZ&lid=LSTTSHGBWXDPTUAAXSZYMXBXT&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_35&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHGBWXDPTUAAXSZ.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Solid Round Neck Cotton Blend White T-Shirt","₹227","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/i/z/j/s-cat-white-base-41-original-imagbwxchnxemygz-bb.jpeg?q=70"
"1691764839-7","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dollar-missy-printed-women-round-neck-white-t-shirt/p/itmdf460b719067e?pid=TSHGBHFH7E2HWSPS&lid=LSTTSHGBHFH7E2HWSPS1XWQZS&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_34&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHGBHFH7E2HWSPS.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","MMCC-703 Women Printed Round Neck Cotton Blend White T-Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/kzhbfrk0/t-shirt/g/b/4/xxl-mmcc-703-r3-pr-ow-po2-dollar-missy-original-imagbhehq2ejhyct.jpeg?q=70"
"1691764842-8","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/calvin-klein-jeans-printed-women-round-neck-white-t-shirt/p/itm7274f640e48a7?pid=TSHG4G3CCZZFS2YF&lid=LSTTSHG4G3CCZZFS2YFIXHODV&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_33&otracker=search&otracker1=search&iid=1193d9ec-2606-4f95-b1a9-bac4f4f7bf1e.TSHG4G3CCZZFS2YF.SEARCH&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","SHRUNKEN INSTITUTIONAL TEE Women Printed Round Neck Organic Cotton White T-Shirt","₹1,499","https://rukminim2.flixcart.com/image/832/832/ksgehzk0/t-shirt/y/1/3/s-j20j216251yaf-calvin-klein-jeans-original-imag6ysegyytbbdg.jpeg?q=70"
"1691764845-9","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/amevi-printed-women-round-neck-white-t-shirt/p/itm4b840ea6bd5bd?pid=TSHGEPZB4KHGGGQT&lid=LSTTSHGEPZB4KHGGGQTOTRAAJ&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_32&otracker=search&otracker1=search&iid=en_876MZuFQjL_y05Fn3JlxPzWBdZVZCgrrm8rSoj7hGFv74yoYiSjPWszsRwJBM58iNhNcHcN4N753uzm8gq1vlw%3D%3D&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Women Printed Round Neck Pure Cotton White T-Shirt","₹349","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/z/g/t/xl-oversized-beautiful-27522-56d-amevi-original-imags5njebayzxx7.jpeg?q=70"
"1691764848-10","https://www.flipkart.com/search?q=White%20Casual%20tshirts%20for%20women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/club-a9-solid-women-round-neck-white-orange-t-shirt/p/itme9643271e17f7?pid=TSHGRS4HHHZDQB4V&lid=LSTTSHGRS4HHHZDQB4VIMVQTN&marketplace=FLIPKART&q=White+Casual+tshirts+for+women&store=clo%2Fash%2Fank%2Floi&srno=s_1_31&otracker=search&otracker1=search&iid=en_876MZuFQjL_y05Fn3JlxPzWBdZVZCgrrm8rSoj7hGFvymosUe2UsIXrcwPLNNy80IYIxAAzSxfvjjtyEPhPFrw%3D%3D&ssid=20h5uo3s8w0000001691764815183&qH=d05af4d73dd8ad93","Pack of 2 Women Solid Round Neck Organic Cotton White, Orange T-Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/m/o/h/m-wrnt2-20013-club-a9-original-imagrs4fvzfryaas.jpeg?q=70"
