web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691760749-1","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hancock-women-solid-formal-blue-shirt/p/itmee6c0dd5395e1?pid=SHTGJXGEWYCZ9RJ5&lid=LSTSHTGJXGEWYCZ9RJ5MKRWQE&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_40&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGJXGEWYCZ9RJ5.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Spread Collar Formal Shirt","₹1,609","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/i/g/xs-16001sky-hancock-original-imagjxgegmfk6jzp.jpeg?q=70"
"1691760752-2","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/zola-women-solid-formal-blue-shirt/p/itmf845083b1dbd4?pid=SHTGD495GY9UGVVS&lid=LSTSHTGD495GY9UGVVS3BSUVU&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_39&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGD495GY9UGVVS.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Slim Fit Solid Formal Shirt","₹839","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/d/n/2/l-496021sky-blue-zola-original-imagd494ya8tdgcp-bb.jpeg?q=70"
"1691760755-3","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nuevosdamas-women-solid-casual-blue-shirt/p/itmcd27ff7078ad2?pid=SHTG2VC4GZKWWRHA&lid=LSTSHTG2VC4GZKWWRHAOOXD4V&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_38&otracker=search&otracker1=search&iid=en_HlR4CZloMaOxgFO8a589EgV9U-FSSqE7cAfA4KDLwt-aUkKY0Ohp3nUCiYlStYlpbyABvmMBmOkFGYUHgdifWA%3D%3D&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Curved Collar Casual Shirt","₹472","https://rukminim2.flixcart.com/image/832/832/kx7vc7k0/shirt/d/i/b/s-2077-nuevosdamas-original-imag9pw4hregjc8e.jpeg?q=70"
"1691760758-4","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ok-quest-women-printed-casual-cream-shirt/p/itmebf77065e493a?pid=SHTGS269XTSYGWTP&lid=LSTSHTGS269XTSYGWTPMQ1QW3&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_37&otracker=search&otracker1=search&iid=en_HlR4CZloMaOxgFO8a589EgV9U-FSSqE7cAfA4KDLwt_nH-qdctdhqTyYHhZdqzi97JvNFG3sQs4JT32drg0saQ%3D%3D&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Printed Mandarin Collar Casual Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/e/u/k/m-hana-offwhite-pinpoint-seller-original-imags24nzaphjede.jpeg?q=70"
"1691760761-5","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/v-mart-women-solid-casual-blue-shirt/p/itmd113d54f438f2?pid=SHTGHUF6SFEGHXYM&lid=LSTSHTGHUF6SFEGHXYMADHKFG&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_36&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGHUF6SFEGHXYM.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Spread Collar Casual Shirt","₹269","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/a/b/xl-498334-v-mart-original-imaghuf6u89wcwwj.jpeg?q=70"
"1691760764-6","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ronakfashion-women-solid-formal-blue-shirt/p/itmd379d24e8a1da?pid=SHTGG3YGXGQGZTGG&lid=LSTSHTGG3YGXGQGZTGGSNJVCA&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_35&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGG3YGXGQGZTGG.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Formal Shirt","₹248","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/3/p/k/2xl-navyblue-shirt-tista-traders-original-imaggspvs7z7pdf4.jpeg?q=70"
"1691760767-7","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/blue-ronin-women-solid-formal-green-shirt/p/itm49c21c3a69ab4?pid=SHTGFH39WU8YUW39&lid=LSTSHTGFH39WU8YUW39KFHILV&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_34&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGFH39WU8YUW39.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Curved Collar Formal Shirt  (Pack of 2)","₹999","https://rukminim2.flixcart.com/image/832/832/kms2j680/shirt/d/k/n/m-combo-2-tf-sky-mr-blue-ronin-original-imagfh39s7d2acah.jpeg?q=70"
"1691760770-8","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hunoor-women-solid-formal-blue-black-shirt/p/itm354a17912324f?pid=SHTGGQC6EEWJG5HJ&lid=LSTSHTGGQC6EEWJG5HJOJEKXK&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_33&otracker=search&otracker1=search&iid=401ed9f8-3b52-457a-837f-54f4cdda4be8.SHTGGQC6EEWJG5HJ.SEARCH&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Regular Fit Solid Mandarin Collar Formal Shirt  (Pack of 2)","₹500","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/g/w/2/l-g-51-15bro-15pea-giggles-original-imagghfnvc4avnug.jpeg?q=70"
"1691760773-9","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jalveer-women-printed-casual-multicolor-shirt/p/itm300f0745f83ad?pid=SHTGRKBBU7BTPZCT&lid=LSTSHTGRKBBU7BTPZCTP9QSON&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_32&otracker=search&otracker1=search&iid=en_HlR4CZloMaOxgFO8a589EgV9U-FSSqE7cAfA4KDLwt_19W66Kqc24HI2-302qvL4PoRwFIbbQzfPkOpfFf_JSw%3D%3D&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Boxy, Regular Fit Printed Lapel Collar Casual Shirt","₹395","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/e/o/h/xl-top-065-jalveer-original-imagrkbbfytucmmx.jpeg?q=70"
"1691760776-10","https://www.flipkart.com/search?q=Blue%20Formal%20Shtrts%20Women&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jalveer-women-printed-casual-red-shirt/p/itm8d81173a1ec79?pid=SHTGRKBBFMUWGTPU&lid=LSTSHTGRKBBFMUWGTPUPZC57M&marketplace=FLIPKART&q=Blue+Formal+Shtrts+Women&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_31&otracker=search&otracker1=search&iid=en_HlR4CZloMaOxgFO8a589EgV9U-FSSqE7cAfA4KDLwt9Acp6CLADvc-hWTBGABI6fTQpwg-qNk0Y894wkGSNiXg%3D%3D&ssid=agugtkzrr40000001691760745200&qH=da017f54f67f7673","Women Boxy, Regular Fit Printed Lapel Collar Casual Shirt","₹395","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/6/n/s-top-057-jalveer-original-imagrkbbzhxhb8fc.jpeg?q=70"
