web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,Image-src
"1691760256-1","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fbella-women-solid-casual-white-shirt/p/itm9ba816932f544?pid=SHTGJYGX7MYHPJFW&lid=LSTSHTGJYGX7MYHPJFWOWKVLI&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_40&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGJYGX7MYHPJFW.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Button Down Collar Casual Shirt","₹499","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/i/h/j/xl-fsr-163wt-fbella-original-imagjygxwtzxnazk.jpeg?q=70"
"1691760259-2","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/blue-ronin-women-solid-formal-white-black-shirt/p/itm85472d2de0763?pid=SHTGFF3THB7PHF8V&lid=LSTSHTGFF3THB7PHF8V6VV6FK&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_39&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGFF3THB7PHF8V.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Curved Collar Formal Shirt  (Pack of 2)","₹999","https://rukminim2.flixcart.com/image/832/832/km2clu80/shirt/7/3/p/l-combo-2-fs-sky-bl-blue-ronin-original-imagff3nzyrc67qn.jpeg?q=70"
"1691760262-3","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/oomph-women-printed-casual-dark-blue-white-shirt/p/itm6553ec97cba18?pid=SHTGQRJC4EQQYFWV&lid=LSTSHTGQRJC4EQQYFWVAH2UC2&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_38&otracker=search&otracker1=search&iid=en_WNQ7oynXOZ6wjkUvfznQ4aOn4t1AIvuK0OPV9NwgIPbj8QMtDDgluz3zDKD2KtOgcURkViEB9GPklTQ3lzRE_g%3D%3D&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Printed Spread Collar Casual Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/i/m/d/l-msh030-oomph-original-imagqrjcpu5hu6kz.jpeg?q=70"
"1691760265-4","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/oomph-women-printed-casual-white-shirt/p/itmbc5488413e81c?pid=SHTGQRGG5ARYKPP2&lid=LSTSHTGQRGG5ARYKPP2PXMAMA&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_37&otracker=search&otracker1=search&iid=en_WNQ7oynXOZ6wjkUvfznQ4aOn4t1AIvuK0OPV9NwgIPYcpKa1QtAf-Bij1JPSwp4_wil7XNQ-8PewQ3scZquycQ%3D%3D&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Printed Cut Away Collar Casual Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/e/x/m-msh021-oomph-original-imagqrgcseg2sqxy.jpeg?q=70"
"1691760268-5","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/blue-ronin-women-solid-formal-black-white-shirt/p/itm7999b140a5797?pid=SHTGFH39GGGT6J7Q&lid=LSTSHTGFH39GGGT6J7QSG23KC&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_36&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGFH39GGGT6J7Q.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Curved Collar Formal Shirt  (Pack of 2)","₹999","https://rukminim2.flixcart.com/image/832/832/kms2j680/shirt/o/0/y/m-combo-2-tf-bl-wh-blue-ronin-original-imagfh395suharh2.jpeg?q=70"
"1691760271-6","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/amrutvarsha-creation-women-solid-formal-white-shirt/p/itmb45e984ae78ed?pid=SHTGDVYYMMH3WBHU&lid=LSTSHTGDVYYMMH3WBHU31LGFT&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_35&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGDVYYMMH3WBHU.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Button Down Collar Formal Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/t/s/r/l-women-shirt-shirtwala-original-image87npsdyygeh.jpeg?q=70"
"1691760274-7","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/hunoor-women-solid-formal-red-white-shirt/p/itm11d0c94a84106?pid=SHTGJHJQFTZFYJAX&lid=LSTSHTGJHJQFTZFYJAX6SDIB6&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_34&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGJHJQFTZFYJAX.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Curved Collar Formal Shirt  (Pack of 2)","₹500","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/3/o/f/l-hu-41-14whi-14red-hunoor-original-imagjhjp8azszsny.jpeg?q=70"
"1691760277-8","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/selvia-women-solid-formal-black-white-shirt/p/itm7f757a59f9b59?pid=SHTGHMYUGNV2HUJH&lid=LSTSHTGHMYUGNV2HUJH3HOSMQ&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_33&otracker=search&otracker1=search&iid=fda839fd-505b-4976-bfc9-64765de404cc.SHTGHMYUGNV2HUJH.SEARCH&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Solid Spread Collar Formal Shirt  (Pack of 2)","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/q/v/2/s-329tk253-329tk256-selvia-original-imaghmytjyzvmat7.jpeg?q=70"
"1691760280-9","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/oomph-women-floral-print-formal-yellow-white-shirt/p/itm6ad807ddbf966?pid=SHTGZ9GSPZZFMNYJ&lid=LSTSHTGZ9GSPZZFMNYJNKNYBE&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_32&otracker=search&otracker1=search&iid=en_WNQ7oynXOZ6wjkUvfznQ4aOn4t1AIvuK0OPV9NwgIPbdY0pGzbRod1TBMNRZ3e1ywsILSviPjKXqlVyFCir5sg%3D%3D&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Floral Print Formal Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/j/d/s-msh010-oomph-original-imagz9grvehqf8zd.jpeg?q=70"
"1691760283-10","https://www.flipkart.com/search?q=Women%20white%20formal%20shirts&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/oomph-women-printed-formal-brown-white-shirt/p/itmd23bc067fe33b?pid=SHTGQREHHZFCK6QG&lid=LSTSHTGQREHHZFCK6QGOBUP21&marketplace=FLIPKART&q=Women+white+formal+shirts&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_31&otracker=search&otracker1=search&iid=en_WNQ7oynXOZ6wjkUvfznQ4aOn4t1AIvuK0OPV9NwgIPZ2TJNwYX2a1-6-Zc74MCjHGoYVFKJEEHvsezs2S8dv_Q%3D%3D&ssid=bz1ly25do00000001691760251073&qH=4e913b461bedb091","Women Regular Fit Printed Formal Shirt","₹329","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/0/c/v/xs-msh028-oomph-original-imagqrekacrpezrg.jpeg?q=70"
