uniq_id,crawl_timestamp,product_id,link,size,variant_sku,brand,care_instructions,dominant_material,title,actual_color,dominant_color,product_type,images,body,product_details,size_fit,complete_the_look,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock,inventory,specifications,
cc51c3dd925d9d84e2fb28c7918dbbc3,2019-08-11 05:49:46 +0000,6937673,https://www.myntra.com/tops/imara/imara-women-black-solid-top/6937673/buy,XL,6937673_XL,IMARA,Polyester | Dry-clean,Polyester,IMARA Women Black Solid Top,Black,Black,Top,http://assets.myntassets.com/v1/assets/images/6937673/2018/8/30/88c6ad02-eab9-42c8-8b8e-cbcd8f015d361535627393491-IMARA-Women-Black-Solid-Top-7471535627393374-1.jpg | http://assets.myntassets.com/v1/assets/images/6937673/2018/8/30/06f7fe3a-08c5-4718-9d5b-d2e82f7806a71535627393473-IMARA-Women-Black-Solid-Top-7471535627393374-2.jpg | http://assets.myntassets.com/v1/assets/images/6937673/2018/8/30/9f9ad6fe-3260-4bf8-9088-59dd7351a0f41535627393453-IMARA-Women-Black-Solid-Top-7471535627393374-3.jpg | http://assets.myntassets.com/v1/assets/images/6937673/2018/8/30/8e268984-4d24-4563-b3ee-c2ff0f2c600c1535627393440-IMARA-Women-Black-Solid-Top-7471535627393374-4.jpg | http://assets.myntassets.com/v1/assets/images/6937673/2018/8/30/bf975857-fee6-4685-9630-ca7cd4f13d631535629577797-IMARA-Women-Black-Solid-Top-81535629577403-5.jpg,"Black solid woven regular top,has a V-neck, three-quarter sleeves, an attached lining
The model (height 5'8"") is wearing a size S
Improve your personal style with a brand new three-quarter sleeve top designed by IMARA.  When you want to have the perfect outfit for a fun lunch with the girls, you'll want to put this black piece with an ankle boot and tapered-leg pants.
Polyester Dry-clean","Black solid woven regular top,has a V-neck, three-quarter sleeves, an attached lining","The model (height 5'8"") is wearing a size S","Improve your personal style with a brand new three-quarter sleeve top designed by IMARA.  When you want to have the perfect outfit for a fun lunch with the girls, you'll want to put this black piece with an ankle boot and tapered-leg pants.",Clothing/Women/Tops/IMARA/More by IMARA,959,1599,Women,Out of Stock,0,Transparency : Opaque | Sleeve Styling : Bell Sleeves | Occasion : Ethnic | Main Trend : Ethnic Print | Print or Pattern Type : Solid | Number of Components : 1 | Neck : V-Neck | Pattern : Solid | Body or Garment Size : Garment Measurements in | Sleeve Length : Three-Quarter Sleeves | Wash Care : Dry Clean | Weave Type : Woven | Type : Regular | Surface Styling : Embroidered | Length : Regular | Lining : Has a lining | Fabric : Polyester,
c7e2fe388a93dae5c86b50dd8a5dbd7a,2019-07-03 01:04:34 +0000,7441182,https://www.myntra.com/kurtas/house-of-pataudi/house-of-pataudi-men-black-printed-straight-kurta/7441182/buy,XL,7441182_XL,House of Pataudi,100% cottonMachine-wash,cotton,House of Pataudi Men Black Printed Straight Kurta,Black,Black,Straight Kurta,http://assets.myntassets.com/v1/assets/images/7441182/2018/11/10/7f473119-8e08-4548-b5f3-689c25b698b11541830165496-House-of-Pataudi-Men-Black-Printed-Straight-Kurta-3381541830-1.jpg | http://assets.myntassets.com/v1/assets/images/7441182/2018/11/10/28c93a4d-ff32-4418-a213-d6c8d8ce4a761541830165474-House-of-Pataudi-Men-Black-Printed-Straight-Kurta-3381541830-2.jpg | http://assets.myntassets.com/v1/assets/images/7441182/2018/11/10/d859a4ad-46e8-4a00-8fb0-581ad42371ff1541830165454-House-of-Pataudi-Men-Black-Printed-Straight-Kurta-3381541830-3.jpg | http://assets.myntassets.com/v1/assets/images/7441182/2018/11/10/f5427679-c669-42b7-86a1-9aec1d1837f81541830165438-House-of-Pataudi-Men-Black-Printed-Straight-Kurta-3381541830-4.jpg,"Black printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits and two pockets
The model (height 6') is wearing a size M
From House of Pataudi, this kurta is a great way to show off your style.  Dress this black piece up with your favourite accessories and head out to any family event in style.
100% cottonMachine-wash","Black printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits and two pockets",The model (height 6') is wearing a size M,"From House of Pataudi, this kurta is a great way to show off your style.  Dress this black piece up with your favourite accessories and head out to any family event in style.",Clothing/Men/Kurtas/House of Pataudi/More by House of Pataudi,799,1999,Men,In Stock,Shape : Straight | Sleeve Styling : Regular Sleeves | Occasion : Daily | Print or Pattern Type : Geometric | Number of Components : 1 | Design Styling : Regular | Colour Family : Monochrome | Neck : Mandarin Collar | Pattern : Printed | Body or Garment Size : Garment Measurements in | Sleeve Length : Long Sleeves | Weave Pattern : Regular | Fabric Purity : Pure | Stitch : Ready to Wear | Hemline : Straight | Wash Care : Machine Wash | Weave Type : Machine Weave | Length : Knee Length | Slit Detail : Side Slits | Fabric : Cotton,,
76949d78057a633aace6246045eefd66,2019-07-15 09:43:31 +0000,9245141,https://www.myntra.com/pillows/the-white-willow/the-white-willow-unisex-off-white-therapedic-memory-foam-pillow/9245141/buy,S,9245141_S,The White Willow,"Polycotton | Only spot clean by hand with warm water and mild detergent |  For removing stains or odor sprinkle baking powder on the pillows and dust them off with a clean dry cloth,",Cotton,The White Willow Unisex Off-White Therapedic Memory Foam Pillow,White,White,,http://assets.myntassets.com/v1/assets/images/9245141/2019/4/10/c4aecdbc-1c39-4c4b-871c-db76742ce5fc1554895725260-The-White-Willow-Unisex-Off-White-Therapedic-Memory-Foam-Pil-1.jpg | http://assets.myntassets.com/v1/assets/images/9245141/2019/4/10/90e4ecdb-3fcb-40ec-83a3-6e7a72010fb41554895725245-The-White-Willow-Unisex-Off-White-Therapedic-Memory-Foam-Pil-2.jpg | http://assets.myntassets.com/v1/assets/images/9245141/2019/4/10/86bc70a1-72fa-4f35-b72d-7525128ceed41554895725227-The-White-Willow-Unisex-Off-White-Therapedic-Memory-Foam-Pil-3.jpg | http://assets.myntassets.com/v1/assets/images/9245141/2019/4/10/ddccd06d-d9be-4a44-8c96-6605d5fc55e21554895725197-The-White-Willow-Unisex-Off-White-Therapedic-Memory-Foam-Pil-4.jpg | http://assets.myntassets.com/v1/assets/images/9245141/2019/4/10/7aca5282-0b33-44a6-b278-56273bf30c931554895725171-The-White-Willow-Unisex-Off-White-Therapedic-Memory-Foam-Pil-5.jpg,"Set content: 1 pillow  Colour: Off white  Filling: Memory foam  Type: Therapedic  Material: Polycotton  Features: Responsive Memory foam  Adapts to the unique shape of your head, neck, and shoulders for custom support and unparalleled comfort
Dimensions: 58.42 cm x 33.02 cm x 10.16 cm 
Polycotton Only spot clean by hand with warm water and mild detergent  For removing stains or odor sprinkle baking powder on the pillows and dust them off with a clean dry cloth,
The White Willow has been founded with the vision to redefine luxury and comfort, and change the way the world sleeps. We offer an exclusive range of Luxury Home products- Bed Pillows, Decorative Cushions &amp; Speciality Support Pillows. Our premium pillows are affordable and easily accessible to all.","Set content: 1 pillow  Colour: Off white  Filling: Memory foam  Type: Therapedic  Material: Polycotton  Features: Responsive Memory foam  Adapts to the unique shape of your head, neck, and shoulders for custom support and unparalleled comfort",Dimensions: 58.42 cm x 33.02 cm x 10.16 cm ,"The White Willow has been founded with the vision to redefine luxury and comfort, and change the way the world sleeps. We offer an exclusive range of Luxury Home products- Bed Pillows, Decorative Cushions &amp; Speciality Support Pillows. Our premium pillows are affordable and easily accessible to all.",Home/Unisex/Pillows/The White Willow/More by The White Willow,1399,2799,Unisex,In Stock,In Stock,,
5f83f6b51da1ef93bc0585577b6991e6,2019-07-15 14:11:14 +0000,1314889,https://www.myntra.com/dupatta/dupatta-bazaar/dupatta-bazaar-pink-dupatta/1314889/buy,Onesize,1314889_Onesize,Dupatta Bazaar,Chiffon | Hand-wash,Chiffon,Dupatta Bazaar Pink Dupatta,Pink,Pink,Dupatta,http://assets.myntassets.com/v1/assets/images/1314889/2016/4/20/11461153070320-Dupatta-Bazaar-Black--Beige-Checked-Dupatta-1961461153069992-1.jpg | http://assets.myntassets.com/v1/assets/images/1314889/2016/4/20/11461153070226-Dupatta-Bazaar-Black--Beige-Checked-Dupatta-1961461153069992-2.jpg | http://assets.myntassets.com/v1/assets/images/1314889/2016/4/20/11461153070149-Dupatta-Bazaar-Black--Beige-Checked-Dupatta-1961461153069992-3.jpg,"Pink dupatta&nbsp;with crinkled effect
Length: 2.3 metres Width: 1.1 metres
Chiffon Hand-wash
Complement your ethnic ensemble with this dupatta from&nbsp;Dupatta Bazaar. Team it with a kurta, leggings and heels for an elegant look.",Pink dupatta&nbsp;with crinkled effect,Length: 2.3 metres Width: 1.1 metres,"Complement your ethnic ensemble with this dupatta from&nbsp;Dupatta Bazaar. Team it with a kurta, leggings and heels for an elegant look.",Clothing/Women/Dupatta/Dupatta Bazaar/More by Dupatta Bazaar,349,499,Women,In Stock,Pattern : Solid | Occasion : Daily | Border : Solid,,
890bf4355c319a4211296b9d3176d11f,2019-06-01 08:17:28 +0000,7705322,https://www.myntra.com/kurta-sets/manyavar/manyavar-men-yellow--white-self-design-kurta-with-churidar/7705322/buy,S,7705322_S,Manyavar,Top fabric: Silk Blend | Bottom fabric: Silk Blend | Dry-clean,Silk,Manyavar Men Yellow & White Self Design Kurta with Churidar,Yellow | White,Yellow,Kurta with Churidar,http://assets.myntassets.com/v1/assets/images/7705322/2018/10/29/e9ea701d-93aa-460f-a0dc-e916afdb4f6a1540807741626-Manyavar-Mens-Yellow-Full-Sleeve-Regular-Fit-Banded-Collar-Kurta--Churidar-Set-4991540807741431-1.jpg,"Yellow and white self design kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid churidar, drawstring closureÂ 
The model (height 6') is wearing a size M
From Manyavar, this kurta is a great way to show off your style.  This yellow piece is a great option for any evening event when combined with your favourite trousers or jeans.
Top fabric: Silk Blend Bottom fabric: Silk Blend Dry-clean","Yellow and white self design kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid churidar, drawstring closureÂ ",The model (height 6') is wearing a size M,"From Manyavar, this kurta is a great way to show off your style.  This yellow piece is a great option for any evening event when combined with your favourite trousers or jeans.",Clothing/Men/Kurta Sets/Manyavar/More by Manyavar,2999,2999,Men,Out of Stock,Occasion : Festive | Number of Components : 2 | Top Pattern : Self Design | Top Design Styling : Regular | Bottom Type : Churidar | Top Fabric : Silk Blend | Dupatta : Without Dupatta | Weave Pattern : Regular | Top Type : Kurta | Wash Care : Dry Clean | Weave Type : Machine Weave | Bottom Fabric : Silk Blend | Top Hemline : Straight | Pattern Coverage : Large | Sleeve Styling : Regular Sleeves | Print or Pattern Type : Textured | Bottom Pattern : Solid | Top Length : Knee Length | Neck : Mandarin Collar | Bottom Closure : Drawstring | Body or Garment Size : Garment Measurements in | Sleeve Length : Long Sleeves | Stitch : Ready to Wear | Top Shape : Straight | Slit Detail : Side Slits,,
6cb35dc135630e138f618b455014bf27,2019-07-28 13:03:52 +0000,2160958,https://www.myntra.com/kurta-sets/wintage/wintage-men-beige-solid-kurta-with-pyjamas/2160958/buy,L,2160958_L,Wintage,Kurta fabric: linen | Bottom fabric: pure cotton | Dry-clean,Linen,Wintage Men Beige Solid Kurta with Pyjamas,Beige,Beige,Kurta with Pyjamas,http://assets.myntassets.com/v1/assets/images/2160958/2017/10/5/11507205292287-Wintage-Men-Beige-Solid-Kurta-with-Pyjamas-7861507205292072-1.jpg | http://assets.myntassets.com/v1/assets/images/2160958/2017/10/5/11507205292264-Wintage-Men-Beige-Solid-Kurta-with-Pyjamas-7861507205292072-2.jpg | http://assets.myntassets.com/v1/assets/images/2160958/2017/10/5/11507205292240-Wintage-Men-Beige-Solid-Kurta-with-Pyjamas-7861507205292072-3.jpg | http://assets.myntassets.com/v1/assets/images/2160958/2017/10/5/11507205292217-Wintage-Men-Beige-Solid-Kurta-with-Pyjamas-7861507205292072-4.jpg | http://assets.myntassets.com/v1/assets/images/2160958/2017/10/5/11507205292181-Wintage-Men-Beige-Solid-Kurta-with-Pyjamas-7861507205292072-5.jpg,"Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Whitesolid pyjamas, drawstring closure
The model (height 6') is wearing a size M
From Wintage, this kurta is a great way to show off your style.  Dress this beige piece up with your favourite accessories and head out to any family event in style.
Kurta fabric: linen Bottom fabric: pure cotton Dry-clean","Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Whitesolid pyjamas, drawstring closure",The model (height 6') is wearing a size M,"From Wintage, this kurta is a great way to show off your style.  Dress this beige piece up with your favourite accessories and head out to any family event in style.",Clothing/Men/Kurta Sets/Wintage/More by Wintage,979,1399,Men,Out of Stock,0,Sleeve Styling : Regular Sleeves | Occasion : Festive | Print or Pattern Type : Solid | Bottom Pattern : Solid | Top Pattern : Solid | Top Design Styling : Regular | Top Length : Knee Length | Bottom Type : Pyjamas | Top Fabric : Linen | Dupatta : Without Dupatta | Neck : Mandarin Collar | Bottom Closure : Drawstring | Body or Garment Size : Garment Measurements in | Sleeve Length : Long Sleeves | Weave Pattern : Regular | Top Type : Kurta | Wash Care : Dry Clean | Weave Type : Machine Weave | Top Shape : Straight | Bottom Fabric : Pure Cotton | Top Hemline : Straight | Slit Detail : Side Slits | Pattern Coverage : None,
07cc95890eb0034fda8c7160a3a5be6d,2019-06-17 05:21:59 +0000,7766518,https://www.myntra.com/skirts/geroo-jaipur/geroo-women-green-cotton-hand-block-print-skirt/7766518/buy,34,7766518_34,Geroo Jaipur,First wash dry clean than after hand wash,,Geroo Women Green cotton hand block print skirt,Green,Green,,http://assets.myntassets.com/v1/assets/images/7766518/2018/11/12/ec7ea490-1f0a-47a2-952d-830bf7db95591542012680302-Geroo-Women-Green-cotton-hand-block-print-skirt-9351542012680161-1.jpg | http://assets.myntassets.com/v1/assets/images/7766518/2018/11/12/04ad2286-2977-48f4-9d47-df1fe73a84731542012680275-Geroo-Women-Green-cotton-hand-block-print-skirt-9351542012680161-2.jpg | http://assets.myntassets.com/v1/assets/images/7766518/2018/11/12/523a090a-0e40-4191-8044-0201172066de1542012680248-Geroo-Women-Green-cotton-hand-block-print-skirt-9351542012680161-3.jpg | http://assets.myntassets.com/v1/assets/images/7766518/2018/11/12/de412e35-424c-45d3-82f1-1d75bb8e321b1542012680224-Geroo-Women-Green-cotton-hand-block-print-skirt-9351542012680161-4.jpg | http://assets.myntassets.com/v1/assets/images/7766518/2018/11/12/991472fd-1e7b-4539-97d9-3d93953de8a01542012680206-Geroo-Women-Green-cotton-hand-block-print-skirt-9351542012680161-5.jpg,"Green coloured free-size dabu print cotton skirt for women with drawstring closure and an elastic belt on the top Embelished with tissue border and magzi
The model is 5.8 and is wearing size 28
Look simply gorgeous in family get together or home events with this hand block printed jaipuri Cotton skirts by geroo. Made from cotton, this skirt features a drawstring closure with elastic belt on the top which gives this skirt a happy relaxed factor and flexibility. The skirt has big flair and is embelished with tissue border and magzi which gives it a dressy and rich look
First wash dry clean than after hand wash",Green coloured free-size dabu print cotton skirt for women with drawstring closure and an elastic belt on the top Embelished with tissue border and magzi,The model is 5.8 and is wearing size 28,"Look simply gorgeous in family get together or home events with this hand block printed jaipuri Cotton skirts by geroo. Made from cotton, this skirt features a drawstring closure with elastic belt on the top which gives this skirt a happy relaxed factor and flexibility. The skirt has big flair and is embelished with tissue border and magzi which gives it a dressy and rich look",Clothing/Women/Skirts/Geroo Jaipur/More by Geroo Jaipur,1572,1850,Women,Out of Stock,Knit or Woven : Knitted and Woven | Transparency : Opaque | Business Unit : Apparel | Closure : Drawstring | Occasion : Ethnic | Main Trend : Colourblocked | Print or Pattern Type : Floral | Number of Components : 1 | Segment : Womens Apparels | Sub Trend : Ethnic Print | Pattern : Colourblocked | Body or Garment Size : To-Fit Denotes Body Measurements in | Hemline : Asymmetric | Wash Care : Machine Wash | Type : A-Line | Surface Styling : Embellished | Length : Maxi | Brick : Skirts | Add-Ons : Comes with a belt | Family : Capris - Shorts and Skirts | Class : A-Line | Slit Detail : No Slit | Fabric : Pure Cotton | Processing Time : 1,,
0b46713a5d8c659199965af7ad64ddca,2019-07-15 04:00:15 +0000,1923426,https://www.myntra.com/kurtas/the-indian-garage-co/the-indian-garage-co-men-blue--white-printed-a-line-kurta/1923426/buy,XL,1923426_XL,The Indian Garage Co,Cotton  | Machine-wash,Cotton,The Indian Garage Co Men Blue & White Printed A-Line Kurta,Blue | White,Blue,A-Line Kurta,http://assets.myntassets.com/v1/assets/images/1923426/2017/6/21/11498040802877-The-Indian-Garage-Co-Men-Blue--White-Printed-A-Line-Kurta-7691498040798521-1.jpg | http://assets.myntassets.com/v1/assets/images/1923426/2017/6/21/11498040802858-The-Indian-Garage-Co-Men-Blue--White-Printed-A-Line-Kurta-7691498040798521-2.jpg | http://assets.myntassets.com/v1/assets/images/1923426/2017/6/21/11498040802845-The-Indian-Garage-Co-Men-Blue--White-Printed-A-Line-Kurta-7691498040798521-3.jpg | http://assets.myntassets.com/v1/assets/images/1923426/2017/6/21/11498040802824-The-Indian-Garage-Co-Men-Blue--White-Printed-A-Line-Kurta-7691498040798521-4.jpg | http://assets.myntassets.com/v1/assets/images/1923426/2017/6/21/11498040802800-The-Indian-Garage-Co-Men-Blue--White-Printed-A-Line-Kurta-7691498040798521-5.jpg,"Blue and white printed A-line kurta, has a mandarin collar, long sleeves, zip closure, shoulder tabs, curved hem, side slits
The model (height 6') is wearing a size M
Cotton  Machine-wash
From The Indian Garage Co, this kurta is a great way to show off your style.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.","Blue and white printed A-line kurta, has a mandarin collar, long sleeves, zip closure, shoulder tabs, curved hem, side slits",The model (height 6') is wearing a size M,"From The Indian Garage Co, this kurta is a great way to show off your style.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,479,1199,Men,In Stock,Shape : Straight | Sleeve Styling : Regular Sleeves | Occasion : Daily | Print or Pattern Type : Abstract | Design Styling : Regular | Neck : Mandarin Collar | Pattern : Printed | Body or Garment Size : Garment Measurements in | Sleeve Length : Long Sleeves | Weave Pattern : Regular | Fabric Purity : Pure | Hemline : Curved | Wash Care : Machine Wash | Weave Type : Machine Weave | Length : Above Knee | Slit Detail : Side Slits | Fabric : Cotton,,
8ec62e9d32f52999eda6e2bccb777218,2019-06-17 00:52:43 +0000,6551403,https://www.myntra.com/kurtas/anouk/anouk-women-maroon-solid-a-line-kurta/6551403/buy,XS,6551403_XS,Anouk,Polyester |  Dry-clean,Polyester,Anouk Women Maroon Solid A-Line Kurta,Maroon,Maroon,A-Line Kurta,http://assets.myntassets.com/v1/assets/images/6551403/2018/12/19/1ab6bfba-4825-4e59-ac0e-21e1ebb63aeb1545212392273-Anouk-Women-Maroon-Solid-A-Line-Kurta-8341545212391512-1.jpg | http://assets.myntassets.com/v1/assets/images/6551403/2018/12/19/b3670fb6-a561-40b1-9d69-9493cbbc582c1545212392251-Anouk-Women-Maroon-Solid-A-Line-Kurta-8341545212391512-2.jpg | http://assets.myntassets.com/v1/assets/images/6551403/2018/12/19/848be171-6b6f-41e6-9af8-0409bdb545f31545212392236-Anouk-Women-Maroon-Solid-A-Line-Kurta-8341545212391512-3.jpg | http://assets.myntassets.com/v1/assets/images/6551403/2018/12/19/d3af7853-de3f-406e-a895-c86ca8a5347f1545212392223-Anouk-Women-Maroon-Solid-A-Line-Kurta-8341545212391512-4.jpg,"Maroon solid A-line kurta, has a round neck, three-quarter sleeves, flared hem
The model (height 5'8"") is wearing a size S
Keep it classy all year long with a stylish kurta from Anouk.  Dress up for your next family event by pairing this maroon piece with your best Kolhapuris and simple jewellery.
Polyester  Dry-clean","Maroon solid A-line kurta, has a round neck, three-quarter sleeves, flared hem","The model (height 5'8"") is wearing a size S",Keep it classy all year long with a stylish kurta from Anouk.  Dress up for your next family event by pairing this maroon piece with your best Kolhapuris and simple jewellery.,Clothing/Women/Kurtas/Anouk/More by Anouk,1359,3399,Women,In Stock,Shape : A-Line | Sleeve Styling : Regular Sleeves | Occasion : Festive | Print or Pattern Type : Ethnic Motifs | Number of Components : 1 | Design Styling : Regular | Colour Family : Earthy | Neck : Round Neck | Pattern : Solid | Body or Garment Size : To-Fit Denotes Body Measurements in | Sleeve Length : Three-Quarter Sleeves | Weave Pattern : Regular | Fabric Purity : Synthetic | Stitch : Ready to Wear | Hemline : Flared | Wash Care : Dry Clean | Ornamentation : Zari | Weave Type : Machine Weave | Length : Ankle Length | Fabric : Polyester,,
8cc3d10b36c41a23f579ccb36c58d211,2019-07-30 07:24:13 +0000,8389801,https://www.myntra.com/kurta-sets/salwar-studio/salwar-studio-boys-orange--white-printed-kurta-with-pyjamas/8389801/buy,3-4Y,8389801_3-4Y,SALWAR STUDIO,Top fabric: Pure Cotton | Bottom fabric: Pure Cotton | Hand-wash,Cotton,SALWAR STUDIO Boys Orange & White Printed Kurta with Pyjamas,White | Orange,Orange,Kurta with Pyjamas,http://assets.myntassets.com/v1/assets/images/productimage/2019/1/4/524faa41-cecd-48b9-bfcf-f92b696e80581546592411715-1.jpg | http://assets.myntassets.com/v1/assets/images/productimage/2019/1/4/0c80d05b-9e7e-4622-ab41-8a898caa906e1546592411750-2.jpg | http://assets.myntassets.com/v1/assets/images/productimage/2019/1/4/6171830a-5f9c-4488-9d53-d8f34b002bce1546592411790-3.jpg | http://assets.myntassets.com/v1/assets/images/productimage/2019/1/4/af14cc98-060c-4a8d-8ebc-f688d58662dd1546592411828-4.jpg,"Orange and white printed kurta with pyjamas Orange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure &nbsp;
This kurta pyjama set from SALWAR STUDIOis a must-have in your little boy's wardrobe. Let him team&nbsp;this piece with a pair of juttis to complete the look.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Hand-wash","Orange and white printed kurta with pyjamas Orange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure &nbsp;",,This kurta pyjama set from SALWAR STUDIOis a must-have in your little boy's wardrobe. Let him team&nbsp;this piece with a pair of juttis to complete the look.,Clothing/Boys/Kurta Sets/SALWAR STUDIO/More by SALWAR STUDIO,586,1955,Boys,Out of Stock,0,Occasion : Festive | Number of Components : 2 | Top Pattern : Printed | Top Design Styling : Regular | Bottom Type : Pyjamas | Top Fabric : Pure Cotton | Dupatta : Without Dupatta | Weave Pattern : Regular | Top Type : Kurta | Wash Care : Hand Wash | Weave Type : Handloom | Bottom Fabric : Pure Cotton | Top Hemline : Straight | Pattern Coverage : None | Sleeve Styling : Regular Sleeves | Waistband : Elasticated | Print or Pattern Type : Abstract | Bottom Pattern : Solid | Top Length : Above Knee | Neck : Mandarin Collar | Bottom Closure : Slip-On | Body or Garment Size : Garment Measurements in | Sleeve Length : Long Sleeves | Stitch : Ready to Wear | Top Shape : Straight | Slit Detail : Side Slits,
